ENSVURP00010026213	ENSVURG00010020068	Vombatus_ursinus
ENSPCIP00000002197	ENSPCIG00000001796	Phascolarctos_cinereus
ENSMEUP00000004252	ENSMEUG00000004670	Notamacropus_eugenii
ENSMODP00000051280	ENSMODG00000002425	Monodelphis_domestica
ENSSHAP00000020259	ENSSHAG00000017183	Sarcophilus_harrisii
ENSEEUP00000002803	ENSEEUG00000003059	Erinaceus_europaeus	ENSEEUT00000003053
ENSSARP00000006050	ENSSARG00000006676	Sorex_araneus	ENSSART00000006667
ENSBBBP00000009277	ENSBBBG00000008451	Bison_bison_bison
MGP_SPRETEiJ_P0089483	MGP_SPRETEiJ_G0032665	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021246	ENSMSIG00000018032	Mus_spicilegus
ENSMUSP00000034163	ENSMUSG00000031728	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085982	MGP_CAROLIEiJ_G0031547	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054237	MGP_PahariEiJ_G0023147	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000279	ENSRNOG00000000262	Rattus_norvegicus
ENSMUGP00000026974	ENSMUGG00000022467	Meriones_unguiculatus
ENSMUGP00000026971	ENSMUGG00000022464	Meriones_unguiculatus
ENSMUGP00000027017	ENSMUGG00000022492	Meriones_unguiculatus
ENSCGRP00001026754	ENSCGRG00001023974	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018145	ENSCGRG00000013198	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013657	ENSCGRG00015010497	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024864	ENSMAUG00000021582	Mesocricetus_auratus
ENSPEMP00000020245	ENSPEMG00000018274	Peromyscus_maniculatus_bairdii
ENSMOCP00000025597	ENSMOCG00000021660	Microtus_ochrogaster
ENSNGAP00000009971	ENSNGAG00000012519	Nannospalax_galili
ENSJJAP00000015670	ENSJJAG00000017771	Jaculus_jaculus
ENSCCNP00000028090	ENSCCNG00000027104	Castor_canadensis	ENSCCNT00000035509
ENSSTOP00000013711	ENSSTOG00000015313	Ictidomys_tridecemlineatus	ENSSTOT00000015304
ENSSDAP00000026650	ENSSDAG00000024172	Spermophilus_dauricus	ENSSDAT00000030466
ENSUPAP00010018182	ENSUPAG00010014449	Urocitellus_parryii	ENSUPAT00010020714
ENSMMMP00000015393	ENSMMMG00000013710	Marmota_marmota_marmota
ENSHGLP00100002402	ENSHGLG00100001861	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014117	ENSHGLG00000010079	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008870	ENSFDAG00000017021	Fukomys_damarensis
ENSCLAP00000007676	ENSCLAG00000005384	Chinchilla_lanigera
ENSCPOP00000005088	ENSCPOG00000005644	Cavia_porcellus
ENSODEP00000019272	ENSODEG00000014215	Octodon_degus
ENSOCUP00000007784	ENSOCUG00000009019	Oryctolagus_cuniculus
ENSOPRP00000001227	ENSOPRG00000001338	Ochotona_princeps
ENSGGOP00000029103	ENSGGOG00000005863	Gorilla_gorilla
ENSP00000398089	ENSG00000102984	Homo_sapiens
ENSPPAP00000008720	ENSPPAG00000027597	Pan_paniscus
ENSPTRP00000043084	ENSPTRG00000008328	Pan_troglodytes
ENSPPYP00000008495	ENSPPYG00000007523	Pongo_abelii
ENSNLEP00000035107	ENSNLEG00000029369	Nomascus_leucogenys
ENSRROP00000003621	ENSRROG00000014338	Rhinopithecus_roxellana
ENSRBIP00000032731	ENSRBIG00000040151	Rhinopithecus_bieti
ENSCANP00000012801	ENSCANG00000029801	Colobus_angolensis_palliatus
ENSTGEP00000013536	ENSTGEG00000010996	Theropithecus_gelada
ENSPANP00000015989	ENSPANG00000007150	Papio_anubis
ENSCATP00000038566	ENSCATG00000041957	Cercocebus_atys
ENSMNEP00000013341	ENSMNEG00000030924	Macaca_nemestrina
ENSMMUP00000032332	ENSMMUG00000016716	Macaca_mulatta
ENSMFAP00000013643	ENSMFAG00000029323	Macaca_fascicularis
ENSMLEP00000032365	ENSMLEG00000040396	Mandrillus_leucophaeus
ENSCSAP00000000619	ENSCSAG00000004263	Chlorocebus_sabaeus
ENSSBOP00000040606	ENSSBOG00000036272	Saimiri_boliviensis_boliviensis
ENSCCAP00000026023	ENSCCAG00000030802	Cebus_capucinus_imitator
ENSCJAP00000052661	ENSCJAG00000015044	Callithrix_jacchus
ENSANAP00000009994	ENSANAG00000022965	Aotus_nancymaae
ENSTSYP00000028904	ENSTSYG00000014686	Carlito_syrichta
ENSPSMP00000009179	ENSPSMG00000006702	Prolemur_simus
ENSPCOP00000020126	ENSPCOG00000022023	Propithecus_coquereli
ENSMICP00000033823	ENSMICG00000035245	Microcebus_murinus
ENSOGAP00000006484	ENSOGAG00000007248	Otolemur_garnettii
ENSTTRP00000001781	ENSTTRG00000001899	Tursiops_truncatus
ENSVPAP00000002693	ENSVPAG00000002914	Vicugna_pacos
ENSSSCP00000058039	ENSSSCG00000002741	Sus_scrofa_strain_reference
ENSBIXP00000010457	ENSBIXG00000002427	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042971	ENSBIXG00005007202	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000032245	ENSBTAG00000021438	Bos_taurus
ENSBMUP00000001077	ENSBMUG00000000890	Bos_mutus
ENSOARP00000004068	ENSOARG00000003811	Ovis_aries
ENSCHIP00000019816	ENSCHIG00000018709	Capra_hircus
ENSEASP00005019303	ENSEASG00005013267	Equus_asinus_asinus
ENSECAP00000026375	ENSECAG00000008472	Equus_caballus
ENSUMAP00000024778	ENSUMAG00000018032	Ursus_maritimus
ENSUAMP00000026330	ENSUAMG00000020416	Ursus_americanus
ENSAMEP00000002632	ENSAMEG00000002510	Ailuropoda_melanoleuca
ENSMPUP00000007819	ENSMPUG00000007877	Mustela_putorius_furo
