ENSPMAP00000008758	ENSPMAG00000007953	Petromyzon_marinus
ENSCGOP00000000792	ENSCGOG00000000482	Cottoperca_gobio
ENSPKIP00000037883	ENSPKIG00000015897	Paramormyrops_kingsleyae
ENSLAFP00000027356	ENSLAFG00000032036	Loxodonta_africana
ENSSDAP00000023691	ENSSDAG00000021452	Spermophilus_dauricus
ENSSMAP00000024346	ENSSMAG00000014832	Scophthalmus_maximus
ENSDORP00000025372	ENSDORG00000002663	Dipodomys_ordii	ENSDORT00000036469
ENSOARP00000012010	ENSOARG00000011204	Ovis_aries
ENSMUSP00000111339	ENSMUSG00000031153	Mus_musculus_strain_reference_(CL57BL6)
ENSMAMP00000018705	ENSMAMG00000012610	Mastacembelus_armatus
ENSHGLP00100009505	ENSHGLG00100007049	Heterocephalus_glaber_HetGla_1.0
ENSGMOP00000011295	ENSGMOG00000010541	Gadus_morhua
ENSNLEP00000031033	ENSNLEG00000007939	Nomascus_leucogenys
ENSOGAP00000021153	ENSOGAG00000032089	Otolemur_garnettii
ENSHBUP00000032727	ENSHBUG00000019186	Haplochromis_burtoni
ENSCGRP00001007828	ENSCGRG00001010183	Cricetulus_griseus_CHOK1GS_HDv1
ENSFHEP00000000210	ENSFHEG00000023257	Fundulus_heteroclitus
ENSSHAP00000003507	ENSSHAG00000003080	Sarcophilus_harrisii
ENSUPAP00010003795	ENSUPAG00010003056	Urocitellus_parryii
ENSCSEP00000028345	ENSCSEG00000018111	Cynoglossus_semilaevis
ENSRBIP00000035195	ENSRBIG00000041228	Rhinopithecus_bieti
ENSCSAVP00000017739	ENSCSAVG00000010442	Ciona_savignyi
ENSJJAP00000020428	ENSJJAG00000021070	Jaculus_jaculus
ENSBSLP00000040522	ENSBSLG00000019653	Betta_splendens
ENSONIP00000018425	ENSONIG00000014636	Oreochromis_niloticus
ENSLOCP00000017870	ENSLOCG00000014510	Lepisosteus_oculatus
ENSMEUP00000001908	ENSMEUG00000002074	Notamacropus_eugenii
ENSECRP00000014859	ENSECRG00000009901	Erpetoichthys_calabaricus
ENSVVUP00000024278	ENSVVUG00000017793	Vulpes_vulpes
ENSHHUP00000012317	ENSHHUG00000007452	Hucho_hucho
ENSPRNP00000027622	ENSPRNG00000013773	Parambassis_ranga
ENSXMAP00000015248	ENSXMAG00000015220	Xiphophorus_maculatus
ENSPCAP00000007330	ENSPCAG00000007774	Procavia_capensis
ENSDARP00000102905	ENSDARG00000063069	Danio_rerio
ENSMICP00000027861	ENSMICG00000034554	Microcebus_murinus
ENSHGLP00000002732	ENSHGLG00000002058	Heterocephalus_glaber_HetGla_female_1.0
MGP_CAROLIEiJ_P0090879	MGP_CAROLIEiJ_G0032898	Mus_caroli_strain_CAROLI_EIJ
ENSACAP00000016271	ENSACAG00000016477	Anolis_carolinensis
ENSGGOP00000028023	ENSGGOG00000023074	Gorilla_gorilla
ENSCVAP00000028690	ENSCVAG00000015992	Cyprinodon_variegatus
ENSCGRP00000006677	ENSCGRG00000004880	Cricetulus_griseus_CriGri_1.0
ENSORLP00000030482	ENSORLG00000018356	Oryzias_latipes_ASM223467v1
ENSLCRP00005005182	ENSLCRG00005002643	Larimichthys_crocea
ENSRNOP00000012646	ENSRNOG00000009071	Rattus_norvegicus
MGP_PahariEiJ_P0088518	MGP_PahariEiJ_G0031446	Mus_pahari_strain_PAHARI_EIJ
ENSATEP00000029872	ENSATEG00000020553	Anabas_testudineus
ENSETEP00000011895	ENSETEG00000014678	Echinops_telfairi
ENSCPBP00000024503	ENSCPBG00000017481	Chrysemys_picta_bellii
ENSPANP00000005772	ENSPANG00000013631	Papio_anubis
ENSCSAP00000009203	ENSCSAG00000013107	Chlorocebus_sabaeus
ENSRROP00000039950	ENSRROG00000043232	Rhinopithecus_roxellana
ENSCINP00000033167	ENSCING00000024238	Ciona_intestinalis
ENSCJAP00000072913	ENSCJAG00000002531	Callithrix_jacchus
ENSCHAP00000035403	ENSCHAG00000016485	Clupea_harengus
ENSPCIP00000037883	ENSPCIG00000027893	Phascolarctos_cinereus
ENSGAGP00000015351	ENSGAGG00000011559	Gopherus_agassizii
ENSPFOP00000025548	ENSPFOG00000023473	Poecilia_formosa
ENSDNOP00000034316	ENSDNOG00000038321	Dasypus_novemcinctus
ENSDCDP00000057986	ENSDCDG00000033747	Denticeps_clupeoides
ENSSARP00000008033	ENSSARG00000008868	Sorex_araneus
ENSMOCP00000007775	ENSMOCG00000007615	Microtus_ochrogaster
ENSSTOP00000027826	ENSSTOG00000014221	Ictidomys_tridecemlineatus
ENSHCOP00000018519	ENSHCOG00000003180	Hippocampus_comes
ENSPFOP00000004875	ENSPFOG00000005001	Poecilia_formosa
ENSCINP00000036382	ENSCING00000019118	Ciona_intestinalis
ENSIPUP00000016734	ENSIPUG00000011217	Ictalurus_punctatus
ENSCCAP00000000972	ENSCCAG00000003776	Cebus_capucinus_imitator
ENSODEP00000013457	ENSODEG00000009943	Octodon_degus
ENSGAFP00000030473	ENSGAFG00000020533	Gambusia_affinis
ENSEEEP00000000586	ENSEEEG00000000415	Electrophorus_electricus
ENSMUGP00000013366	ENSMUGG00000011287	Meriones_unguiculatus
ENSGAFP00000030475	ENSGAFG00000020534	Gambusia_affinis
ENSHHUP00000013072	ENSHHUG00000008022	Hucho_hucho
ENSEBUP00000020869	ENSEBUG00000012897	Eptatretus_burgeri
ENSOPRP00000011630	ENSOPRG00000012728	Ochotona_princeps
ENSCPOP00000011950	ENSCPOG00000013274	Cavia_porcellus
ENSLBEP00000004987	ENSLBEG00000003849	Labrus_bergylta
ENSPVIP00000003409	ENSPVIG00000002862	Pogona_vitticeps
ENSSPAP00000022406	ENSSPAG00000016784	Stegastes_partitus
