ENSOANP00000013432	ENSOANG00000008447	Ornithorhynchus_anatinus	ENSOANT00000013435
ENSOANP00000032095	ENSOANG00000030880	Ornithorhynchus_anatinus	ENSOANT00000041344
ENSPCAP00000004271	ENSPCAG00000004525	Procavia_capensis
ENSLAFP00000025183	ENSLAFG00000022928	Loxodonta_africana
ENSETEP00000004543	ENSETEG00000005583	Echinops_telfairi
ENSDNOP00000007584	ENSDNOG00000009785	Dasypus_novemcinctus
ENSCHOP00000002600	ENSCHOG00000002934	Choloepus_hoffmanni
ENSMFAP00000037921	ENSMFAG00000038153	Macaca_fascicularis
ENSMMUP00000015314	ENSMMUG00000011668	Macaca_mulatta
ENSMNEP00000044753	ENSMNEG00000044930	Macaca_nemestrina
ENSMLEP00000003845	ENSMLEG00000016925	Mandrillus_leucophaeus
ENSPANP00000012699	ENSPANG00000007016	Papio_anubis
ENSTGEP00000037257	ENSTGEG00000029637	Theropithecus_gelada
ENSCATP00000027209	ENSCATG00000036991	Cercocebus_atys
ENSCSAP00000007804	ENSCSAG00000011604	Chlorocebus_sabaeus
ENSCANP00000018801	ENSCANG00000032834	Colobus_angolensis_palliatus
ENSPTEP00000016911	ENSPTEG00000018464	Piliocolobus_tephrosceles
ENSRBIP00000025451	ENSRBIG00000036599	Rhinopithecus_bieti
ENSRROP00000045780	ENSRROG00000045767	Rhinopithecus_roxellana
ENSPTRP00000031077	ENSPTRG00000018187	Pan_troglodytes
ENSPPAP00000017122	ENSPPAG00000031629	Pan_paniscus
ENSP00000259708	ENSG00000137171	Homo_sapiens
ENSGGOP00000009521	ENSGGOG00000010558	Gorilla_gorilla
ENSPPYP00000018602	ENSPPYG00000016631	Pongo_abelii
ENSNLEP00000005284	ENSNLEG00000004359	Nomascus_leucogenys
ENSCCAP00000036913	ENSCCAG00000036348	Cebus_capucinus_imitator
ENSSBOP00000014473	ENSSBOG00000023983	Saimiri_boliviensis_boliviensis
ENSCJAP00000009265	ENSCJAG00000004979	Callithrix_jacchus
ENSANAP00000040689	ENSANAG00000037680	Aotus_nancymaae
ENSTSYP00000030624	ENSTSYG00000035288	Carlito_syrichta
ENSPSMP00000024497	ENSPSMG00000017239	Prolemur_simus
ENSMICP00000016959	ENSMICG00000008292	Microcebus_murinus
ENSPCOP00000026879	ENSPCOG00000025855	Propithecus_coquereli
ENSOGAP00000011391	ENSOGAG00000012712	Otolemur_garnettii
ENSCCNP00000016231	ENSCCNG00000016529	Castor_canadensis
ENSDORP00000011463	ENSDORG00000012190	Dipodomys_ordii
ENSMOCP00000002094	ENSMOCG00000001647	Microtus_ochrogaster
ENSPEMP00000012784	ENSPEMG00000013017	Peromyscus_maniculatus_bairdii
ENSCGRP00000017114	ENSCGRG00000012448	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013807	ENSCGRG00001014841	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015023931	ENSCGRG00015018215	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000781	ENSMAUG00000000606	Mesocricetus_auratus
ENSMUSP00000003642	ENSMUSG00000003546	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013262	ENSMSIG00000011494	Mus_spicilegus
MGP_SPRETEiJ_P0046923	MGP_SPRETEiJ_G0022589	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0045027	MGP_CAROLIEiJ_G0021677	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044547	MGP_PahariEiJ_G0020668	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038363	ENSRNOG00000018168	Rattus_norvegicus
ENSMUGP00000029569	ENSMUGG00000024532	Meriones_unguiculatus
ENSNGAP00000011018	ENSNGAG00000013283	Nannospalax_galili
ENSJJAP00000011926	ENSJJAG00000015105	Jaculus_jaculus
ENSCLAP00000018850	ENSCLAG00000012910	Chinchilla_lanigera
ENSODEP00000022260	ENSODEG00000016341	Octodon_degus
ENSHGLP00100017913	ENSHGLG00100013204	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027135	ENSHGLG00000019299	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000011736	ENSHGLG00000008412	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002396	ENSHGLG00100001859	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003767	ENSFDAG00000013136	Fukomys_damarensis
ENSCPOP00000021339	ENSCPOG00000000230	Cavia_porcellus
ENSCAPP00000015090	ENSCAPG00000015299	Cavia_aperea
ENSUPAP00010022781	ENSUPAG00010018084	Urocitellus_parryii
ENSSTOP00000012715	ENSSTOG00000014183	Ictidomys_tridecemlineatus
ENSSDAP00000016461	ENSSDAG00000014871	Spermophilus_dauricus
ENSMMMP00000028145	ENSMMMG00000024541	Marmota_marmota_marmota
ENSUAMP00000020053	ENSUAMG00000015840	Ursus_americanus	ENSUAMT00000022424
ENSUMAP00000011599	ENSUMAG00000008716	Ursus_maritimus	ENSUMAT00000013807
ENSAMEP00000013221	ENSAMEG00000012512	Ailuropoda_melanoleuca	ENSAMET00000013778
ENSNVIP00000014905	ENSNVIG00000011605	Neovison_vison	ENSNVIT00000017385
ENSMPUP00000013010	ENSMPUG00000013106	Mustela_putorius_furo
ENSCAFP00020014008	ENSCAFG00020011139	Canis_lupus_dingo
ENSVVUP00000039994	ENSVVUG00000028214	Vulpes_vulpes
ENSCAFP00000062551	ENSCAFG00000001787	Canis_lupus_familiaris
ENSPTIP00000015724	ENSPTIG00000014698	Panthera_tigris_altaica
ENSPPRP00000019615	ENSPPRG00000011006	Panthera_pardus
ENSFCAP00000009012	ENSFCAG00000009718	Felis_catus
ENSEASP00005004217	ENSEASG00005003191	Equus_asinus_asinus
ENSECAP00000030140	ENSECAG00000022228	Equus_caballus
ENSPVAP00000008233	ENSPVAG00000008724	Pteropus_vampyrus
ENSMLUP00000011126	ENSMLUG00000012206	Myotis_lucifugus
ENSVPAP00000008287	ENSVPAG00000008906	Vicugna_pacos
ENSSSCP00000001803	ENSSSCG00000001659	Sus_scrofa_strain_reference
ENSBIXP00000006554	ENSBIXG00000012658	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028669	ENSBIXG00005008424	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000016955	ENSBTAG00000012755	Bos_taurus
ENSBMUP00000017004	ENSBMUG00000012876	Bos_mutus
ENSBBBP00000010243	ENSBBBG00000018482	Bison_bison_bison
ENSCHIP00000007018	ENSCHIG00000010669	Capra_hircus
ENSOARP00000005885	ENSOARG00000005475	Ovis_aries
ENSTTRP00000006632	ENSTTRG00000007012	Tursiops_truncatus
ENSEEUP00000008844	ENSEEUG00000009681	Erinaceus_europaeus
ENSOCUP00000045481	ENSOCUG00000001590	Oryctolagus_cuniculus
ENSOPRP00000002223	ENSOPRG00000002384	Ochotona_princeps
ENSTBEP00000011380	ENSTBEG00000013135	Tupaia_belangeri
ENSSARP00000000835	ENSSARG00000000911	Sorex_araneus
ENSVURP00010008030	ENSVURG00010006197	Vombatus_ursinus
ENSPCIP00000038326	ENSPCIG00000028199	Phascolarctos_cinereus
ENSMEUP00000006606	ENSMEUG00000007222	Notamacropus_eugenii
ENSSHAP00000014200	ENSSHAG00000012140	Sarcophilus_harrisii
ENSMODP00000023696	ENSMODG00000018988	Monodelphis_domestica
