ENSTRUP00000025829	ENSTRUG00000010258	Takifugu_rubripes
MGP_PahariEiJ_P0048941	MGP_PahariEiJ_G0021898	Mus_pahari_strain_PAHARI_EIJ
ENSFCAP00000036052	ENSFCAG00000039291	Felis_catus
ENSOARP00000012153	ENSOARG00000011339	Ovis_aries
ENSCCEP00000019097	ENSCCEG00000017369	Cyanistes_caeruleus
ENSMLEP00000033808	ENSMLEG00000041093	Mandrillus_leucophaeus
ENSFHEP00000012678	ENSFHEG00000014147	Fundulus_heteroclitus
ENSSPUP00000022918	ENSSPUG00000017583	Sphenodon_punctatus
ENSACAP00000000734	ENSACAG00000000803	Anolis_carolinensis
ENSODEP00000025429	ENSODEG00000018676	Octodon_degus
ENSLCOP00000019896	ENSLCOG00000014106	Lepidothrix_coronata
ENSPANP00000007774	ENSPANG00000005392	Papio_anubis
ENSSPAP00000025143	ENSSPAG00000019004	Stegastes_partitus
ENSDCDP00000043616	ENSDCDG00000027889	Denticeps_clupeoides
ENSCAFP00000054910	ENSCAFG00000025112	Canis_lupus_familiaris
ENSPTEP00000016279	ENSPTEG00000017912	Piliocolobus_tephrosceles
ENSFDAP00000001392	ENSFDAG00000011375	Fukomys_damarensis
ENSSMAP00000025591	ENSSMAG00000015664	Scophthalmus_maximus
ENSBMUP00000020279	ENSBMUG00000015277	Bos_mutus
ENSNSUP00000015449	ENSNSUG00000011424	Notechis_scutatus
ENSPMGP00000009597	ENSPMGG00000007832	Periophthalmus_magnuspinnatus
ENSIPUP00000023329	ENSIPUG00000015789	Ictalurus_punctatus
ENSXMAP00000001320	ENSXMAG00000001329	Xiphophorus_maculatus
ENSJJAP00000005537	ENSJJAG00000010459	Jaculus_jaculus
ENSMALP00000005914	ENSMALG00000004233	Monopterus_albus
ENSRROP00000003266	ENSRROG00000012922	Rhinopithecus_roxellana
ENSFALP00000010323	ENSFALG00000009900	Ficedula_albicollis
ENSNPEP00000001696	ENSNPEG00000001317	Nothoprocta_perdicaria
ENSSMRP00000015588	ENSSMRG00000012122	Salvator_merianae
ENSODEP00000026426	ENSODEG00000019852	Octodon_degus
ENSVVUP00000001898	ENSVVUG00000001471	Vulpes_vulpes
ENSRNOP00000008325	ENSRNOG00000005698	Rattus_norvegicus
ENSAHAP00000002102	ENSAHAG00000001756	Apteryx_haastii
ENSBIXP00000016251	ENSBIXG00000003764	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLCAP00010042248	ENSLCAG00010019751	Lates_calcarifer
ENSELUP00000018017	ENSELUG00000017605	Esox_lucius
