ENSCSAVP00000017991	ENSCSAVG00000010589	Ciona_savignyi	ENSCSAVT00000018186
ENSCINP00000013949	ENSCING00000006798	Ciona_intestinalis	ENSCINT00000013949
ENSCHAP00000022416	ENSCHAG00000011199	Clupea_harengus
ENSDCDP00000027511	ENSDCDG00000020074	Denticeps_clupeoides
ENSAMXP00005050366	ENSAMXG00005022875	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000000501	ENSAMXG00000000494	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000028490	ENSPNAG00000014216	Pygocentrus_nattereri
ENSIPUP00000031062	ENSIPUG00000020950	Ictalurus_punctatus
ENSEEEP00000031656	ENSEEEG00000015129	Electrophorus_electricus
ENSDARP00000059799	ENSDARG00000040803	Danio_rerio
ENSLBEP00000023641	ENSLBEG00000018150	Labrus_bergylta
ENSMMOP00000008689	ENSMMOG00000006719	Mola_mola
ENSAPEP00000026249	ENSAPEG00000018644	Amphiprion_percula
ENSAOCP00000000290	ENSAOCG00000003117	Amphiprion_ocellaris
ENSAPOP00000023685	ENSAPOG00000005659	Acanthochromis_polyacanthus
ENSSPAP00000028106	ENSSPAG00000021164	Stegastes_partitus
ENSPRNP00000039372	ENSPRNG00000019405	Parambassis_ranga
ENSACLP00000028157	ENSACLG00000019114	Astatotilapia_calliptera
ENSPNYP00000015315	ENSPNYG00000011610	Pundamilia_nyererei
ENSMZEP00005030038	ENSMZEG00005022401	Maylandia_zebra
ENSHBUP00000013247	ENSHBUG00000015036	Haplochromis_burtoni
ENSNBRP00000024649	ENSNBRG00000018845	Neolamprologus_brichardi
ENSONIP00000019221	ENSONIG00000015275	Oreochromis_niloticus
ENSACIP00000001184	ENSACIG00000000984	Amphilophus_citrinellus
ENSBSLP00000007683	ENSBSLG00000003815	Betta_splendens
ENSATEP00000009959	ENSATEG00000006998	Anabas_testudineus
ENSTRUP00000057220	ENSTRUG00000022166	Takifugu_rubripes
ENSTNIP00000011219	ENSTNIG00000008385	Tetraodon_nigroviridis
ENSLCRP00005053596	ENSLCRG00005020065	Larimichthys_crocea
ENSGACP00000014046	ENSGACG00000010620	Gasterosteus_aculeatus
ENSFHEP00000001459	ENSFHEG00000002209	Fundulus_heteroclitus
ENSCVAP00000013719	ENSCVAG00000016252	Cyprinodon_variegatus
ENSXMAP00000003144	ENSXMAG00000003138	Xiphophorus_maculatus
ENSXCOP00000027048	ENSXCOG00000020203	Xiphophorus_couchianus
ENSGAFP00000000820	ENSGAFG00000000604	Gambusia_affinis
ENSPFOP00000002522	ENSPFOG00000002583	Poecilia_formosa
ENSPFOP00000002491	ENSPFOG00000002560	Poecilia_formosa
ENSPLAP00000014200	ENSPLAG00000017854	Poecilia_latipinna
ENSPMEP00000027649	ENSPMEG00000012175	Poecilia_mexicana
ENSPREP00000012442	ENSPREG00000008455	Poecilia_reticulata
ENSKMAP00000023370	ENSKMAG00000017343	Kryptolebias_marmoratus
ENSCGOP00000036741	ENSCGOG00000016977	Cottoperca_gobio
ENSSDUP00000014047	ENSSDUG00000010229	Seriola_dumerili
ENSSLDP00000032488	ENSSLDG00000024940	Seriola_lalandi_dorsalis
ENSSMAP00000027107	ENSSMAG00000016546	Scophthalmus_maximus
ENSLCAP00010009556	ENSLCAG00010004599	Lates_calcarifer
ENSMAMP00000012098	ENSMAMG00000008188	Mastacembelus_armatus
ENSMALP00000014136	ENSMALG00000009951	Monopterus_albus
ENSHCOP00000023641	ENSHCOG00000012356	Hippocampus_comes
ENSCSEP00000005013	ENSCSEG00000003249	Cynoglossus_semilaevis
ENSORLP00000009787	ENSORLG00000007810	Oryzias_latipes_ASM223467v1
ENSORLP00015018602	ENSORLG00015019655	Oryzias_latipes_ASM223469v1
ENSORLP00020004777	ENSORLG00020005569	Oryzias_latipes_ASM223471v1
ENSOMEP00000021145	ENSOMEG00000023034	Oryzias_melastigma
ENSGWIP00000030521	ENSGWIG00000015869	Gouania_willdenowi
ENSGMOP00000007256	ENSGMOG00000006822	Gadus_morhua
ENSHHUP00000053793	ENSHHUG00000032300	Hucho_hucho
ENSELUP00000038518	ENSELUG00000018407	Esox_lucius
ENSPMGP00000029434	ENSPMGG00000023679	Periophthalmus_magnuspinnatus
ENSPKIP00000025482	ENSPKIG00000008344	Paramormyrops_kingsleyae
ENSSFOP00015024470	ENSSFOG00015015740	Scleropages_formosus
ENSLOCP00000018137	ENSLOCG00000014732	Lepisosteus_oculatus
ENSECRP00000030973	ENSECRG00000021013	Erpetoichthys_calabaricus
ENSGAGP00000035567	ENSGAGG00000025274	Gopherus_agassizii
ENSCABP00000005225	ENSCABG00000003933	Chelonoidis_abingdonii
ENSCPBP00000025023	ENSCPBG00000017803	Chrysemys_picta_bellii
ENSPSIP00000006931	ENSPSIG00000006367	Pelodiscus_sinensis
ENSCPUP00000004686	ENSCPUG00000003470	Calidris_pugnax
ENSCPGP00000026862	ENSCPGG00000018515	Calidris_pygmaea
ENSMUNP00000016228	ENSMUNG00000012485	Melopsittacus_undulatus
ENSJHYP00000018010	ENSJHYG00000013739	Junco_hyemalis
ENSZALP00000019364	ENSZALG00000015365	Zonotrichia_albicollis
ENSSCAP00000022834	ENSSCAG00000016380	Serinus_canaria
ENSTGUP00000015209	ENSTGUG00000014856	Taeniopygia_guttata
ENSTGUP00000005140	ENSTGUG00000004991	Taeniopygia_guttata
ENSLSDP00000015456	ENSLSDG00000011121	Lonchura_striata_domestica
ENSFALP00000013355	ENSFALG00000012785	Ficedula_albicollis
ENSPMJP00000008875	ENSPMJG00000007173	Parus_major
ENSCCEP00000003479	ENSCCEG00000003857	Cyanistes_caeruleus
ENSLCOP00000000061	ENSLCOG00000000056	Lepidothrix_coronata
ENSMVIP00005021057	ENSMVIG00005014810	Manacus_vitellinus
ENSAPLP00000003119	ENSAPLG00000003635	Anas_platyrhynchos_platyrhynchos
ENSABRP00000010975	ENSABRG00000009891	Anser_brachyrhynchus
ENSMGAP00000003971	ENSMGAG00000004190	Meleagris_gallopavo
ENSGALP00000005534	ENSGALG00000003505	Gallus_gallus
ENSCJPP00005010209	ENSCJPG00005008945	Coturnix_japonica
ENSNMEP00000014838	ENSNMEG00000013244	Numida_meleagris
ENSAHAP00000006803	ENSAHAG00000005088	Apteryx_haastii
ENSAOWP00000023212	ENSAOWG00000015660	Apteryx_owenii
ENSARWP00000021564	ENSARWG00000014727	Apteryx_rowi
ENSDNVP00000025259	ENSDNVG00000017565	Dromaius_novaehollandiae
ENSNPEP00000008457	ENSNPEG00000006312	Nothoprocta_perdicaria
ENSSPUP00000019982	ENSSPUG00000015357	Sphenodon_punctatus
ENSSPUP00000011652	ENSSPUG00000008940	Sphenodon_punctatus
ENSPVIP00000023375	ENSPVIG00000017657	Pogona_vitticeps
ENSACAP00000011577	ENSACAG00000011788	Anolis_carolinensis
ENSNSUP00000022643	ENSNSUG00000016430	Notechis_scutatus
ENSSMRP00000029116	ENSSMRG00000022388	Salvator_merianae
ENSVURP00010021012	ENSVURG00010016066	Vombatus_ursinus
ENSPCIP00000004550	ENSPCIG00000003775	Phascolarctos_cinereus
ENSSHAP00000020209	ENSSHAG00000017142	Sarcophilus_harrisii
ENSMODP00000013893	ENSMODG00000011098	Monodelphis_domestica
ENSSTOP00000008949	ENSSTOG00000009971	Ictidomys_tridecemlineatus
ENSUPAP00010025437	ENSUPAG00010020113	Urocitellus_parryii
ENSTBEP00000007352	ENSTBEG00000008486	Tupaia_belangeri
ENSPTRP00000043936	ENSPTRG00000007143	Pan_troglodytes
ENSPPAP00000018769	ENSPPAG00000032543	Pan_paniscus
ENSP00000261893	ENSG00000103642	Homo_sapiens
ENSGGOP00000014300	ENSGGOG00000014658	Gorilla_gorilla
ENSPPYP00000007414	ENSPPYG00000006536	Pongo_abelii
ENSNLEP00000014839	ENSNLEG00000012215	Nomascus_leucogenys
ENSTGEP00000026610	ENSTGEG00000021443	Theropithecus_gelada
ENSMLEP00000039675	ENSMLEG00000043855	Mandrillus_leucophaeus
ENSPANP00000014110	ENSPANG00000016984	Papio_anubis
ENSCATP00000016519	ENSCATG00000032182	Cercocebus_atys
ENSMNEP00000016703	ENSMNEG00000032367	Macaca_nemestrina
ENSMFAP00000008318	ENSMFAG00000001322	Macaca_fascicularis
ENSMMUP00000004719	ENSMMUG00000003544	Macaca_mulatta
ENSCSAP00000008504	ENSCSAG00000012318	Chlorocebus_sabaeus
ENSRBIP00000025114	ENSRBIG00000036448	Rhinopithecus_bieti
ENSRROP00000001454	ENSRROG00000005892	Rhinopithecus_roxellana
ENSCANP00000010667	ENSCANG00000028742	Colobus_angolensis_palliatus
ENSPTEP00000033115	ENSPTEG00000031686	Piliocolobus_tephrosceles
ENSCCAP00000026238	ENSCCAG00000030922	Cebus_capucinus_imitator
ENSSBOP00000001102	ENSSBOG00000004444	Saimiri_boliviensis_boliviensis
ENSCJAP00000008105	ENSCJAG00000004470	Callithrix_jacchus
ENSANAP00000030491	ENSANAG00000033008	Aotus_nancymaae
ENSTSYP00000001863	ENSTSYG00000002014	Carlito_syrichta
ENSPCOP00000023150	ENSPCOG00000023709	Propithecus_coquereli
ENSMICP00000006464	ENSMICG00000007103	Microcebus_murinus
ENSPSMP00000005625	ENSPSMG00000004273	Prolemur_simus
ENSOGAP00000017780	ENSOGAG00000026764	Otolemur_garnettii
ENSCCNP00000017978	ENSCCNG00000018223	Castor_canadensis
ENSDORP00000027746	ENSDORG00000028713	Dipodomys_ordii
ENSMSIP00000026543	ENSMSIG00000022397	Mus_spicilegus
MGP_SPRETEiJ_P0092078	MGP_SPRETEiJ_G0033525	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034929	ENSMUSG00000032370	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0088453	MGP_CAROLIEiJ_G0032387	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0024092	MGP_PahariEiJ_G0015251	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024452	ENSRNOG00000018081	Rattus_norvegicus
ENSMUGP00000021393	ENSMUGG00000018010	Meriones_unguiculatus
ENSMOCP00000026876	ENSMOCG00000022545	Microtus_ochrogaster
ENSPEMP00000025333	ENSPEMG00000021795	Peromyscus_maniculatus_bairdii
ENSCGRP00001017344	ENSCGRG00001017416	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026705	ENSCGRG00015020220	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021361	ENSCGRG00000015503	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000898	ENSMAUG00000000691	Mesocricetus_auratus
ENSNGAP00000023156	ENSNGAG00000021792	Nannospalax_galili
ENSJJAP00000004995	ENSJJAG00000009980	Jaculus_jaculus
ENSCLAP00000010897	ENSCLAG00000007519	Chinchilla_lanigera
ENSODEP00000023013	ENSODEG00000016877	Octodon_degus
ENSCPOP00000026848	ENSCPOG00000033024	Cavia_porcellus
ENSCAPP00000003771	ENSCAPG00000006463	Cavia_aperea
ENSHGLP00000008396	ENSHGLG00000006070	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007476	ENSHGLG00100005593	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010605	ENSFDAG00000018325	Fukomys_damarensis
ENSOCUP00000038851	ENSOCUG00000009995	Oryctolagus_cuniculus
ENSOPRP00000008037	ENSOPRG00000008786	Ochotona_princeps
ENSEEUP00000009299	ENSEEUG00000010193	Erinaceus_europaeus
ENSCHIP00000033639	ENSCHIG00000027114	Capra_hircus
ENSOARP00000022350	ENSOARG00000020793	Ovis_aries
ENSBIXP00005017589	ENSBIXG00005021042	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005021007	ENSBIXG00005024023	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036925	ENSBIXG00000020442	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023098	ENSBTAG00000017373	Bos_taurus
ENSBBBP00000015613	ENSBBBG00000023337	Bison_bison_bison
ENSBMUP00000004311	ENSBMUG00000003387	Bos_mutus
ENSBBBP00000017910	ENSBBBG00000001835	Bison_bison_bison
ENSSSCP00000031429	ENSSSCG00000004569	Sus_scrofa_strain_reference
ENSTTRP00000003538	ENSTTRG00000003772	Tursiops_truncatus
ENSVPAP00000005077	ENSVPAG00000005463	Vicugna_pacos
ENSSARP00000003477	ENSSARG00000003867	Sorex_araneus
ENSNVIP00000024229	ENSNVIG00000018777	Neovison_vison
ENSMPUP00000000643	ENSMPUG00000000649	Mustela_putorius_furo
ENSUAMP00000028419	ENSUAMG00000021963	Ursus_americanus
ENSUMAP00000034125	ENSUMAG00000024551	Ursus_maritimus
ENSAMEP00000007642	ENSAMEG00000007262	Ailuropoda_melanoleuca
ENSCAFP00020011798	ENSCAFG00020009493	Canis_lupus_dingo
ENSCAFP00000024982	ENSCAFG00000016978	Canis_lupus_familiaris
ENSVVUP00000015411	ENSVVUG00000011297	Vulpes_vulpes
ENSPPRP00000002641	ENSPPRG00000023298	Panthera_pardus
ENSPTIP00000026583	ENSPTIG00000021953	Panthera_tigris_altaica
ENSFCAP00000036867	ENSFCAG00000027796	Felis_catus
ENSEASP00005007324	ENSEASG00005005348	Equus_asinus_asinus
ENSMLUP00000005039	ENSMLUG00000005516	Myotis_lucifugus
ENSMLUP00000022424	ENSMLUG00000022359	Myotis_lucifugus
ENSPVAP00000007903	ENSPVAG00000008367	Pteropus_vampyrus
ENSCHOP00000005939	ENSCHOG00000006709	Choloepus_hoffmanni
ENSDNOP00000027960	ENSDNOG00000045914	Dasypus_novemcinctus
ENSLAFP00000012973	ENSLAFG00000015480	Loxodonta_africana
ENSPCAP00000000247	ENSPCAG00000000275	Procavia_capensis
ENSETEP00000001035	ENSETEG00000001285	Echinops_telfairi
ENSOANP00000022707	ENSOANG00000014411	Ornithorhynchus_anatinus
ENSXETP00000050751	ENSXETG00000020386	Xenopus_tropicalis
ENSCMIP00000013789	ENSCMIG00000006887	Callorhinchus_milii
ENSPMAP00000009372	ENSPMAG00000008513	Petromyzon_marinus
ENSEBUP00000023741	ENSEBUG00000014629	Eptatretus_burgeri
Y45F10D.11a.1	WBGene00012890	Caenorhabditis_elegans_strain_N2
