ENSMMOP00000002247	ENSMMOG00000001846	Mola_mola
ENSTRUP00000049490	ENSTRUG00000022734	Takifugu_rubripes
ENSLBEP00000033022	ENSLBEG00000024874	Labrus_bergylta
ENSATEP00000006936	ENSATEG00000004869	Anabas_testudineus
ENSBSLP00000037129	ENSBSLG00000018089	Betta_splendens
ENSSDUP00000008826	ENSSDUG00000006453	Seriola_dumerili
ENSSLDP00000020330	ENSSLDG00000015889	Seriola_lalandi_dorsalis
ENSLCRP00005020506	ENSLCRG00005008362	Larimichthys_crocea	ENSLCRT00005020911
ENSPMGP00000014884	ENSPMGG00000012182	Periophthalmus_magnuspinnatus
ENSMALP00000016887	ENSMALG00000011817	Monopterus_albus
ENSSMAP00000032448	ENSSMAG00000019892	Scophthalmus_maximus
ENSLCAP00010027069	ENSLCAG00010012692	Lates_calcarifer
ENSAOCP00000032003	ENSAOCG00000024053	Amphiprion_ocellaris
ENSAPEP00000013026	ENSAPEG00000009269	Amphiprion_percula
ENSSPAP00000009444	ENSSPAG00000007176	Stegastes_partitus
ENSPRNP00000007668	ENSPRNG00000004527	Parambassis_ranga
ENSXCOP00000026447	ENSXCOG00000019748	Xiphophorus_couchianus
ENSFHEP00000030684	ENSFHEG00000016136	Fundulus_heteroclitus
ENSORLP00020029827	ENSORLG00020013976	Oryzias_latipes_ASM223471v1
ENSORLP00000010176	ENSORLG00000008108	Oryzias_latipes_ASM223467v1
ENSORLP00015019079	ENSORLG00015020148	Oryzias_latipes_ASM223469v1
ENSOMEP00000035162	ENSOMEG00000022236	Oryzias_melastigma
ENSMZEP00005019583	ENSMZEG00005014698	Maylandia_zebra
ENSACLP00000007799	ENSACLG00000005298	Astatotilapia_calliptera
ENSPNYP00000021466	ENSPNYG00000016206	Pundamilia_nyererei
ENSHBUP00000031048	ENSHBUG00000016487	Haplochromis_burtoni
ENSELUP00000025588	ENSELUG00000024248	Esox_lucius
ENSCHAP00000005468	ENSCHAG00000003497	Clupea_harengus
ENSDCDP00000013056	ENSDCDG00000008656	Denticeps_clupeoides
ENSPNAP00000021289	ENSPNAG00000006787	Pygocentrus_nattereri
ENSAMXP00005037718	ENSAMXG00005017915	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000027816	ENSEEEG00000013395	Electrophorus_electricus
