ENSMUSP00000031914	ENSMUSG00000029875	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0041490	MGP_SPRETEiJ_G0021119	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000000242	ENSMSIG00000000285	Mus_spicilegus
MGP_CAROLIEiJ_P0039658	MGP_CAROLIEiJ_G0020223	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0043010	MGP_PahariEiJ_G0020226	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038126	ENSRNOG00000021945	Rattus_norvegicus
ENSMUGP00000000701	ENSMUGG00000000678	Meriones_unguiculatus
ENSCGRP00000026494	ENSCGRG00000019569	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006663	ENSCGRG00015005172	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001006999	ENSCGRG00001009478	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000009690	ENSMAUG00000010780	Mesocricetus_auratus
ENSMOCP00000004525	ENSMOCG00000003788	Microtus_ochrogaster
ENSPEMP00000015424	ENSPEMG00000014959	Peromyscus_maniculatus_bairdii
ENSCCNP00000011852	ENSCCNG00000012311	Castor_canadensis
ENSSDAP00000017296	ENSSDAG00000015670	Spermophilus_dauricus
ENSUPAP00010002946	ENSUPAG00010002458	Urocitellus_parryii
ENSSTOP00000001740	ENSSTOG00000001957	Ictidomys_tridecemlineatus
ENSMMMP00000026106	ENSMMMG00000022863	Marmota_marmota_marmota
ENSDORP00000000084	ENSDORG00000000096	Dipodomys_ordii
ENSNGAP00000005286	ENSNGAG00000007436	Nannospalax_galili
ENSJJAP00000010637	ENSJJAG00000014181	Jaculus_jaculus
ENSHGLP00100027827	ENSHGLG00100020984	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028745	ENSHGLG00000021111	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003940	ENSFDAG00000013262	Fukomys_damarensis
ENSCLAP00000025525	ENSCLAG00000017612	Chinchilla_lanigera
ENSODEP00000025931	ENSODEG00000019270	Octodon_degus
ENSCPOP00000007524	ENSCPOG00000008369	Cavia_porcellus
ENSTBEP00000005107	ENSTBEG00000005958	Tupaia_belangeri
ENSPSMP00000008643	ENSPSMG00000006359	Prolemur_simus
ENSOGAP00000016016	ENSOGAG00000030121	Otolemur_garnettii
ENSGGOP00000044100	ENSGGOG00000026078	Gorilla_gorilla
ENSP00000320849	ENSG00000177875	Homo_sapiens
ENSPPAP00000000381	ENSPPAG00000001304	Pan_paniscus
ENSPTRP00000050213	ENSPTRG00000029702	Pan_troglodytes
ENSPPYP00000005088	ENSPPYG00000004455	Pongo_abelii
ENSNLEP00000023116	ENSNLEG00000019275	Nomascus_leucogenys
ENSPTEP00000010624	ENSPTEG00000012027	Piliocolobus_tephrosceles
ENSCANP00000004272	ENSCANG00000014959	Colobus_angolensis_palliatus
ENSRBIP00000004447	ENSRBIG00000020435	Rhinopithecus_bieti
ENSRROP00000000278	ENSRROG00000000771	Rhinopithecus_roxellana
ENSPANP00000000598	ENSPANG00000014422	Papio_anubis
ENSMLEP00000001089	ENSMLEG00000004337	Mandrillus_leucophaeus
ENSMFAP00000015289	ENSMFAG00000030879	Macaca_fascicularis
ENSMNEP00000000232	ENSMNEG00000000953	Macaca_nemestrina
ENSMMUP00000061419	ENSMMUG00000052412	Macaca_mulatta
ENSTGEP00000031113	ENSTGEG00000024929	Theropithecus_gelada
ENSCSAP00000018760	ENSCSAG00000019250	Chlorocebus_sabaeus
ENSSBOP00000003397	ENSSBOG00000016554	Saimiri_boliviensis_boliviensis
ENSCJAP00000058771	ENSCJAG00000048154	Callithrix_jacchus
ENSCCAP00000003013	ENSCCAG00000017226	Cebus_capucinus_imitator
ENSANAP00000001643	ENSANAG00000014439	Aotus_nancymaae
ENSEEUP00000005614	ENSEEUG00000006190	Erinaceus_europaeus
ENSSARP00000010506	ENSSARG00000011635	Sorex_araneus
ENSMLUP00000016182	ENSMLUG00000017738	Myotis_lucifugus
ENSAMEP00000021202	ENSAMEG00000020148	Ailuropoda_melanoleuca
ENSUAMP00000000184	ENSUAMG00000000230	Ursus_americanus
ENSCAFP00020016555	ENSCAFG00020013264	Canis_lupus_dingo
ENSCAFP00000013263	ENSCAFG00000009024	Canis_lupus_familiaris
