ENSPCIP00000018948	ENSPCIG00000012483	Phascolarctos_cinereus
ENSVURP00010031826	ENSVURG00010024314	Vombatus_ursinus
ENSMEUP00000008043	ENSMEUG00000008800	Notamacropus_eugenii
ENSSHAP00000009181	ENSSHAG00000007948	Sarcophilus_harrisii
ENSMODP00000009030	ENSMODG00000007284	Monodelphis_domestica
ENSLAFP00000009977	ENSLAFG00000011937	Loxodonta_africana
ENSPCAP00000012567	ENSPCAG00000013407	Procavia_capensis
ENSETEP00000001874	ENSETEG00000002310	Echinops_telfairi
ENSUMAP00000027294	ENSUMAG00000019593	Ursus_maritimus
ENSUAMP00000025710	ENSUAMG00000019981	Ursus_americanus
ENSAMEP00000009395	ENSAMEG00000008893	Ailuropoda_melanoleuca
ENSNVIP00000027505	ENSNVIG00000020786	Neovison_vison
ENSAMEP00000005144	ENSAMEG00000004882	Ailuropoda_melanoleuca
ENSMPUP00000016135	ENSMPUG00000016239	Mustela_putorius_furo
ENSCAFP00020011676	ENSCAFG00020009411	Canis_lupus_dingo
ENSCAFP00000059739	ENSCAFG00000000804	Canis_lupus_familiaris
ENSVVUP00000039965	ENSVVUG00000028488	Vulpes_vulpes
ENSFCAP00000050071	ENSFCAG00000023366	Felis_catus
ENSPPRP00000012287	ENSPPRG00000005876	Panthera_pardus
ENSEASP00005031869	ENSEASG00005021752	Equus_asinus_asinus
ENSECAP00000025399	ENSECAG00000018101	Equus_caballus
ENSCHIP00000018671	ENSCHIG00000017977	Capra_hircus
ENSOARP00000020846	ENSOARG00000019404	Ovis_aries
ENSBIXP00005002163	ENSBIXG00005008557	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000005223	ENSBIXG00000011470	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000071425	ENSBTAG00000012088	Bos_taurus
ENSBMUP00000030289	ENSBMUG00000022667	Bos_mutus
ENSBBBP00000003940	ENSBBBG00000012918	Bison_bison_bison
ENSSSCP00000044658	ENSSSCG00000000010	Sus_scrofa_strain_reference
ENSEEUP00000008276	ENSEEUG00000009048	Erinaceus_europaeus
ENSMLUP00000013061	ENSMLUG00000014350	Myotis_lucifugus
ENSTBEP00000012216	ENSTBEG00000014091	Tupaia_belangeri
ENSPSMP00000016846	ENSPSMG00000011968	Prolemur_simus
ENSOGAP00000011490	ENSOGAG00000012818	Otolemur_garnettii
ENSP00000331544	ENSG00000077942	Homo_sapiens
ENSPPYP00000013321	ENSPPYG00000011935	Pongo_abelii
ENSCSAP00000001640	ENSCSAG00000005328	Chlorocebus_sabaeus
ENSMMUP00000003257	ENSMMUG00000002424	Macaca_mulatta
ENSTGEP00000005168	ENSTGEG00000004294	Theropithecus_gelada
ENSANAP00000024337	ENSANAG00000029860	Aotus_nancymaae
ENSCJAP00000069578	ENSCJAG00000012893	Callithrix_jacchus
ENSTSYP00000022573	ENSTSYG00000011465	Carlito_syrichta
ENSCLAP00000024685	ENSCLAG00000016951	Chinchilla_lanigera
ENSODEP00000020032	ENSODEG00000014780	Octodon_degus
ENSCPOP00000007897	ENSCPOG00000008797	Cavia_porcellus
ENSCAPP00000009302	ENSCAPG00000010774	Cavia_aperea
ENSHGLP00000022222	ENSHGLG00000015844	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022771	ENSHGLG00100016742	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000002967	ENSFDAG00000012531	Fukomys_damarensis
ENSDORP00000018389	ENSDORG00000009625	Dipodomys_ordii
ENSMSIP00000022145	ENSMSIG00000018794	Mus_spicilegus
MGP_SPRETEiJ_P0041135	MGP_SPRETEiJ_G0021022	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000054583	ENSMUSG00000006369	Mus_musculus_strain_reference_(CL57BL6)
