ENSPMGP00000015321	ENSPMGG00000012555	Periophthalmus_magnuspinnatus
ENSCPUP00000027415	ENSCPUG00000018454	Calidris_pugnax
ENSRROP00000002395	ENSRROG00000009591	Rhinopithecus_roxellana
ENSTSYP00000005019	ENSTSYG00000005479	Carlito_syrichta
ENSJJAP00000023905	ENSJJAG00000023521	Jaculus_jaculus
ENSCHAP00000000984	ENSCHAG00000000285	Clupea_harengus
ENSPRNP00000004399	ENSPRNG00000002270	Parambassis_ranga
ENSCPBP00000018013	ENSCPBG00000013170	Chrysemys_picta_bellii
ENSPVAP00000008436	ENSPVAG00000008940	Pteropus_vampyrus	ENSPVAT00000008940
ENSMICP00000047312	ENSMICG00000042653	Microcebus_murinus
ENSMLUP00000010284	ENSMLUG00000011245	Myotis_lucifugus
ENSSBOP00000029205	ENSSBOG00000030909	Saimiri_boliviensis_boliviensis
ENSMUNP00000018651	ENSMUNG00000014262	Melopsittacus_undulatus
ENSCJAP00000034656	ENSCJAG00000018638	Callithrix_jacchus
ENSNMEP00000000599	ENSNMEG00000000924	Numida_meleagris
ENSECRP00000006127	ENSECRG00000004088	Erpetoichthys_calabaricus
ENSDNVP00000019123	ENSDNVG00000013381	Dromaius_novaehollandiae
ENSDCDP00000036650	ENSDCDG00000024050	Denticeps_clupeoides
ENSMEUP00000002103	ENSMEUG00000002284	Notamacropus_eugenii
ENSDNOP00000030228	ENSDNOG00000031335	Dasypus_novemcinctus
ENSPMJP00000021245	ENSPMJG00000015770	Parus_major
ENSCSEP00000031292	ENSCSEG00000020031	Cynoglossus_semilaevis
ENSUMAP00000018533	ENSUMAG00000013133	Ursus_maritimus
ENSOMEP00000031425	ENSOMEG00000016271	Oryzias_melastigma
ENSMLEP00000020329	ENSMLEG00000034356	Mandrillus_leucophaeus
ENSRBIP00000041653	ENSRBIG00000044140	Rhinopithecus_bieti
ENSEASP00005022038	ENSEASG00005015016	Equus_asinus_asinus
ENSXMAP00000010152	ENSXMAG00000010104	Xiphophorus_maculatus
ENSDARP00000087992	ENSDARG00000067549	Danio_rerio
ENSCGRP00001025767	ENSCGRG00001023259	Cricetulus_griseus_CHOK1GS_HDv1
ENSMFAP00000029811	ENSMFAG00000042081	Macaca_fascicularis
ENSMOCP00000004748	ENSMOCG00000004056	Microtus_ochrogaster
ENSBMUP00000008041	ENSBMUG00000006298	Bos_mutus
ENSOARP00000012864	ENSOARG00000011993	Ovis_aries
ENSCPGP00000010781	ENSCPGG00000007606	Calidris_pygmaea
ENSSARP00000008921	ENSSARG00000009867	Sorex_araneus
ENSGMOP00000007855	ENSGMOG00000007338	Gadus_morhua
ENSTRUP00000042361	ENSTRUG00000016570	Takifugu_rubripes
ENSAPOP00000024033	ENSAPOG00000006343	Acanthochromis_polyacanthus
ENSCCEP00000010300	ENSCCEG00000010283	Cyanistes_caeruleus
ENSFHEP00000024748	ENSFHEG00000006660	Fundulus_heteroclitus
ENSHHUP00000088587	ENSHHUG00000051176	Hucho_hucho
ENSMMOP00000014260	ENSMMOG00000010906	Mola_mola
ENSAMXP00000029497	ENSAMXG00000030557	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNVIP00000004865	ENSNVIG00000003861	Neovison_vison
ENSELUP00000027463	ENSELUG00000003726	Esox_lucius
ENSPLAP00000009131	ENSPLAG00000011986	Poecilia_latipinna
ENSVVUP00000030334	ENSVVUG00000022120	Vulpes_vulpes
ENSVURP00010006661	ENSVURG00010005171	Vombatus_ursinus
ENSSPUP00000022003	ENSSPUG00000016870	Sphenodon_punctatus
ENSDORP00000002333	ENSDORG00000002483	Dipodomys_ordii
ENSODEP00000002839	ENSODEG00000002180	Octodon_degus
ENSSMAP00000012584	ENSSMAG00000007742	Scophthalmus_maximus
ENSEEEP00000005870	ENSEEEG00000003115	Electrophorus_electricus
ENSMUGP00000002588	ENSMUGG00000002384	Meriones_unguiculatus
ENSGAFP00000025659	ENSGAFG00000017307	Gambusia_affinis
ENSLAFP00000018486	ENSLAFG00000017070	Loxodonta_africana
ENSMMUP00000060924	ENSMMUG00000016226	Macaca_mulatta
ENSFCAP00000050120	ENSFCAG00000036378	Felis_catus
ENSAPEP00000022770	ENSAPEG00000016074	Amphiprion_percula
ENSTBEP00000009130	ENSTBEG00000010513	Tupaia_belangeri
ENSCSAP00000013198	ENSCSAG00000017158	Chlorocebus_sabaeus
ENSLSDP00000020610	ENSLSDG00000014589	Lonchura_striata_domestica
ENSCGOP00000044320	ENSCGOG00000019500	Cottoperca_gobio
ENSTSYP00000025934	ENSTSYG00000026827	Carlito_syrichta
ENSPPAP00000027985	ENSPPAG00000037028	Pan_paniscus
ENSNLEP00000017358	ENSNLEG00000014257	Nomascus_leucogenys
ENSPNAP00000005602	ENSPNAG00000011795	Pygocentrus_nattereri
ENSMLEP00000015978	ENSMLEG00000032195	Mandrillus_leucophaeus
ENSCMIP00000016034	ENSCMIG00000007781	Callorhinchus_milii
ENSGAGP00000008932	ENSGAGG00000007063	Gopherus_agassizii
ENSSHAP00000010819	ENSSHAG00000009326	Sarcophilus_harrisii
ENSCPOP00000000382	ENSCPOG00000000432	Cavia_porcellus
ENSTGUP00000002001	ENSTGUG00000001933	Taeniopygia_guttata
ENSPREP00000014950	ENSPREG00000010091	Poecilia_reticulata
ENSCCNP00000011854	ENSCCNG00000012134	Castor_canadensis
ENSSLDP00000004624	ENSSLDG00000003685	Seriola_lalandi_dorsalis
ENSMZEP00005014451	ENSMZEG00005010870	Maylandia_zebra
ENSRNOP00000025693	ENSRNOG00000018865	Rattus_norvegicus
ENSOPRP00000003323	ENSOPRG00000003595	Ochotona_princeps
ENSPTEP00000026457	ENSPTEG00000026503	Piliocolobus_tephrosceles
ENSBTAP00000016677	ENSBTAG00000012558	Bos_taurus
ENSOANP00000022734	ENSOANG00000014430	Ornithorhynchus_anatinus
ENSGALP00000065838	ENSGALG00000003295	Gallus_gallus
ENSLCOP00000009651	ENSLCOG00000007020	Lepidothrix_coronata
ENSPCIP00000029810	ENSPCIG00000022178	Phascolarctos_cinereus
ENSMUSP00000057796	ENSMUSG00000047497	Mus_musculus_strain_reference_(CL57BL6)
ENSGWIP00000038217	ENSGWIG00000019042	Gouania_willdenowi
ENSLCAP00010001818	ENSLCAG00010000990	Lates_calcarifer
ENSHHUP00000009584	ENSHHUG00000005850	Hucho_hucho
ENSXETP00000032180	ENSXETG00000010850	Xenopus_tropicalis
ENSTGEP00000006331	ENSTGEG00000005191	Theropithecus_gelada
ENSBSLP00000003830	ENSBSLG00000002003	Betta_splendens
ENSLCRP00005027478	ENSLCRG00005010074	Larimichthys_crocea
ENSPTIP00000019753	ENSPTIG00000017414	Panthera_tigris_altaica
ENSLACP00000016963	ENSLACG00000014939	Latimeria_chalumnae
ENSPKIP00000037642	ENSPKIG00000015734	Paramormyrops_kingsleyae
ENSXCOP00000012415	ENSXCOG00000009374	Xiphophorus_couchianus
ENSMMMP00000003769	ENSMMMG00000003395	Marmota_marmota_marmota
ENSOGAP00000008189	ENSOGAG00000009131	Otolemur_garnettii
ENSSDUP00000031550	ENSSDUG00000022593	Seriola_dumerili
ENSOCUP00000005499	ENSOCUG00000006357	Oryctolagus_cuniculus
ENSBIXP00005001161	ENSBIXG00005029427	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMVIP00005014243	ENSMVIG00005010267	Manacus_vitellinus
ENSSTOP00000014603	ENSSTOG00000016305	Ictidomys_tridecemlineatus
ENSORLP00015015686	ENSORLG00015016613	Oryzias_latipes_ASM223469v1
ENSPNAP00000026505	ENSPNAG00000001938	Pygocentrus_nattereri
ENSAPLP00000018081	ENSAPLG00000002467	Anas_platyrhynchos_platyrhynchos
ENSRROP00000037735	ENSRROG00000042284	Rhinopithecus_roxellana
ENSAMXP00005014607	ENSAMXG00005007782	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPTRP00000060857	ENSPTRG00000016776	Pan_troglodytes
ENSACIP00000026075	ENSACIG00000020106	Amphilophus_citrinellus
ENSIPUP00000035121	ENSIPUG00000023573	Ictalurus_punctatus
ENSMPUP00000015063	ENSMPUG00000015172	Mustela_putorius_furo
ENSABRP00000005064	ENSABRG00000004694	Anser_brachyrhynchus
ENSVPAP00000009417	ENSVPAG00000010120	Vicugna_pacos
ENSNSUP00000020621	ENSNSUG00000015015	Notechis_scutatus
ENSAOWP00000010219	ENSAOWG00000007030	Apteryx_owenii
ENSATEP00000031607	ENSATEG00000021779	Anabas_testudineus
ENSNGAP00000021557	ENSNGAG00000020672	Nannospalax_galili
ENSHGLP00100018827	ENSHGLG00100013889	Heterocephalus_glaber_HetGla_1.0
ENSEEUP00000001202	ENSEEUG00000001326	Erinaceus_europaeus	ENSEEUT00000001338
ENSCJPP00005007138	ENSCJPG00005006588	Coturnix_japonica
ENSTTRP00000010769	ENSTTRG00000011359	Tursiops_truncatus
ENSTNIP00000019021	ENSTNIG00000015935	Tetraodon_nigroviridis
ENSSCAP00000001554	ENSSCAG00000001298	Serinus_canaria
ENSACLP00000013867	ENSACLG00000009469	Astatotilapia_calliptera
ENSCCNP00000011621	ENSCCNG00000012059	Castor_canadensis
ENSCANP00000025438	ENSCANG00000036122	Colobus_angolensis_palliatus
ENSECAP00000013835	ENSECAG00000016121	Equus_caballus
MGP_SPRETEiJ_P0039651	MGP_SPRETEiJ_G0020570	Mus_spretus_strain_SPRET/EiJ
ENSSHAP00000006775	ENSSHAG00000005889	Sarcophilus_harrisii
ENSPSMP00000011457	ENSPSMG00000008262	Prolemur_simus
ENSFDAP00000006534	ENSFDAG00000015268	Fukomys_damarensis
ENSUAMP00000016510	ENSUAMG00000013148	Ursus_americanus
ENSECRP00000006098	ENSECRG00000004059	Erpetoichthys_calabaricus
ENSGACP00000005958	ENSGACG00000004500	Gasterosteus_aculeatus
ENSPSIP00000017431	ENSPSIG00000015504	Pelodiscus_sinensis
ENSNBRP00000027648	ENSNBRG00000020973	Neolamprologus_brichardi
ENSAMEP00000003619	ENSAMEG00000003394	Ailuropoda_melanoleuca
ENSSPAP00000012570	ENSSPAG00000009540	Stegastes_partitus
ENSOANP00000030866	ENSOANG00000028510	Ornithorhynchus_anatinus
ENSBIXP00000010824	ENSBIXG00000016244	Bos_indicus_x_Bos_taurus_UOA_Angus_1
