ENSCINP00000017765	ENSCING00000008705	Ciona_intestinalis	ENSCINT00000017765
ENSCSAVP00000007560	ENSCSAVG00000004515	Ciona_savignyi	ENSCSAVT00000007659
C34G6.5.1	WBGene00016421	Caenorhabditis_elegans_strain_N2	C34G6.5.1
ENSPMAP00000009418	ENSPMAG00000008543	Petromyzon_marinus	ENSPMAT00000009458
ENSEBUP00000021003	ENSEBUG00000012983	Eptatretus_burgeri	ENSEBUT00000021579
ENSDNOP00000018537	ENSDNOG00000039583	Dasypus_novemcinctus
ENSCHOP00000008367	ENSCHOG00000009449	Choloepus_hoffmanni
ENSPVAP00000009162	ENSPVAG00000009718	Pteropus_vampyrus
ENSMLUP00000013724	ENSMLUG00000015065	Myotis_lucifugus
ENSVPAP00000010551	ENSVPAG00000011332	Vicugna_pacos
ENSSSCP00000068885	ENSSSCG00000027251	Sus_scrofa_strain_reference
ENSTTRP00000005873	ENSTTRG00000006211	Tursiops_truncatus
ENSOARP00000017120	ENSOARG00000015943	Ovis_aries
ENSCHIP00000033187	ENSCHIG00000026844	Capra_hircus
ENSBIXP00000038478	ENSBIXG00000022332	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000795	ENSBIXG00005029834	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000068842	ENSBTAG00000016307	Bos_taurus
ENSBMUP00000018739	ENSBMUG00000014193	Bos_mutus
ENSBBBP00000026486	ENSBBBG00000008125	Bison_bison_bison
ENSUAMP00000010679	ENSUAMG00000008761	Ursus_americanus	ENSUAMT00000011996
ENSUMAP00000001376	ENSUMAG00000001109	Ursus_maritimus	ENSUMAT00000001735
ENSAMEP00000000528	ENSAMEG00000000492	Ailuropoda_melanoleuca	ENSAMET00000000547
ENSCAFP00000029929	ENSCAFG00000020182	Canis_lupus_familiaris
ENSCAFP00020016967	ENSCAFG00020013566	Canis_lupus_dingo
ENSVVUP00000028395	ENSVVUG00000020767	Vulpes_vulpes
ENSMPUP00000004468	ENSMPUG00000004504	Mustela_putorius_furo
ENSNVIP00000023034	ENSNVIG00000017917	Neovison_vison
ENSPTIP00000004059	ENSPTIG00000006650	Panthera_tigris_altaica
ENSPPRP00000004937	ENSPPRG00000000861	Panthera_pardus
ENSFCAP00000023138	ENSFCAG00000029587	Felis_catus
ENSEASP00005022715	ENSEASG00005015434	Equus_asinus_asinus
ENSECAP00000020547	ENSECAG00000022964	Equus_caballus
ENSEEUP00000008521	ENSEEUG00000009310	Erinaceus_europaeus
ENSSARP00000006450	ENSSARG00000007105	Sorex_araneus
ENSMICP00000045195	ENSMICG00000011588	Microcebus_murinus
ENSPSMP00000022367	ENSPSMG00000015799	Prolemur_simus
ENSPCOP00000021882	ENSPCOG00000022992	Propithecus_coquereli
ENSOGAP00000017075	ENSOGAG00000029298	Otolemur_garnettii
ENSPTRP00000069321	ENSPTRG00000043247	Pan_troglodytes
ENSPPAP00000006296	ENSPPAG00000024798	Pan_paniscus
ENSP00000393139	ENSG00000097046	Homo_sapiens
ENSGGOP00000025732	ENSGGOG00000007545	Gorilla_gorilla
ENSPPYP00000001346	ENSPPYG00000001162	Pongo_abelii
ENSNLEP00000012580	ENSNLEG00000010319	Nomascus_leucogenys
ENSMLEP00000024104	ENSMLEG00000036223	Mandrillus_leucophaeus
ENSCATP00000016611	ENSCATG00000032234	Cercocebus_atys
ENSPANP00000000112	ENSPANG00000010804	Papio_anubis
ENSCSAP00000016564	ENSCSAG00000001460	Chlorocebus_sabaeus
ENSTGEP00000028328	ENSTGEG00000022816	Theropithecus_gelada
ENSMFAP00000045488	ENSMFAG00000000474	Macaca_fascicularis
ENSMNEP00000005971	ENSMNEG00000026624	Macaca_nemestrina
ENSMMUP00000064580	ENSMMUG00000056970	Macaca_mulatta
ENSRBIP00000033878	ENSRBIG00000040669	Rhinopithecus_bieti
ENSRROP00000012881	ENSRROG00000030730	Rhinopithecus_roxellana
ENSPTEP00000030044	ENSPTEG00000029330	Piliocolobus_tephrosceles
ENSCANP00000013607	ENSCANG00000030225	Colobus_angolensis_palliatus
ENSCANP00000034313	ENSCANG00000040827	Colobus_angolensis_palliatus
ENSRROP00000014488	ENSRROG00000031450	Rhinopithecus_roxellana
ENSMFAP00000020152	ENSMFAG00000033052	Macaca_fascicularis
ENSMNEP00000039662	ENSMNEG00000042773	Macaca_nemestrina
ENSMLEP00000016943	ENSMLEG00000032666	Mandrillus_leucophaeus
ENSCATP00000044566	ENSCATG00000044759	Cercocebus_atys
ENSPANP00000003354	ENSPANG00000019147	Papio_anubis
ENSTGEP00000010812	ENSTGEG00000008831	Theropithecus_gelada
ENSPTEP00000004702	ENSPTEG00000005486	Piliocolobus_tephrosceles
ENSCCAP00000036006	ENSCCAG00000035924	Cebus_capucinus_imitator
ENSSBOP00000020407	ENSSBOG00000026796	Saimiri_boliviensis_boliviensis
ENSCJAP00000066190	ENSCJAG00000045959	Callithrix_jacchus
ENSANAP00000004663	ENSANAG00000020421	Aotus_nancymaae
ENSTSYP00000004943	ENSTSYG00000005397	Carlito_syrichta
ENSTBEP00000009104	ENSTBEG00000010519	Tupaia_belangeri
ENSCLAP00000010821	ENSCLAG00000007469	Chinchilla_lanigera
ENSODEP00000009828	ENSODEG00000007352	Octodon_degus
ENSCPOP00000011478	ENSCPOG00000012756	Cavia_porcellus
ENSHGLP00000008380	ENSHGLG00000006058	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001228	ENSHGLG00100000975	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009618	ENSFDAG00000017583	Fukomys_damarensis
ENSUPAP00010009501	ENSUPAG00010007656	Urocitellus_parryii
ENSSDAP00000025636	ENSSDAG00000023274	Spermophilus_dauricus
ENSMMMP00000027532	ENSMMMG00000024042	Marmota_marmota_marmota
ENSSTOP00000027793	ENSSTOG00000002130	Ictidomys_tridecemlineatus
ENSCCNP00000031189	ENSCCNG00000029710	Castor_canadensis
ENSDORP00000013794	ENSDORG00000014664	Dipodomys_ordii
MGP_SPRETEiJ_P0072173	MGP_SPRETEiJ_G0028496	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000022061	ENSMSIG00000018634	Mus_spicilegus
ENSMUSP00000113385	ENSMUSG00000029283	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0069510	MGP_CAROLIEiJ_G0027497	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032648	MGP_PahariEiJ_G0017269	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000059094	ENSRNOG00000002105	Rattus_norvegicus
ENSMUGP00000012718	ENSMUGG00000011026	Meriones_unguiculatus
ENSPEMP00000026000	ENSPEMG00000022245	Peromyscus_maniculatus_bairdii
ENSMOCP00000010254	ENSMOCG00000010463	Microtus_ochrogaster
ENSCGRP00015018760	ENSCGRG00015013970	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008254	ENSCGRG00001010556	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011606	ENSCGRG00000008458	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000004068	ENSCGRG00000002994	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001024044	ENSCGRG00001022071	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020810	ENSMAUG00000018713	Mesocricetus_auratus
ENSNGAP00000012719	ENSNGAG00000014479	Nannospalax_galili
ENSJJAP00000011825	ENSJJAG00000015046	Jaculus_jaculus
ENSOCUP00000022830	ENSOCUG00000026347	Oryctolagus_cuniculus
ENSOPRP00000009227	ENSOPRG00000010086	Ochotona_princeps
ENSLAFP00000008623	ENSLAFG00000010296	Loxodonta_africana
ENSPCAP00000009468	ENSPCAG00000010128	Procavia_capensis
ENSETEP00000010778	ENSETEG00000013291	Echinops_telfairi
ENSPCIP00000047559	ENSPCIG00000014227	Phascolarctos_cinereus
ENSVURP00010001606	ENSVURG00010001369	Vombatus_ursinus
ENSMEUP00000011353	ENSMEUG00000012453	Notamacropus_eugenii
ENSSHAP00000016894	ENSSHAG00000014369	Sarcophilus_harrisii
ENSMODP00000015076	ENSMODG00000012035	Monodelphis_domestica
ENSOANP00000023290	ENSOANG00000014786	Ornithorhynchus_anatinus
ENSCCEP00000004197	ENSCCEG00000004665	Cyanistes_caeruleus
ENSPMJP00000026580	ENSPMJG00000019400	Parus_major
ENSFALP00000001850	ENSFALG00000001771	Ficedula_albicollis
ENSTGUP00000006330	ENSTGUG00000006148	Taeniopygia_guttata
ENSLSDP00000015579	ENSLSDG00000011207	Lonchura_striata_domestica
ENSSCAP00000019391	ENSSCAG00000014003	Serinus_canaria
ENSZALP00000008488	ENSZALG00000007390	Zonotrichia_albicollis
ENSJHYP00000002815	ENSJHYG00000002348	Junco_hyemalis
ENSMVIP00005006719	ENSMVIG00005005058	Manacus_vitellinus
ENSLCOP00000005129	ENSLCOG00000003851	Lepidothrix_coronata
ENSMUNP00000018342	ENSMUNG00000014038	Melopsittacus_undulatus
ENSCPGP00000000087	ENSCPGG00000000076	Calidris_pygmaea
ENSCPUP00000004801	ENSCPUG00000003553	Calidris_pugnax
ENSGALP00000009735	ENSGALG00000006051	Gallus_gallus
ENSCJPP00005009335	ENSCJPG00005008208	Coturnix_japonica
ENSMGAP00000008638	ENSMGAG00000008404	Meleagris_gallopavo
ENSNMEP00000024750	ENSNMEG00000020980	Numida_meleagris
ENSABRP00000017968	ENSABRG00000015510	Anser_brachyrhynchus
ENSAOWP00000002375	ENSAOWG00000001708	Apteryx_owenii
ENSAOWP00000002368	ENSAOWG00000001705	Apteryx_owenii
ENSARWP00000022441	ENSARWG00000015263	Apteryx_rowi
ENSAHAP00000009380	ENSAHAG00000006687	Apteryx_haastii
ENSDNVP00000019171	ENSDNVG00000013430	Dromaius_novaehollandiae
ENSNPEP00000003609	ENSNPEG00000002768	Nothoprocta_perdicaria
ENSCCEP00000004199	ENSCCEG00000004666	Cyanistes_caeruleus
ENSAPLP00000021992	ENSAPLG00000023602	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005024179	ENSCPRG00005016740	Crocodylus_porosus
ENSGAGP00000035439	ENSGAGG00000025196	Gopherus_agassizii
ENSCABP00000007870	ENSCABG00000005594	Chelonoidis_abingdonii
ENSCPBP00000021858	ENSCPBG00000015690	Chrysemys_picta_bellii
ENSPSIP00000002554	ENSPSIG00000002502	Pelodiscus_sinensis
ENSPVIP00000004035	ENSPVIG00000003281	Pogona_vitticeps
ENSACAP00000001488	ENSACAG00000001503	Anolis_carolinensis
ENSNSUP00000028035	ENSNSUG00000019983	Notechis_scutatus
ENSSMRP00000023050	ENSSMRG00000017886	Salvator_merianae
