ENSLCOP00000012957	ENSLCOG00000009339	Lepidothrix_coronata
ENSPMJP00000027187	ENSPMJG00000019802	Parus_major
ENSABRP00000012579	ENSABRG00000011278	Anser_brachyrhynchus
ENSNPEP00000014470	ENSNPEG00000010831	Nothoprocta_perdicaria
ENSDNVP00000004223	ENSDNVG00000002999	Dromaius_novaehollandiae
ENSPVIP00000013977	ENSPVIG00000010800	Pogona_vitticeps
ENSCAFP00020013611	ENSCAFG00020010950	Canis_lupus_dingo
ENSVVUP00000011792	ENSVVUG00000008693	Vulpes_vulpes
ENSOARP00000006231	ENSOARG00000005811	Ovis_aries
ENSAPOP00000023285	ENSAPOG00000004948	Acanthochromis_polyacanthus	ENSAPOT00000011745
ENSFHEP00000018899	ENSFHEG00000020780	Fundulus_heteroclitus
ENSGMOP00000011933	ENSGMOG00000011162	Gadus_morhua
ENSELUP00000018880	ENSELUG00000018288	Esox_lucius
ENSCPBP00000000423	ENSCPBG00000000313	Chrysemys_picta_bellii
ENSCABP00000010138	ENSCABG00000007596	Chelonoidis_abingdonii
ENSPMJP00000021441	ENSPMJG00000015918	Parus_major
ENSCCEP00000014232	ENSCCEG00000013578	Cyanistes_caeruleus
ENSCPGP00000020329	ENSCPGG00000014231	Calidris_pygmaea
ENSNPEP00000015592	ENSNPEG00000011640	Nothoprocta_perdicaria
ENSNSUP00000006288	ENSNSUG00000005011	Notechis_scutatus
ENSPVAP00000009943	ENSPVAG00000010553	Pteropus_vampyrus
ENSUMAP00000015032	ENSUMAG00000011069	Ursus_maritimus
ENSSARP00000001533	ENSSARG00000001691	Sorex_araneus
ENSCJAP00000068635	ENSCJAG00000006890	Callithrix_jacchus
ENSOCUP00000045921	ENSOCUG00000025093	Oryctolagus_cuniculus
ENSDNOP00000025363	ENSDNOG00000031635	Dasypus_novemcinctus
ENSLCRP00005013101	ENSLCRG00005005708	Larimichthys_crocea
ENSMALP00000000520	ENSMALG00000000427	Monopterus_albus
ENSCSEP00000016381	ENSCSEG00000010532	Cynoglossus_semilaevis
ENSHHUP00000020036	ENSHHUG00000012547	Hucho_hucho
ENSSFOP00015002174	ENSSFOG00015001484	Scleropages_formosus
