ENSSDAP00000004852	ENSSDAG00000004553	Spermophilus_dauricus	ENSSDAT00000005558
ENSMUGP00000026436	ENSMUGG00000022022	Meriones_unguiculatus	ENSMUGT00000030300
ENSTSYP00000014959	ENSTSYG00000031247	Carlito_syrichta	ENSTSYT00000037405
ENSPCOP00000032034	ENSPCOG00000028800	Propithecus_coquereli	ENSPCOT00000042995
ENSMICP00000033645	ENSMICG00000009516	Microcebus_murinus	ENSMICT00000053370
ENSPSMP00000014203	ENSPSMG00000010193	Prolemur_simus	ENSPSMT00000016513
ENSOGAP00000000703	ENSOGAG00000000789	Otolemur_garnettii	ENSOGAT00000000790
ENSPPAP00000014050	ENSPPAG00000030155	Pan_paniscus	ENSPPAT00000036725
ENSPTRP00000064442	ENSPTRG00000051435	Pan_troglodytes	ENSPTRT00000089940
ENSP00000473990	ENSG00000006534	Homo_sapiens
ENSGGOP00000021756	ENSGGOG00000004995	Gorilla_gorilla
ENSPPYP00000003452	ENSPPYG00000002977	Pongo_abelii
ENSNLEP00000007930	ENSNLEG00000006517	Nomascus_leucogenys
ENSPPYP00000022389	ENSPPYG00000020004	Pongo_abelii
ENSCANP00000002682	ENSCANG00000009737	Colobus_angolensis_palliatus
ENSPTEP00000035036	ENSPTEG00000033136	Piliocolobus_tephrosceles
ENSRROP00000023249	ENSRROG00000035472	Rhinopithecus_roxellana
ENSRBIP00000015045	ENSRBIG00000031620	Rhinopithecus_bieti
ENSPANP00000024247	ENSPANG00000010862	Papio_anubis
ENSTGEP00000003976	ENSTGEG00000003344	Theropithecus_gelada
ENSCATP00000013722	ENSCATG00000030949	Cercocebus_atys
ENSMFAP00000003554	ENSMFAG00000001507	Macaca_fascicularis
ENSMLEP00000006121	ENSMLEG00000025945	Mandrillus_leucophaeus
ENSSBOP00000009454	ENSSBOG00000021610	Saimiri_boliviensis_boliviensis
ENSCCAP00000005669	ENSCCAG00000020585	Cebus_capucinus_imitator
ENSCJAP00000062059	ENSCJAG00000015676	Callithrix_jacchus
ENSANAP00000009514	ENSANAG00000022742	Aotus_nancymaae
ENSOCUP00000045757	ENSOCUG00000039281	Oryctolagus_cuniculus
MGP_SPRETEiJ_P0049350	MGP_SPRETEiJ_G0023392	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014694	ENSMSIG00000012641	Mus_spicilegus
ENSMUSP00000056276	ENSMUSG00000024885	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0047386	MGP_CAROLIEiJ_G0022475	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020402	MGP_PahariEiJ_G0013972	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074371	ENSRNOG00000017512	Rattus_norvegicus
ENSMUGP00000026221	ENSMUGG00000021859	Meriones_unguiculatus
ENSCGRP00015025683	ENSCGRG00015019500	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001934	ENSCGRG00001001915	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025124	ENSCGRG00000018195	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019561	ENSMAUG00000017809	Mesocricetus_auratus
ENSMOCP00000023745	ENSMOCG00000020373	Microtus_ochrogaster
ENSPEMP00000014292	ENSPEMG00000026438	Peromyscus_maniculatus_bairdii
ENSRNOP00000024034	ENSRNOG00000017872	Rattus_norvegicus
ENSNGAP00000009972	ENSNGAG00000012520	Nannospalax_galili
ENSJJAP00000018886	ENSJJAG00000020011	Jaculus_jaculus
ENSCLAP00000023368	ENSCLAG00000016029	Chinchilla_lanigera
ENSODEP00000023873	ENSODEG00000017474	Octodon_degus
ENSCPOP00000018156	ENSCPOG00000021502	Cavia_porcellus
ENSCAPP00000008349	ENSCAPG00000010060	Cavia_aperea
ENSHGLP00100010502	ENSHGLG00100007807	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014072	ENSHGLG00000010052	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020946	ENSFDAG00000008070	Fukomys_damarensis
ENSCCNP00000012314	ENSCCNG00000012764	Castor_canadensis
ENSDORP00000003336	ENSDORG00000003566	Dipodomys_ordii
ENSUPAP00010009549	ENSUPAG00010007728	Urocitellus_parryii
ENSSTOP00000013579	ENSSTOG00000015155	Ictidomys_tridecemlineatus
ENSMMMP00000000337	ENSMMMG00000000301	Marmota_marmota_marmota
ENSSDAP00000004837	ENSSDAG00000004496	Spermophilus_dauricus
ENSPVAP00000001115	ENSPVAG00000001184	Pteropus_vampyrus
ENSMLUP00000016864	ENSMLUG00000029407	Myotis_lucifugus
ENSMPUP00000004144	ENSMPUG00000004179	Mustela_putorius_furo
ENSNVIP00000016199	ENSNVIG00000012672	Neovison_vison
ENSAMEP00000001267	ENSAMEG00000001158	Ailuropoda_melanoleuca
ENSPTIP00000001488	ENSPTIG00000003636	Panthera_tigris_altaica
ENSVPAP00000007124	ENSVPAG00000007659	Vicugna_pacos
ENSUMAP00000017862	ENSUMAG00000013125	Ursus_maritimus
ENSOARP00000015342	ENSOARG00000014292	Ovis_aries
