ENSMVIP00005009840	ENSMVIG00005007242	Manacus_vitellinus
ENSLCOP00000016736	ENSLCOG00000011908	Lepidothrix_coronata
ENSJHYP00000020341	ENSJHYG00000015445	Junco_hyemalis
ENSZALP00000008266	ENSZALG00000007200	Zonotrichia_albicollis
ENSSCAP00000012653	ENSSCAG00000009450	Serinus_canaria
ENSTGUP00000005434	ENSTGUG00000005272	Taeniopygia_guttata
ENSTGUP00000005414	ENSTGUG00000005269	Taeniopygia_guttata
ENSLSDP00000023678	ENSLSDG00000016662	Lonchura_striata_domestica
ENSPMJP00000013472	ENSPMJG00000010232	Parus_major
ENSCCEP00000004842	ENSCCEG00000005325	Cyanistes_caeruleus
ENSFALP00000010558	ENSFALG00000010124	Ficedula_albicollis
ENSCPGP00000016889	ENSCPGG00000011852	Calidris_pygmaea
ENSCPUP00000012846	ENSCPUG00000009127	Calidris_pugnax
ENSMUNP00000022427	ENSMUNG00000016853	Melopsittacus_undulatus
ENSGALP00000055583	ENSGALG00000031934	Gallus_gallus
ENSCJPP00005014608	ENSCJPG00005012177	Coturnix_japonica
ENSMGAP00000009232	ENSMGAG00000008969	Meleagris_gallopavo
ENSNMEP00000010554	ENSNMEG00000009974	Numida_meleagris
ENSABRP00000006479	ENSABRG00000005946	Anser_brachyrhynchus
ENSAPLP00000011840	ENSAPLG00000012062	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000007788	ENSAHAG00000005800	Apteryx_haastii	ENSAHAT00000008672
ENSARWP00000017898	ENSARWG00000012310	Apteryx_rowi	ENSARWT00000020336
ENSAOWP00000012890	ENSAOWG00000008812	Apteryx_owenii	ENSAOWT00000014659
ENSDNVP00000018457	ENSDNVG00000012906	Dromaius_novaehollandiae	ENSDNVT00000022223
ENSNPEP00000019174	ENSNPEG00000014291	Nothoprocta_perdicaria	ENSNPET00000019671
ENSCPRP00005014352	ENSCPRG00005010118	Crocodylus_porosus
ENSGAGP00000025097	ENSGAGG00000018357	Gopherus_agassizii
ENSCABP00000000380	ENSCABG00000000346	Chelonoidis_abingdonii
ENSCPBP00000009223	ENSCPBG00000007139	Chrysemys_picta_bellii
ENSPSIP00000017162	ENSPSIG00000015274	Pelodiscus_sinensis
ENSPVIP00000023578	ENSPVIG00000017812	Pogona_vitticeps
ENSACAP00000006509	ENSACAG00000006611	Anolis_carolinensis
ENSNSUP00000017967	ENSNSUG00000013165	Notechis_scutatus
ENSSMRP00000016188	ENSSMRG00000012594	Salvator_merianae
ENSSPUP00000022224	ENSSPUG00000017069	Sphenodon_punctatus
ENSHGLP00000019157	ENSHGLG00000013746	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003847	ENSHGLG00100002932	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006035	ENSFDAG00000014895	Fukomys_damarensis
