ENSCGRP00000002632	ENSCGRG00000001921	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006289	ENSCGRG00001008466	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015011508	ENSCGRG00015008845	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021941	ENSMAUG00000019518	Mesocricetus_auratus
ENSPEMP00000015989	ENSPEMG00000015367	Peromyscus_maniculatus_bairdii
ENSMOCP00000012207	ENSMOCG00000012385	Microtus_ochrogaster
MGP_SPRETEiJ_P0036912	MGP_SPRETEiJ_G0019702	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000136875	ENSMUSG00000096330	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000034295	ENSMSIG00000028609	Mus_spicilegus
MGP_CAROLIEiJ_P0035235	MGP_CAROLIEiJ_G0018820	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0026900	MGP_PahariEiJ_G0015895	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000018608	ENSNGAG00000018693	Nannospalax_galili
ENSJJAP00000003727	ENSJJAG00000007499	Jaculus_jaculus
ENSCCNP00000002825	ENSCCNG00000003078	Castor_canadensis
ENSMODP00000002159	ENSMODG00000001765	Monodelphis_domestica
ENSECRP00000023001	ENSECRG00000015562	Erpetoichthys_calabaricus
ENSCMIP00000018417	ENSCMIG00000008668	Callorhinchus_milii
ENSHHUP00000021391	ENSHHUG00000013395	Hucho_hucho
ENSCHAP00000050317	ENSCHAG00000023116	Clupea_harengus
ENSLOCP00000003766	ENSLOCG00000003191	Lepisosteus_oculatus
ENSECRP00000011554	ENSECRG00000007689	Erpetoichthys_calabaricus
ENSXETP00000043075	ENSXETG00000002192	Xenopus_tropicalis
ENSCMIP00000026728	ENSCMIG00000011680	Callorhinchus_milii
ENSAOWP00000005796	ENSAOWG00000003978	Apteryx_owenii
ENSARWP00000024228	ENSARWG00000016508	Apteryx_rowi
ENSAHAP00000005673	ENSAHAG00000004373	Apteryx_haastii
ENSDNVP00000015730	ENSDNVG00000011076	Dromaius_novaehollandiae	ENSDNVT00000018915
ENSNPEP00000020822	ENSNPEG00000015472	Nothoprocta_perdicaria
ENSTGUP00000009645	ENSTGUG00000009361	Taeniopygia_guttata
ENSLSDP00000018397	ENSLSDG00000013132	Lonchura_striata_domestica
ENSSCAP00000008094	ENSSCAG00000006212	Serinus_canaria
ENSZALP00000003515	ENSZALG00000003490	Zonotrichia_albicollis
ENSJHYP00000000315	ENSJHYG00000000310	Junco_hyemalis
ENSFALP00000012530	ENSFALG00000011998	Ficedula_albicollis
ENSPMJP00000001873	ENSPMJG00000001548	Parus_major
ENSCCEP00000008473	ENSCCEG00000008749	Cyanistes_caeruleus
ENSMVIP00005012594	ENSMVIG00005009149	Manacus_vitellinus
ENSLCOP00000004030	ENSLCOG00000003059	Lepidothrix_coronata
ENSCPUP00000016914	ENSCPUG00000011669	Calidris_pugnax
ENSCPGP00000019525	ENSCPGG00000013677	Calidris_pygmaea
ENSMUNP00000015718	ENSMUNG00000012106	Melopsittacus_undulatus
ENSGALP00000032390	ENSGALG00000020647	Gallus_gallus
ENSCJPP00005014735	ENSCJPG00005012275	Coturnix_japonica
ENSMGAP00000011850	ENSMGAG00000011343	Meleagris_gallopavo
ENSNMEP00000026737	ENSNMEG00000022492	Numida_meleagris
ENSABRP00000000010	ENSABRG00000000010	Anser_brachyrhynchus
ENSAPLP00000001998	ENSAPLG00000002571	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005007443	ENSCPRG00005005276	Crocodylus_porosus
ENSCABP00000022131	ENSCABG00000016301	Chelonoidis_abingdonii
ENSGAGP00000020171	ENSGAGG00000014880	Gopherus_agassizii
ENSCPBP00000004156	ENSCPBG00000003372	Chrysemys_picta_bellii
ENSPSIP00000003066	ENSPSIG00000002961	Pelodiscus_sinensis
ENSPVIP00000011424	ENSPVIG00000008970	Pogona_vitticeps
ENSACAP00000013825	ENSACAG00000014100	Anolis_carolinensis
ENSNSUP00000025582	ENSNSUG00000018404	Notechis_scutatus
ENSSMRP00000023098	ENSSMRG00000017928	Salvator_merianae
ENSPCIP00000031086	ENSPCIG00000023114	Phascolarctos_cinereus
ENSVURP00010009105	ENSVURG00010007061	Vombatus_ursinus
ENSSHAP00000009094	ENSSHAG00000007878	Sarcophilus_harrisii
ENSMODP00000045981	ENSMODG00000038017	Monodelphis_domestica
ENSCCNP00000024737	ENSCCNG00000024221	Castor_canadensis
ENSDORP00000002139	ENSDORG00000002283	Dipodomys_ordii
ENSCGRP00015007475	ENSCGRG00015005829	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001016004	ENSCGRG00001016461	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000015238	ENSMAUG00000014760	Mesocricetus_auratus
ENSPEMP00000011143	ENSPEMG00000011903	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0065837	MGP_SPRETEiJ_G0027216	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016571	ENSMSIG00000014211	Mus_spicilegus
ENSMUSP00000092521	ENSMUSG00000070877	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0063353	MGP_CAROLIEiJ_G0026247	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078465	MGP_PahariEiJ_G0028580	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000054184	ENSRNOG00000037795	Rattus_norvegicus
ENSMUGP00000032422	ENSMUGG00000026954	Meriones_unguiculatus
ENSNGAP00000005059	ENSNGAG00000007054	Nannospalax_galili
ENSUPAP00010027145	ENSUPAG00010021452	Urocitellus_parryii
ENSSTOP00000002383	ENSSTOG00000002669	Ictidomys_tridecemlineatus
ENSSDAP00000003730	ENSSDAG00000003532	Spermophilus_dauricus
ENSODEP00000015990	ENSODEG00000011774	Octodon_degus
ENSCLAP00000009725	ENSCLAG00000006739	Chinchilla_lanigera
ENSCPOP00000004934	ENSCPOG00000005479	Cavia_porcellus
ENSCAPP00000013507	ENSCAPG00000014115	Cavia_aperea
ENSFDAP00000004896	ENSFDAG00000014027	Fukomys_damarensis
ENSHGLP00000000285	ENSHGLG00000000282	Heterocephalus_glaber_HetGla_female_1.0
ENSOPRP00000005122	ENSOPRG00000005588	Ochotona_princeps
ENSOCUP00000007024	ENSOCUG00000008126	Oryctolagus_cuniculus
ENSGGOP00000021523	ENSGGOG00000042055	Gorilla_gorilla
ENSGGOP00000010433	ENSGGOG00000041666	Gorilla_gorilla
ENSP00000360411	ENSG00000203985	Homo_sapiens
ENSPTRP00000068233	ENSPTRG00000050620	Pan_troglodytes
ENSPPAP00000028597	ENSPPAG00000037335	Pan_paniscus
ENSPPYP00000001541	ENSPPYG00000001325	Pongo_abelii
ENSNLEP00000014014	ENSNLEG00000011528	Nomascus_leucogenys
ENSMLEP00000037537	ENSMLEG00000042853	Mandrillus_leucophaeus
ENSCSAP00000016717	ENSCSAG00000001299	Chlorocebus_sabaeus
ENSMNEP00000038646	ENSMNEG00000042305	Macaca_nemestrina
ENSMFAP00000029666	ENSMFAG00000042062	Macaca_fascicularis
ENSMMUP00000040131	ENSMMUG00000032096	Macaca_mulatta
ENSCATP00000006195	ENSCATG00000019460	Cercocebus_atys
ENSPANP00000017564	ENSPANG00000006219	Papio_anubis
ENSRBIP00000027783	ENSRBIG00000037774	Rhinopithecus_bieti
ENSRROP00000045816	ENSRROG00000045781	Rhinopithecus_roxellana
ENSCANP00000015198	ENSCANG00000031051	Colobus_angolensis_palliatus
ENSCCAP00000034169	ENSCCAG00000035066	Cebus_capucinus_imitator
ENSSBOP00000025922	ENSSBOG00000029418	Saimiri_boliviensis_boliviensis
ENSCJAP00000008956	ENSCJAG00000004890	Callithrix_jacchus
ENSANAP00000012611	ENSANAG00000024236	Aotus_nancymaae
ENSTSYP00000023776	ENSTSYG00000007382	Carlito_syrichta
ENSPCOP00000021648	ENSPCOG00000022857	Propithecus_coquereli
ENSPSMP00000000718	ENSPSMG00000000534	Prolemur_simus
ENSMICP00000042074	ENSMICG00000047268	Microcebus_murinus
ENSOGAP00000014823	ENSOGAG00000016562	Otolemur_garnettii
ENSTBEP00000011393	ENSTBEG00000013168	Tupaia_belangeri
ENSBIXP00005012268	ENSBIXG00005016557	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000024335	ENSBIXG00000026538	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000040841	ENSBTAG00000024195	Bos_taurus
ENSBMUP00000020960	ENSBMUG00000015758	Bos_mutus
ENSBBBP00000023325	ENSBBBG00000017841	Bison_bison_bison
ENSCHIP00000021893	ENSCHIG00000020061	Capra_hircus
ENSOARP00000007300	ENSOARG00000006814	Ovis_aries
ENSTTRP00000002996	ENSTTRG00000003196	Tursiops_truncatus
ENSSSCP00000020288	ENSSSCG00000027641	Sus_scrofa_strain_reference
ENSEASP00005021275	ENSEASG00005014570	Equus_asinus_asinus
ENSECAP00000019444	ENSECAG00000022046	Equus_caballus
ENSMLUP00000001782	ENSMLUG00000001956	Myotis_lucifugus
ENSPVAP00000004161	ENSPVAG00000004395	Pteropus_vampyrus
ENSUMAP00000030901	ENSUMAG00000022328	Ursus_maritimus
ENSUAMP00000021533	ENSUAMG00000016905	Ursus_americanus
ENSAMEP00000010216	ENSAMEG00000009731	Ailuropoda_melanoleuca
ENSNVIP00000009451	ENSNVIG00000007454	Neovison_vison
ENSMPUP00000006576	ENSMPUG00000006630	Mustela_putorius_furo
ENSCAFP00020014987	ENSCAFG00020012067	Canis_lupus_dingo
ENSCAFP00000028127	ENSCAFG00000019066	Canis_lupus_familiaris
ENSVVUP00000037549	ENSVVUG00000026844	Vulpes_vulpes
ENSPTIP00000017437	ENSPTIG00000015861	Panthera_tigris_altaica
ENSPPRP00000015585	ENSPPRG00000008159	Panthera_pardus
ENSFCAP00000047292	ENSFCAG00000007736	Felis_catus
ENSCHOP00000007056	ENSCHOG00000007969	Choloepus_hoffmanni
ENSDNOP00000004087	ENSDNOG00000005275	Dasypus_novemcinctus
ENSLAFP00000014218	ENSLAFG00000016962	Loxodonta_africana
ENSPCAP00000005095	ENSPCAG00000005497	Procavia_capensis
ENSPMAP00000009913	ENSPMAG00000009009	Petromyzon_marinus
ENSCINP00000024814	ENSCING00000013538	Ciona_intestinalis
FBpp0304442	FBgn0036202	Drosophila_melanogaster
