ENSGAGP00000010013	ENSGAGG00000007865	Gopherus_agassizii	ENSGAGT00000011495
ENSCABP00000007973	ENSCABG00000006007	Chelonoidis_abingdonii	ENSCABT00000008726
ENSCPBP00000019404	ENSCPBG00000014023	Chrysemys_picta_bellii
ENSPSIP00000003414	ENSPSIG00000003265	Pelodiscus_sinensis
ENSAOWP00000017590	ENSAOWG00000012026	Apteryx_owenii
ENSAHAP00000001674	ENSAHAG00000001419	Apteryx_haastii
ENSARWP00000001423	ENSARWG00000001156	Apteryx_rowi
ENSDNVP00000017526	ENSDNVG00000012253	Dromaius_novaehollandiae
ENSNPEP00000012514	ENSNPEG00000009354	Nothoprocta_perdicaria
ENSPMJP00000021029	ENSPMJG00000015605	Parus_major
ENSFALP00000000490	ENSFALG00000000475	Ficedula_albicollis
ENSLSDP00000021046	ENSLSDG00000014890	Lonchura_striata_domestica
ENSSCAP00000009149	ENSSCAG00000006981	Serinus_canaria
ENSLCOP00000015991	ENSLCOG00000011415	Lepidothrix_coronata
ENSMVIP00005010449	ENSMVIG00005007670	Manacus_vitellinus
ENSGALP00000049006	ENSGALG00000035206	Gallus_gallus
ENSCPGP00000010909	ENSCPGG00000007757	Calidris_pygmaea
ENSCPUP00000007001	ENSCPUG00000005056	Calidris_pugnax
ENSZALP00000001138	ENSZALG00000001380	Zonotrichia_albicollis
ENSCPRP00005008481	ENSCPRG00005006050	Crocodylus_porosus
ENSACAP00000007479	ENSACAG00000007638	Anolis_carolinensis
ENSPVIP00000021058	ENSPVIG00000016003	Pogona_vitticeps
ENSNSUP00000003138	ENSNSUG00000002565	Notechis_scutatus
ENSSMRP00000015547	ENSSMRG00000012090	Salvator_merianae
ENSSPUP00000003137	ENSSPUG00000002435	Sphenodon_punctatus
ENSPCIP00000033191	ENSPCIG00000024644	Phascolarctos_cinereus
ENSVURP00010030968	ENSVURG00010023683	Vombatus_ursinus
ENSMEUP00000009227	ENSMEUG00000010116	Notamacropus_eugenii
ENSSHAP00000000143	ENSSHAG00000000120	Sarcophilus_harrisii
ENSVPAP00000006796	ENSVPAG00000007308	Vicugna_pacos
ENSXETP00000015718	ENSXETG00000000126	Xenopus_tropicalis
ENSCHAP00000003117	ENSCHAG00000002032	Clupea_harengus
ENSDCDP00000002378	ENSDCDG00000001274	Denticeps_clupeoides
ENSAMXP00000049872	ENSAMXG00000035040	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000052524	ENSAMXG00000014302	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005043612	ENSAMXG00005020301	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000002398	ENSPNAG00000008795	Pygocentrus_nattereri
ENSEEEP00000049990	ENSEEEG00000023498	Electrophorus_electricus
