ENSAPLP00000031403	ENSAPLG00000006313	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002132	ENSABRG00000002126	Anser_brachyrhynchus
ENSGALP00000043834	ENSGALG00000009990	Gallus_gallus
ENSCJPP00005011869	ENSCJPG00005010155	Coturnix_japonica
ENSMGAP00000010654	ENSMGAG00000010273	Meleagris_gallopavo
ENSNMEP00000018924	ENSNMEG00000016397	Numida_meleagris
ENSLSDP00000015014	ENSLSDG00000010810	Lonchura_striata_domestica
ENSTGUP00000004007	ENSTGUG00000003878	Taeniopygia_guttata
ENSSCAP00000014285	ENSSCAG00000010496	Serinus_canaria
ENSJHYP00000014195	ENSJHYG00000010997	Junco_hyemalis
ENSZALP00000002710	ENSZALG00000002857	Zonotrichia_albicollis
ENSFALP00000013534	ENSFALG00000012966	Ficedula_albicollis
ENSCCEP00000011979	ENSCCEG00000011622	Cyanistes_caeruleus
ENSPMJP00000019464	ENSPMJG00000014578	Parus_major
ENSLCOP00000014982	ENSLCOG00000010720	Lepidothrix_coronata
ENSMVIP00005007739	ENSMVIG00005005792	Manacus_vitellinus
ENSCPUP00000001902	ENSCPUG00000001476	Calidris_pugnax
ENSCPGP00000001938	ENSCPGG00000001442	Calidris_pygmaea
ENSMUNP00000012677	ENSMUNG00000009810	Melopsittacus_undulatus
ENSAOWP00000026727	ENSAOWG00000018025	Apteryx_owenii
ENSAHAP00000017269	ENSAHAG00000012306	Apteryx_haastii
ENSARWP00000024738	ENSARWG00000016852	Apteryx_rowi
ENSDNVP00000004226	ENSDNVG00000002599	Dromaius_novaehollandiae
ENSNPEP00000019487	ENSNPEG00000013517	Nothoprocta_perdicaria
ENSCPRP00005022000	ENSCPRG00005015290	Crocodylus_porosus
ENSGAGP00000010379	ENSGAGG00000006166	Gopherus_agassizii
ENSCABP00000017521	ENSCABG00000013003	Chelonoidis_abingdonii
ENSCPBP00000007190	ENSCPBG00000005677	Chrysemys_picta_bellii
ENSPSIP00000010168	ENSPSIG00000008992	Pelodiscus_sinensis
ENSACAP00000003723	ENSACAG00000003811	Anolis_carolinensis
ENSACAP00000003756	ENSACAG00000003837	Anolis_carolinensis
ENSPVIP00000017941	ENSPVIG00000013746	Pogona_vitticeps
ENSNSUP00000020037	ENSNSUG00000014575	Notechis_scutatus
ENSSMRP00000023836	ENSSMRG00000018493	Salvator_merianae
ENSSPUP00000013656	ENSSPUG00000010475	Sphenodon_punctatus
ENSVURP00010021312	ENSVURG00010016306	Vombatus_ursinus	ENSVURT00010024266
ENSPCIP00000033803	ENSPCIG00000025060	Phascolarctos_cinereus	ENSPCIT00000041615
ENSMEUP00000013940	ENSMEUG00000015265	Notamacropus_eugenii	ENSMEUT00000015314
ENSMODP00000000979	ENSMODG00000000822	Monodelphis_domestica	ENSMODT00000000998
ENSUMAP00000017572	ENSUMAG00000012902	Ursus_maritimus	ENSUMAT00000020751
ENSUAMP00000010689	ENSUAMG00000008126	Ursus_americanus	ENSUAMT00000012007
ENSAMEP00000006330	ENSAMEG00000005993	Ailuropoda_melanoleuca	ENSAMET00000006590
ENSNVIP00000021917	ENSNVIG00000017107	Neovison_vison	ENSNVIT00000025530
ENSMPUP00000011915	ENSMPUG00000012007	Mustela_putorius_furo
ENSCAFP00000003722	ENSCAFG00000002554	Canis_lupus_familiaris
ENSCAFP00020033971	ENSCAFG00020026284	Canis_lupus_dingo
ENSVVUP00000007054	ENSVVUG00000005389	Vulpes_vulpes
ENSPPRP00000008739	ENSPPRG00000003449	Panthera_pardus
ENSPTIP00000012434	ENSPTIG00000012495	Panthera_tigris_altaica
ENSFCAP00000028591	ENSFCAG00000005101	Felis_catus
ENSCHIP00000016206	ENSCHIG00000016535	Capra_hircus
ENSOARP00000006384	ENSOARG00000005958	Ovis_aries
ENSBIXP00000012510	ENSBIXG00000017571	Bos_indicus_x_Bos_taurus_UOA_Angus_1
