ENSSTOP00000001232	ENSSTOG00000001364	Ictidomys_tridecemlineatus
ENSDORP00000006847	ENSDORG00000007301	Dipodomys_ordii
ENSODEP00000012235	ENSODEG00000009081	Octodon_degus
ENSCPOP00000008551	ENSCPOG00000009528	Cavia_porcellus
ENSCAPP00000005057	ENSCAPG00000007468	Cavia_aperea
ENSCLAP00000008709	ENSCLAG00000006098	Chinchilla_lanigera
ENSHGLP00000006738	ENSHGLG00000004919	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007687	ENSHGLG00100005744	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016412	ENSFDAG00000004938	Fukomys_damarensis
ENSUPAP00010024490	ENSUPAG00010019340	Urocitellus_parryii	ENSUPAT00010027867
ENSSDAP00000016623	ENSSDAG00000015010	Spermophilus_dauricus	ENSSDAT00000018885
ENSMMMP00000007330	ENSMMMG00000006531	Marmota_marmota_marmota
ENSMSIP00000017627	ENSMSIG00000014731	Mus_spicilegus
MGP_SPRETEiJ_P0032929	MGP_SPRETEiJ_G0018353	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099307	ENSMUSG00000061306	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0031481	MGP_CAROLIEiJ_G0017509	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038200	MGP_PahariEiJ_G0018635	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006225	ENSRNOG00000004604	Rattus_norvegicus
ENSMUGP00000002178	ENSMUGG00000001945	Meriones_unguiculatus
ENSCGRP00000021945	ENSCGRG00000015910	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007649	ENSCGRG00001010022	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000860	ENSCGRG00015000741	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021170	ENSMAUG00000018952	Mesocricetus_auratus
ENSPEMP00000031207	ENSPEMG00000008379	Peromyscus_maniculatus_bairdii
ENSMOCP00000026462	ENSMOCG00000022252	Microtus_ochrogaster
ENSNGAP00000008959	ENSNGAG00000011784	Nannospalax_galili
ENSCCNP00000000775	ENSCCNG00000000840	Castor_canadensis
ENSOPRP00000006378	ENSOPRG00000006960	Ochotona_princeps
ENSPTRP00000089671	ENSPTRG00000043854	Pan_troglodytes
ENSPPAP00000028458	ENSPPAG00000037259	Pan_paniscus
ENSGGOP00000008340	ENSGGOG00000008525	Gorilla_gorilla
ENSP00000363891	ENSG00000157637	Homo_sapiens
ENSPPYP00000009800	ENSPPYG00000008731	Pongo_abelii
ENSNLEP00000016184	ENSNLEG00000013374	Nomascus_leucogenys
ENSPTEP00000033476	ENSPTEG00000031964	Piliocolobus_tephrosceles
ENSCANP00000033796	ENSCANG00000040557	Colobus_angolensis_palliatus
ENSRROP00000038186	ENSRROG00000042478	Rhinopithecus_roxellana
ENSRBIP00000030613	ENSRBIG00000039161	Rhinopithecus_bieti
ENSCATP00000035817	ENSCATG00000040753	Cercocebus_atys
ENSMLEP00000003021	ENSMLEG00000012627	Mandrillus_leucophaeus
ENSPANP00000016323	ENSPANG00000019487	Papio_anubis
ENSTGEP00000011791	ENSTGEG00000009607	Theropithecus_gelada
ENSMFAP00000009854	ENSMFAG00000040675	Macaca_fascicularis
ENSMNEP00000013841	ENSMNEG00000031117	Macaca_nemestrina
ENSMMUP00000004383	ENSMMUG00000003292	Macaca_mulatta
ENSCSAP00000015753	ENSCSAG00000002283	Chlorocebus_sabaeus
ENSCCAP00000002678	ENSCCAG00000015754	Cebus_capucinus_imitator
ENSSBOP00000016209	ENSSBOG00000024816	Saimiri_boliviensis_boliviensis
ENSANAP00000029409	ENSANAG00000032488	Aotus_nancymaae
ENSTSYP00000001120	ENSTSYG00000001207	Carlito_syrichta
ENSPCOP00000016948	ENSPCOG00000020266	Propithecus_coquereli
ENSPSMP00000005467	ENSPSMG00000004181	Prolemur_simus
ENSMICP00000041340	ENSMICG00000010970	Microcebus_murinus
ENSOGAP00000012348	ENSOGAG00000013779	Otolemur_garnettii
ENSJJAP00000012216	ENSJJAG00000015310	Jaculus_jaculus
ENSOARP00000020089	ENSOARG00000018707	Ovis_aries
ENSCHIP00000013132	ENSCHIG00000014662	Capra_hircus
ENSBIXP00005009664	ENSBIXG00005001981	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008731	ENSBIXG00000014507	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000059367	ENSBTAG00000018271	Bos_taurus
ENSBMUP00000035585	ENSBMUG00000026434	Bos_mutus
ENSBBBP00000008316	ENSBBBG00000004104	Bison_bison_bison
ENSTTRP00000016380	ENSTTRG00000017282	Tursiops_truncatus
ENSSSCP00000043972	ENSSSCG00000022317	Sus_scrofa_strain_reference
ENSPVAP00000009756	ENSPVAG00000010349	Pteropus_vampyrus
ENSMLUP00000008836	ENSMLUG00000009685	Myotis_lucifugus
