ENSHHUP00000070660	ENSHHUG00000041534	Hucho_hucho
ENSELUP00000006664	ENSELUG00000007522	Esox_lucius
ENSCVAP00000019587	ENSCVAG00000022947	Cyprinodon_variegatus
ENSFHEP00000021520	ENSFHEG00000001319	Fundulus_heteroclitus
ENSXMAP00000034034	ENSXMAG00000022194	Xiphophorus_maculatus
ENSXCOP00000005428	ENSXCOG00000004238	Xiphophorus_couchianus
ENSGAFP00000018385	ENSGAFG00000012447	Gambusia_affinis
ENSPFOP00000023798	ENSPFOG00000023795	Poecilia_formosa
ENSPMEP00000033129	ENSPMEG00000021444	Poecilia_mexicana
ENSPLAP00000024706	ENSPLAG00000011114	Poecilia_latipinna
ENSPREP00000024850	ENSPREG00000016782	Poecilia_reticulata
ENSORLP00020033431	ENSORLG00020019403	Oryzias_latipes_ASM223471v1
ENSORLP00000039675	ENSORLG00000025165	Oryzias_latipes_ASM223467v1
ENSOMEP00000034280	ENSOMEG00000020797	Oryzias_melastigma
ENSAPEP00000000952	ENSAPEG00000000706	Amphiprion_percula
ENSAOCP00000002288	ENSAOCG00000005384	Amphiprion_ocellaris
ENSAPOP00000028663	ENSAPOG00000014018	Acanthochromis_polyacanthus
ENSMAMP00000029811	ENSMAMG00000020099	Mastacembelus_armatus
ENSSLDP00000010115	ENSSLDG00000008063	Seriola_lalandi_dorsalis
ENSSDUP00000030607	ENSSDUG00000022048	Seriola_dumerili
ENSLCAP00010014030	ENSLCAG00010006664	Lates_calcarifer
ENSPRNP00000032794	ENSPRNG00000016545	Parambassis_ranga
ENSPRNP00000030718	ENSPRNG00000015317	Parambassis_ranga
ENSSPAP00000015103	ENSSPAG00000011395	Stegastes_partitus
ENSATEP00000033464	ENSATEG00000023055	Anabas_testudineus
ENSCSEP00000031866	ENSCSEG00000020435	Cynoglossus_semilaevis
ENSMZEP00005031109	ENSMZEG00005023193	Maylandia_zebra
ENSACLP00000028348	ENSACLG00000019235	Astatotilapia_calliptera
ENSHBUP00000032723	ENSHBUG00000019201	Haplochromis_burtoni
ENSNBRP00000010142	ENSNBRG00000007887	Neolamprologus_brichardi
ENSPNYP00000010729	ENSPNYG00000008143	Pundamilia_nyererei
ENSACIP00000022769	ENSACIG00000017721	Amphilophus_citrinellus
ENSTNIP00000016231	ENSTNIG00000013247	Tetraodon_nigroviridis
ENSGWIP00000014199	ENSGWIG00000008033	Gouania_willdenowi
ENSTRUP00000052468	ENSTRUG00000024290	Takifugu_rubripes
ENSMMOP00000028036	ENSMMOG00000021186	Mola_mola
ENSLCRP00005028141	ENSLCRG00005011163	Larimichthys_crocea
ENSBSLP00000029445	ENSBSLG00000014646	Betta_splendens
ENSLBEP00000027334	ENSLBEG00000020748	Labrus_bergylta
ENSKMAP00000001299	ENSKMAG00000001026	Kryptolebias_marmoratus
ENSMALP00000019299	ENSMALG00000013481	Monopterus_albus
ENSHCOP00000000711	ENSHCOG00000001574	Hippocampus_comes
ENSAMXP00000006925	ENSAMXG00000006749	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030389	ENSAMXG00005014921	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001357	ENSPNAG00000008113	Pygocentrus_nattereri
ENSIPUP00000026486	ENSIPUG00000017947	Ictalurus_punctatus
ENSEEEP00000033143	ENSEEEG00000015769	Electrophorus_electricus
ENSDARP00000117119	ENSDARG00000095415	Danio_rerio
ENSSFOP00015013857	ENSSFOG00015008948	Scleropages_formosus
