ENSAOCP00000018685	ENSAOCG00000001748	Amphiprion_ocellaris	ENSAOCT00000028311
ENSAPEP00000003695	ENSAPEG00000002668	Amphiprion_percula	ENSAPET00000003781
ENSAPOP00000031910	ENSAPOG00000019474	Acanthochromis_polyacanthus	ENSAPOT00000025326
ENSSPAP00000017689	ENSSPAG00000013359	Stegastes_partitus	ENSSPAT00000017963
ENSGWIP00000048038	ENSGWIG00000023598	Gouania_willdenowi
ENSPLAP00000031489	ENSPLAG00000023525	Poecilia_latipinna
ENSPMEP00000025576	ENSPMEG00000008656	Poecilia_mexicana
ENSXMAP00000036012	ENSXMAG00000028722	Xiphophorus_maculatus
ENSGAFP00000020755	ENSGAFG00000014005	Gambusia_affinis
ENSCVAP00000021821	ENSCVAG00000004113	Cyprinodon_variegatus
ENSFHEP00000034374	ENSFHEG00000022033	Fundulus_heteroclitus
ENSORLP00000042382	ENSORLG00000027799	Oryzias_latipes_ASM223467v1
ENSORLP00020014198	ENSORLG00020000880	Oryzias_latipes_ASM223471v1
ENSORLP00015009483	ENSORLG00015010292	Oryzias_latipes_ASM223469v1
ENSOMEP00000004311	ENSOMEG00000005251	Oryzias_melastigma
ENSHBUP00000015605	ENSHBUG00000017513	Haplochromis_burtoni
ENSMZEP00005037553	ENSMZEG00005028008	Maylandia_zebra
ENSPNYP00000030703	ENSPNYG00000023140	Pundamilia_nyererei
ENSACLP00000034502	ENSACLG00000023372	Astatotilapia_calliptera
ENSNBRP00000028116	ENSNBRG00000021427	Neolamprologus_brichardi
ENSACIP00000015194	ENSACIG00000011809	Amphilophus_citrinellus
ENSCSEP00000032512	ENSCSEG00000020872	Cynoglossus_semilaevis
ENSATEP00000023680	ENSATEG00000016422	Anabas_testudineus
ENSLBEP00000028489	ENSLBEG00000021577	Labrus_bergylta
ENSLCRP00005034172	ENSLCRG00005013415	Larimichthys_crocea	ENSLCRT00005034823
ENSSLDP00000000082	ENSSLDG00000000129	Seriola_lalandi_dorsalis
ENSMAMP00000007828	ENSMAMG00000005335	Mastacembelus_armatus
ENSCGOP00000053841	ENSCGOG00000023598	Cottoperca_gobio
ENSPRNP00000045918	ENSPRNG00000022195	Parambassis_ranga	ENSPRNT00000048586
