ENSSBOP00000032210	ENSSBOG00000032284	Saimiri_boliviensis_boliviensis
ENSCJAP00000072194	ENSCJAG00000060669	Callithrix_jacchus
ENSVURP00010021931	ENSVURG00010016813	Vombatus_ursinus
ENSMFAP00000011092	ENSMFAG00000013019	Macaca_fascicularis
ENSRNOP00000029426	ENSRNOG00000027049	Rattus_norvegicus
ENSCAFP00000039811	ENSCAFG00000031481	Canis_lupus_familiaris
ENSCAFP00020019013	ENSCAFG00020015103	Canis_lupus_dingo
ENSTGEP00000022128	ENSTGEG00000017884	Theropithecus_gelada
ENSCAFP00000044113	ENSCAFG00000042662	Canis_lupus_familiaris
ENSBBBP00000004856	ENSBBBG00000002908	Bison_bison_bison
ENSP00000292475	ENSG00000241468	Homo_sapiens
ENSPPRP00000005985	ENSPPRG00000001557	Panthera_pardus
ENSUMAP00000012774	ENSUMAG00000009476	Ursus_maritimus
ENSEASP00005021974	ENSEASG00005014993	Equus_asinus_asinus
ENSCANP00000020174	ENSCANG00000033520	Colobus_angolensis_palliatus
ENSBBBP00000017851	ENSBBBG00000010437	Bison_bison_bison
ENSNVIP00000016331	ENSNVIG00000012796	Neovison_vison
ENSOARP00000005843	ENSOARG00000005447	Ovis_aries
ENSSPUP00000019269	ENSSPUG00000014825	Sphenodon_punctatus
ENSPTEP00000032280	ENSPTEG00000031051	Piliocolobus_tephrosceles
ENSBBBP00000005866	ENSBBBG00000014504	Bison_bison_bison
ENSDNVP00000018102	ENSDNVG00000012650	Dromaius_novaehollandiae
ENSMNEP00000044304	ENSMNEG00000044753	Macaca_nemestrina
ENSNVIP00000018373	ENSNVIG00000014396	Neovison_vison
ENSARWP00000025682	ENSARWG00000017433	Apteryx_rowi
ENSNGAP00000000355	ENSNGAG00000000277	Nannospalax_galili
ENSPTEP00000011010	ENSPTEG00000012423	Piliocolobus_tephrosceles
ENSSTOP00000016873	ENSSTOG00000023928	Ictidomys_tridecemlineatus
ENSTGUP00000007769	ENSTGUG00000007543	Taeniopygia_guttata
ENSBIXP00005005490	ENSBIXG00005011164	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020032273	ENSCAFG00020025133	Canis_lupus_dingo
ENSOARP00000005506	ENSOARG00000005134	Ovis_aries
ENSVVUP00000022070	ENSVVUG00000016199	Vulpes_vulpes
ENSTGEP00000009560	ENSTGEG00000007872	Theropithecus_gelada
ENSEASP00005003425	ENSEASG00005002653	Equus_asinus_asinus
ENSFDAP00000023084	ENSFDAG00000021317	Fukomys_damarensis
ENSBIXP00005036471	ENSBIXG00005018020	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
