ENSUPAP00010020787	ENSUPAG00010016489	Urocitellus_parryii
ENSMMMP00000008381	ENSMMMG00000007500	Marmota_marmota_marmota
ENSMSIP00000004139	ENSMSIG00000003817	Mus_spicilegus
ENSCJAP00000075548	ENSCJAG00000040418	Callithrix_jacchus
ENSEASP00005003597	ENSEASG00005002757	Equus_asinus_asinus
ENSGGOP00000051874	ENSGGOG00000036600	Gorilla_gorilla
ENSRROP00000037130	ENSRROG00000042012	Rhinopithecus_roxellana
ENSPSMP00000004957	ENSPSMG00000003862	Prolemur_simus
ENSCCNP00000027230	ENSCCNG00000026364	Castor_canadensis
ENSUAMP00000012204	ENSUAMG00000009893	Ursus_americanus
ENSSCAP00000001914	ENSSCAG00000001659	Serinus_canaria
ENSCCEP00000004333	ENSCCEG00000004826	Cyanistes_caeruleus
ENSLCOP00000012966	ENSLCOG00000009349	Lepidothrix_coronata
ENSABRP00000008287	ENSABRG00000007479	Anser_brachyrhynchus
ENSCPGP00000023814	ENSCPGG00000016471	Calidris_pygmaea
ENSCPUP00000029549	ENSCPUG00000019789	Calidris_pugnax
ENSDNVP00000005200	ENSDNVG00000003731	Dromaius_novaehollandiae
ENSCABP00000011408	ENSCABG00000008493	Chelonoidis_abingdonii
ENSCPBP00000007541	ENSCPBG00000005951	Chrysemys_picta_bellii
ENSPVIP00000026192	ENSPVIG00000019560	Pogona_vitticeps
ENSPVIP00000005895	ENSPVIG00000004827	Pogona_vitticeps
ENSNSUP00000014521	ENSNSUG00000010753	Notechis_scutatus
ENSSMRP00000019286	ENSSMRG00000015029	Salvator_merianae
ENSSPUP00000021012	ENSSPUG00000016160	Sphenodon_punctatus
