ENSPKIP00000014416	ENSPKIG00000001491	Paramormyrops_kingsleyae
ENSSFOP00015029242	ENSSFOG00015018801	Scleropages_formosus
ENSIPUP00000028296	ENSIPUG00000019161	Ictalurus_punctatus
ENSIPUP00000020494	ENSIPUG00000013901	Ictalurus_punctatus
ENSAMXP00005037637	ENSAMXG00005017886	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000035202	ENSAMXG00000029706	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000025620	ENSPNAG00000010797	Pygocentrus_nattereri
ENSPNAP00000025652	ENSPNAG00000010848	Pygocentrus_nattereri
ENSAMXP00000046546	ENSAMXG00000040040	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDCDP00000006503	ENSDCDG00000003396	Denticeps_clupeoides
ENSGACP00000021503	ENSGACG00000016298	Gasterosteus_aculeatus
ENSBSLP00000048347	ENSBSLG00000023031	Betta_splendens
ENSMALP00000011394	ENSMALG00000008105	Monopterus_albus
ENSMAMP00000030236	ENSMAMG00000020391	Mastacembelus_armatus
ENSATEP00000027801	ENSATEG00000019216	Anabas_testudineus
ENSATEP00000027859	ENSATEG00000019237	Anabas_testudineus
ENSSMAP00000010048	ENSSMAG00000006142	Scophthalmus_maximus
ENSCSEP00000017617	ENSCSEG00000011305	Cynoglossus_semilaevis
ENSSDUP00000003465	ENSSDUG00000002641	Seriola_dumerili
ENSLCAP00010055058	ENSLCAG00010025693	Lates_calcarifer
ENSAPEP00000004114	ENSAPEG00000002949	Amphiprion_percula
ENSAPEP00000004054	ENSAPEG00000002904	Amphiprion_percula
ENSAOCP00000028122	ENSAOCG00000017556	Amphiprion_ocellaris
ENSSPAP00000023390	ENSSPAG00000017650	Stegastes_partitus
ENSPRNP00000033033	ENSPRNG00000016671	Parambassis_ranga
ENSXMAP00000017547	ENSXMAG00000017513	Xiphophorus_maculatus
ENSXCOP00000016325	ENSXCOG00000012334	Xiphophorus_couchianus
ENSGAFP00000013504	ENSGAFG00000009107	Gambusia_affinis
ENSPFOP00000015053	ENSPFOG00000015016	Poecilia_formosa
ENSPMEP00000006610	ENSPMEG00000008148	Poecilia_mexicana
ENSPREP00000018068	ENSPREG00000012227	Poecilia_reticulata
ENSFHEP00000007682	ENSFHEG00000008831	Fundulus_heteroclitus
ENSCVAP00000010153	ENSCVAG00000012275	Cyprinodon_variegatus
ENSKMAP00000025364	ENSKMAG00000018782	Kryptolebias_marmoratus
ENSKMAP00000025413	ENSKMAG00000018818	Kryptolebias_marmoratus
ENSORLP00000033118	ENSORLG00000028486	Oryzias_latipes_ASM223467v1
ENSORLP00020022206	ENSORLG00020002386	Oryzias_latipes_ASM223471v1
ENSORLP00000014670	ENSORLG00000011703	Oryzias_latipes_ASM223467v1
ENSORLP00020022209	ENSORLG00020002378	Oryzias_latipes_ASM223471v1
ENSORLP00015000420	ENSORLG00015001022	Oryzias_latipes_ASM223469v1
ENSORLP00015021903	ENSORLG00015001025	Oryzias_latipes_ASM223469v1
ENSOMEP00000028524	ENSOMEG00000011635	Oryzias_melastigma
ENSMZEP00005013121	ENSMZEG00005009834	Maylandia_zebra
ENSACLP00000017853	ENSACLG00000012216	Astatotilapia_calliptera
ENSPNYP00000024131	ENSPNYG00000018235	Pundamilia_nyererei
ENSHBUP00000033197	ENSHBUG00000020010	Haplochromis_burtoni
ENSNBRP00000002499	ENSNBRG00000002004	Neolamprologus_brichardi
ENSONIP00000021666	ENSONIG00000017178	Oreochromis_niloticus
ENSACIP00000000276	ENSACIG00000000252	Amphilophus_citrinellus
ENSACIP00000000305	ENSACIG00000000281	Amphilophus_citrinellus
ENSNBRP00000002534	ENSNBRG00000002030	Neolamprologus_brichardi
ENSGWIP00000021526	ENSGWIG00000011608	Gouania_willdenowi
ENSLBEP00000006608	ENSLBEG00000005095	Labrus_bergylta
ENSLBEP00000006575	ENSLBEG00000005057	Labrus_bergylta
ENSCGOP00000049334	ENSCGOG00000021982	Cottoperca_gobio
ENSMMOP00000000856	ENSMMOG00000000724	Mola_mola
ENSMMOP00000000864	ENSMMOG00000000736	Mola_mola
ENSTRUP00000049446	ENSTRUG00000023459	Takifugu_rubripes
ENSLCRP00005004674	ENSLCRG00005002387	Larimichthys_crocea
ENSGMOP00000006079	ENSGMOG00000005712	Gadus_morhua
ENSELUP00000021765	ENSELUG00000020847	Esox_lucius
ENSELUP00000020394	ENSELUG00000019608	Esox_lucius
ENSHHUP00000020915	ENSHHUG00000013118	Hucho_hucho
ENSHHUP00000048705	ENSHHUG00000029505	Hucho_hucho
ENSLOCP00000004792	ENSLOCG00000004012	Lepisosteus_oculatus
ENSLOCP00000004820	ENSLOCG00000004033	Lepisosteus_oculatus
