ENSHHUP00000020863	ENSHHUG00000013081	Hucho_hucho	ENSHHUT00000021639
ENSPMGP00000025971	ENSPMGG00000020937	Periophthalmus_magnuspinnatus	ENSPMGT00000027659
ENSHHUP00000023199	ENSHHUG00000014541	Hucho_hucho	ENSHHUT00000024075
ENSDCDP00000042639	ENSDCDG00000027424	Denticeps_clupeoides
ENSCHAP00000053801	ENSCHAG00000024430	Clupea_harengus
ENSPNAP00000008656	ENSPNAG00000003065	Pygocentrus_nattereri
ENSAMXP00000037732	ENSAMXG00000035845	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000026955	ENSIPUG00000018252	Ictalurus_punctatus
ENSEEEP00000009570	ENSEEEG00000004890	Electrophorus_electricus
ENSDARP00000089506	ENSDARG00000068305	Danio_rerio
ENSPFOP00000006317	ENSPFOG00000006389	Poecilia_formosa
ENSPLAP00000013466	ENSPLAG00000016949	Poecilia_latipinna
ENSPMEP00000025071	ENSPMEG00000007811	Poecilia_mexicana
ENSPREP00000003387	ENSPREG00000002401	Poecilia_reticulata
ENSGAFP00000015889	ENSGAFG00000010744	Gambusia_affinis
ENSXCOP00000002758	ENSXCOG00000002194	Xiphophorus_couchianus
ENSXMAP00000029819	ENSXMAG00000022794	Xiphophorus_maculatus
ENSCVAP00000007758	ENSCVAG00000009447	Cyprinodon_variegatus
ENSFHEP00000034458	ENSFHEG00000022227	Fundulus_heteroclitus
ENSSPAP00000001093	ENSSPAG00000000794	Stegastes_partitus
ENSGACP00000018171	ENSGACG00000013755	Gasterosteus_aculeatus
ENSMMOP00000024951	ENSMMOG00000018953	Mola_mola
ENSCGOP00000037698	ENSCGOG00000017332	Cottoperca_gobio
ENSLBEP00000023055	ENSLBEG00000017686	Labrus_bergylta
ENSLCRP00005052440	ENSLCRG00005019703	Larimichthys_crocea
ENSMALP00000024498	ENSMALG00000017066	Monopterus_albus
ENSMAMP00000017835	ENSMAMG00000012048	Mastacembelus_armatus
ENSSDUP00000026672	ENSSDUG00000019344	Seriola_dumerili
ENSSLDP00000016503	ENSSLDG00000013093	Seriola_lalandi_dorsalis
ENSSMAP00000000759	ENSSMAG00000000475	Scophthalmus_maximus
ENSPNYP00000014021	ENSPNYG00000010650	Pundamilia_nyererei
ENSMZEP00005034089	ENSMZEG00005025480	Maylandia_zebra
ENSACLP00000039736	ENSACLG00000026797	Astatotilapia_calliptera
ENSHBUP00000001838	ENSHBUG00000003003	Haplochromis_burtoni
ENSNBRP00000020898	ENSNBRG00000016055	Neolamprologus_brichardi
ENSONIP00000012463	ENSONIG00000009916	Oreochromis_niloticus
ENSACIP00000017732	ENSACIG00000013818	Amphilophus_citrinellus
ENSAPEP00000011305	ENSAPEG00000008095	Amphiprion_percula
ENSAOCP00000012122	ENSAOCG00000016515	Amphiprion_ocellaris
ENSAPOP00000013318	ENSAPOG00000016098	Acanthochromis_polyacanthus
ENSORLP00015012893	ENSORLG00015013762	Oryzias_latipes_ASM223469v1
ENSORLP00000020324	ENSORLG00000016235	Oryzias_latipes_ASM223467v1
ENSOMEP00000035872	ENSOMEG00000023365	Oryzias_melastigma
ENSKMAP00000014593	ENSKMAG00000010949	Kryptolebias_marmoratus
ENSLCAP00010030293	ENSLCAG00010014249	Lates_calcarifer
ENSPRNP00000036075	ENSPRNG00000018049	Parambassis_ranga
ENSGWIP00000014246	ENSGWIG00000008052	Gouania_willdenowi
ENSCSEP00000025756	ENSCSEG00000016424	Cynoglossus_semilaevis
ENSTNIP00000018310	ENSTNIG00000015252	Tetraodon_nigroviridis
ENSBSLP00000020757	ENSBSLG00000010596	Betta_splendens
ENSATEP00000017595	ENSATEG00000012233	Anabas_testudineus
ENSPMGP00000018619	ENSPMGG00000015195	Periophthalmus_magnuspinnatus
ENSHCOP00000007338	ENSHCOG00000009308	Hippocampus_comes
ENSGMOP00000013496	ENSGMOG00000012620	Gadus_morhua
ENSHHUP00000002587	ENSHHUG00000001648	Hucho_hucho
ENSELUP00000011130	ENSELUG00000011585	Esox_lucius
ENSSFOP00015030078	ENSSFOG00015019312	Scleropages_formosus
ENSLOCP00000002845	ENSLOCG00000002424	Lepisosteus_oculatus
ENSPKIP00000008467	ENSPKIG00000023947	Paramormyrops_kingsleyae
ENSECRP00000014321	ENSECRG00000009562	Erpetoichthys_calabaricus
ENSLACP00000010823	ENSLACG00000009527	Latimeria_chalumnae
ENSCMIP00000008156	ENSCMIG00000004394	Callorhinchus_milii
ENSHGLP00100007170	ENSHGLG00100005382	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007848	ENSHGLG00000005689	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005367	ENSFDAG00000014393	Fukomys_damarensis
ENSODEP00000015882	ENSODEG00000011705	Octodon_degus
ENSCLAP00000019291	ENSCLAG00000013217	Chinchilla_lanigera
ENSCPOP00000022531	ENSCPOG00000033627	Cavia_porcellus
ENSCAPP00000006817	ENSCAPG00000008898	Cavia_aperea
ENSMLUP00000018618	ENSMLUG00000022294	Myotis_lucifugus
ENSPVAP00000001872	ENSPVAG00000001982	Pteropus_vampyrus
ENSBIXP00000013050	ENSBIXG00000018039	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001868	ENSBIXG00005005899	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000006032	ENSBMUG00000004719	Bos_mutus
ENSBTAP00000001465	ENSBTAG00000001109	Bos_taurus
ENSBBBP00000020753	ENSBBBG00000014428	Bison_bison_bison
ENSOARP00000014804	ENSOARG00000013810	Ovis_aries
ENSBIXP00000001775	ENSBIXG00000008321	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043271	ENSBIXG00005026917	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000004628	ENSBBBG00000013517	Bison_bison_bison
ENSCHIP00000006049	ENSCHIG00000009993	Capra_hircus
ENSTTRP00000009865	ENSTTRG00000010408	Tursiops_truncatus
ENSVPAP00000008083	ENSVPAG00000008685	Vicugna_pacos
ENSECAP00000008939	ENSECAG00000011077	Equus_caballus
ENSEASP00005024958	ENSEASG00005016976	Equus_asinus_asinus
ENSNVIP00000015902	ENSNVIG00000012470	Neovison_vison
ENSMPUP00000004821	ENSMPUG00000004861	Mustela_putorius_furo
ENSUAMP00000024376	ENSUAMG00000019055	Ursus_americanus
ENSUMAP00000027787	ENSUMAG00000020182	Ursus_maritimus
ENSCAFP00000021200	ENSCAFG00000014370	Canis_lupus_familiaris
ENSCAFP00020021619	ENSCAFG00020017090	Canis_lupus_dingo
ENSCAFP00020027591	ENSCAFG00020021667	Canis_lupus_dingo
ENSCAFP00000038923	ENSCAFG00000006477	Canis_lupus_familiaris
ENSVVUP00000019116	ENSVVUG00000014099	Vulpes_vulpes
