MGP_PahariEiJ_P0072401	MGP_PahariEiJ_G0027270	Mus_pahari_strain_PAHARI_EIJ
ENSPVIP00000020579	ENSPVIG00000015694	Pogona_vitticeps	ENSPVIT00000025567
ENSPEMP00000000163	ENSPEMG00000000122	Peromyscus_maniculatus_bairdii
ENSBTAP00000068773	ENSBTAG00000054983	Bos_taurus
ENSCCNP00000024481	ENSCCNG00000023955	Castor_canadensis
ENSCATP00000000853	ENSCATG00000004056	Cercocebus_atys
ENSBIXP00000034093	ENSBIXG00000017021	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSARWP00000015881	ENSARWG00000010978	Apteryx_rowi
ENSP00000281882	ENSG00000152093	Homo_sapiens
ENSCSAP00000013732	ENSCSAG00000017711	Chlorocebus_sabaeus
ENSGGOP00000026463	ENSGGOG00000003802	Gorilla_gorilla
ENSSSCP00000017368	ENSSSCG00000016393	Sus_scrofa_strain_reference
ENSGALP00000020578	ENSGALG00000012623	Gallus_gallus
ENSMUSP00000027298	ENSMUSG00000026124	Mus_musculus_strain_reference_(CL57BL6)
ENSFALP00000003386	ENSFALG00000003245	Ficedula_albicollis
ENSNGAP00000022117	ENSNGAG00000021104	Nannospalax_galili
ENSFCAP00000041390	ENSFCAG00000046547	Felis_catus
ENSSCAP00000020818	ENSSCAG00000014995	Serinus_canaria
MGP_CAROLIEiJ_P0017056	MGP_CAROLIEiJ_G0014024	Mus_caroli_strain_CAROLI_EIJ
ENSPSIP00000016470	ENSPSIG00000014688	Pelodiscus_sinensis
ENSRROP00000014007	ENSRROG00000031219	Rhinopithecus_roxellana
ENSLAFP00000005045	ENSLAFG00000006015	Loxodonta_africana
ENSBIXP00005024155	ENSBIXG00005026768	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRBIP00000027545	ENSRBIG00000037641	Rhinopithecus_bieti
ENSCMIP00000027825	ENSCMIG00000012099	Callorhinchus_milii
ENSMLUP00000009619	ENSMLUG00000010563	Myotis_lucifugus
ENSVPAP00000000605	ENSVPAG00000000655	Vicugna_pacos
ENSNVIP00000022421	ENSNVIG00000017482	Neovison_vison
ENSCPUP00000022137	ENSCPUG00000015027	Calidris_pugnax
ENSCABP00000025329	ENSCABG00000018639	Chelonoidis_abingdonii
ENSACAP00000012493	ENSACAG00000012757	Anolis_carolinensis	ENSACAT00000012749
ENSTGUP00000000506	ENSTGUG00000000498	Taeniopygia_guttata
ENSCGRP00015020650	ENSCGRG00015015794	Cricetulus_griseus_CriGri-PICR
ENSNMEP00000020589	ENSNMEG00000017666	Numida_meleagris
ENSDORP00000012459	ENSDORG00000013250	Dipodomys_ordii
ENSSPUP00000006010	ENSSPUG00000004632	Sphenodon_punctatus
ENSMLEP00000002527	ENSMLEG00000010234	Mandrillus_leucophaeus
ENSVPAP00000004724	ENSVPAG00000005096	Vicugna_pacos
ENSTGEP00000036060	ENSTGEG00000028697	Theropithecus_gelada
ENSCAFP00020005337	ENSCAFG00020004379	Canis_lupus_dingo
ENSCHIP00000031960	ENSCHIG00000026116	Capra_hircus
ENSSBOP00000017842	ENSSBOG00000025558	Saimiri_boliviensis_boliviensis
ENSMUNP00000015501	ENSMUNG00000011960	Melopsittacus_undulatus
ENSEASP00005009909	ENSEASG00005007021	Equus_asinus_asinus
ENSMOCP00000005304	ENSMOCG00000004778	Microtus_ochrogaster
ENSAPLP00000007237	ENSAPLG00000007613	Anas_platyrhynchos_platyrhynchos
ENSMNEP00000017792	ENSMNEG00000032862	Macaca_nemestrina
ENSPSMP00000019945	ENSPSMG00000014092	Prolemur_simus
ENSZALP00000015112	ENSZALG00000012464	Zonotrichia_albicollis
ENSNLEP00000019366	ENSNLEG00000015963	Nomascus_leucogenys
ENSLCOP00000006516	ENSLCOG00000004846	Lepidothrix_coronata
ENSNPEP00000009471	ENSNPEG00000007108	Nothoprocta_perdicaria
ENSECAP00000022860	ENSECAG00000026988	Equus_caballus
ENSABRP00000018707	ENSABRG00000016100	Anser_brachyrhynchus
ENSAMEP00000003787	ENSAMEG00000003596	Ailuropoda_melanoleuca
ENSOARP00000011902	ENSOARG00000011105	Ovis_aries
ENSANAP00000006947	ENSANAG00000021548	Aotus_nancymaae
ENSCCAP00000006078	ENSCCAG00000020792	Cebus_capucinus_imitator
ENSPSIP00000016481	ENSPSIG00000014697	Pelodiscus_sinensis
ENSPTRP00000091498	ENSPTRG00000012455	Pan_troglodytes
ENSSMRP00000024870	ENSSMRG00000019224	Salvator_merianae	ENSSMRT00000029119
ENSPPAP00000008015	ENSPPAG00000027241	Pan_paniscus
ENSMAUP00000020147	ENSMAUG00000018250	Mesocricetus_auratus
ENSPANP00000006656	ENSPANG00000021925	Papio_anubis
ENSPMJP00000001953	ENSPMJG00000001615	Parus_major
ENSCGRP00000010983	ENSCGRG00000008001	Cricetulus_griseus_CriGri_1.0
ENSMICP00000005756	ENSMICG00000006310	Microcebus_murinus
ENSPVAP00000005252	ENSPVAG00000005550	Pteropus_vampyrus
ENSCPBP00000006972	ENSCPBG00000005486	Chrysemys_picta_bellii
ENSMSIP00000020102	ENSMSIG00000017059	Mus_spicilegus
ENSMODP00000049739	ENSMODG00000041568	Monodelphis_domestica
ENSCJAP00000020502	ENSCJAG00000011112	Callithrix_jacchus
ENSOPRP00000015364	ENSOPRG00000016829	Ochotona_princeps
ENSPTEP00000001622	ENSPTEG00000001798	Piliocolobus_tephrosceles
ENSCJPP00005011079	ENSCJPG00005009555	Coturnix_japonica
ENSEEUP00000004109	ENSEEUG00000004531	Erinaceus_europaeus
ENSETEP00000015228	ENSETEG00000018741	Echinops_telfairi
ENSMVIP00005028781	ENSMVIG00005020018	Manacus_vitellinus
ENSSDAP00000020669	ENSSDAG00000018835	Spermophilus_dauricus
ENSBMUP00000014322	ENSBMUG00000010902	Bos_mutus
ENSMFAP00000026040	ENSMFAG00000044484	Macaca_fascicularis
ENSHGLP00100024749	ENSHGLG00100018176	Heterocephalus_glaber_HetGla_1.0
ENSAHAP00000015721	ENSAHAG00000011247	Apteryx_haastii
ENSCGRP00001027061	ENSCGRG00001024187	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPYP00000014221	ENSPPYG00000012745	Pongo_abelii
ENSCCEP00000009873	ENSCCEG00000009986	Cyanistes_caeruleus
ENSCAFP00000041550	ENSCAFG00000024065	Canis_lupus_familiaris
ENSHGLP00000009708	ENSHGLG00000006965	Heterocephalus_glaber_HetGla_female_1.0
ENSPCAP00000007779	ENSPCAG00000008339	Procavia_capensis
ENSNSUP00000019636	ENSNSUG00000014348	Notechis_scutatus
ENSMMUP00000062099	ENSMMUG00000021625	Macaca_mulatta
ENSPTIP00000024654	ENSPTIG00000020685	Panthera_tigris_altaica
ENSDNOP00000034128	ENSDNOG00000032309	Dasypus_novemcinctus
ENSPCOP00000019380	ENSPCOG00000021633	Propithecus_coquereli
ENSCPRP00005014405	ENSCPRG00005010154	Crocodylus_porosus
ENSXETP00000050973	ENSXETG00000021079	Xenopus_tropicalis
ENSVVUP00000010810	ENSVVUG00000007977	Vulpes_vulpes
ENSRNOP00000062738	ENSRNOG00000042646	Rattus_norvegicus
ENSTTRP00000014543	ENSTTRG00000015346	Tursiops_truncatus
ENSAOWP00000021600	ENSAOWG00000014597	Apteryx_owenii
ENSGAGP00000029538	ENSGAGG00000021336	Gopherus_agassizii	ENSGAGT00000033540
ENSCANP00000034037	ENSCANG00000040696	Colobus_angolensis_palliatus
ENSTBEP00000006156	ENSTBEG00000007121	Tupaia_belangeri
ENSDNVP00000012443	ENSDNVG00000008782	Dromaius_novaehollandiae
ENSPCIP00000016918	ENSPCIG00000012993	Phascolarctos_cinereus
ENSCPGP00000010206	ENSCPGG00000007267	Calidris_pygmaea
ENSP00000259216	ENSG00000136698	Homo_sapiens
ENSLSDP00000017890	ENSLSDG00000012780	Lonchura_striata_domestica
ENSVPAP00000006279	ENSVPAG00000006761	Vicugna_pacos
