ENSPCIP00000026082	ENSPCIG00000019582	Phascolarctos_cinereus	ENSPCIT00000032122
ENSVURP00010020765	ENSVURG00010015873	Vombatus_ursinus	ENSVURT00010023644
ENSMEUP00000002180	ENSMEUG00000002383	Notamacropus_eugenii	ENSMEUT00000002394
ENSSHAP00000017269	ENSSHAG00000014681	Sarcophilus_harrisii	ENSSHAT00000017413
ENSMODP00000002495	ENSMODG00000002047	Monodelphis_domestica	ENSMODT00000002547
ENSSARP00000004170	ENSSARG00000004572	Sorex_araneus
ENSEEUP00000012178	ENSEEUG00000013359	Erinaceus_europaeus
ENSBIXP00005046212	ENSBIXG00005031141	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000019080	ENSBIXG00000022779	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000073504	ENSBTAG00000018499	Bos_taurus
ENSBMUP00000036049	ENSBMUG00000026778	Bos_mutus
ENSBBBP00000001010	ENSBBBG00000010235	Bison_bison_bison
ENSOARP00000000946	ENSOARG00000000912	Ovis_aries
ENSCHIP00000000108	ENSCHIG00000000097	Capra_hircus
ENSTTRP00000012860	ENSTTRG00000013554	Tursiops_truncatus
ENSVPAP00000003521	ENSVPAG00000003792	Vicugna_pacos
ENSSSCP00000060285	ENSSSCG00000010370	Sus_scrofa_strain_reference
ENSFCAP00000050303	ENSFCAG00000011757	Felis_catus
ENSCAFP00000056034	ENSCAFG00000016149	Canis_lupus_familiaris
ENSOPRP00000000326	ENSOPRG00000000355	Ochotona_princeps
ENSSDAP00000019593	ENSSDAG00000017837	Spermophilus_dauricus
ENSSDAP00000027022	ENSSDAG00000024471	Spermophilus_dauricus
ENSUPAP00010028017	ENSUPAG00010022141	Urocitellus_parryii
ENSSTOP00000002566	ENSSTOG00000002858	Ictidomys_tridecemlineatus
ENSMMMP00000022124	ENSMMMG00000019465	Marmota_marmota_marmota
ENSMAUP00000019052	ENSMAUG00000017444	Mesocricetus_auratus
ENSODEP00000003437	ENSODEG00000002637	Octodon_degus
ENSODEP00000015598	ENSODEG00000011514	Octodon_degus
ENSCLAP00000000166	ENSCLAG00000000172	Chinchilla_lanigera
ENSCPOP00000002296	ENSCPOG00000002522	Cavia_porcellus
ENSCAPP00000005077	ENSCAPG00000007462	Cavia_aperea
ENSHGLP00100005273	ENSHGLG00100004002	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100000916	ENSHGLG00100000742	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000000860	ENSHGLG00000000712	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000278	ENSFDAG00000010571	Fukomys_damarensis
ENSOCUP00000012199	ENSOCUG00000014189	Oryctolagus_cuniculus
ENSMICP00000006492	ENSMICG00000007129	Microcebus_murinus
ENSPSMP00000010971	ENSPSMG00000007893	Prolemur_simus
ENSPCOP00000030292	ENSPCOG00000027863	Propithecus_coquereli
ENSOGAP00000008790	ENSOGAG00000009829	Otolemur_garnettii
ENSP00000480221	ENSG00000264230	Homo_sapiens
ENSP00000478026	ENSG00000265190	Homo_sapiens
ENSGGOP00000012435	ENSGGOG00000012748	Gorilla_gorilla
ENSPPAP00000005268	ENSPPAG00000021844	Pan_paniscus
ENSPTRP00000080833	ENSPTRG00000049981	Pan_troglodytes
ENSPPYP00000002609	ENSPPYG00000002236	Pongo_abelii
ENSNLEP00000041653	ENSNLEG00000011116	Nomascus_leucogenys
ENSCANP00000024623	ENSCANG00000035596	Colobus_angolensis_palliatus
ENSPTEP00000004395	ENSPTEG00000005074	Piliocolobus_tephrosceles
ENSCATP00000012794	ENSCATG00000030462	Cercocebus_atys
ENSPANP00000024560	ENSPANG00000022639	Papio_anubis
ENSTGEP00000017848	ENSTGEG00000014410	Theropithecus_gelada
ENSMFAP00000004262	ENSMFAG00000001776	Macaca_fascicularis
ENSMMUP00000017667	ENSMMUG00000013446	Macaca_mulatta
ENSMNEP00000003507	ENSMNEG00000015982	Macaca_nemestrina
ENSCSAP00000006159	ENSCSAG00000009920	Chlorocebus_sabaeus
ENSRROP00000034046	ENSRROG00000040574	Rhinopithecus_roxellana
ENSRBIP00000029937	ENSRBIG00000038840	Rhinopithecus_bieti
ENSMLEP00000003022	ENSMLEG00000012538	Mandrillus_leucophaeus
ENSGGOP00000041017	ENSGGOG00000024942	Gorilla_gorilla
ENSPTRP00000079111	ENSPTRG00000049292	Pan_troglodytes
ENSANAP00000000105	ENSANAG00000000061	Aotus_nancymaae
ENSTSYP00000015800	ENSTSYG00000001927	Carlito_syrichta
ENSCCAP00000030720	ENSCCAG00000033336	Cebus_capucinus_imitator
ENSSBOP00000004903	ENSSBOG00000019027	Saimiri_boliviensis_boliviensis
ENSCJAP00000051513	ENSCJAG00000008101	Callithrix_jacchus
ENSEASP00005028631	ENSEASG00005019473	Equus_asinus_asinus
ENSECAP00000017953	ENSECAG00000020129	Equus_caballus
ENSMPUP00000008892	ENSMPUG00000008963	Mustela_putorius_furo
ENSNVIP00000031860	ENSNVIG00000024506	Neovison_vison
ENSCAFP00020015313	ENSCAFG00020012309	Canis_lupus_dingo
ENSVVUP00000036111	ENSVVUG00000025942	Vulpes_vulpes
ENSUAMP00000022622	ENSUAMG00000017768	Ursus_americanus
ENSUMAP00000021128	ENSUMAG00000015441	Ursus_maritimus
ENSAMEP00000010611	ENSAMEG00000010062	Ailuropoda_melanoleuca
ENSPPRP00000011012	ENSPPRG00000005065	Panthera_pardus
ENSPTIP00000017041	ENSPTIG00000015547	Panthera_tigris_altaica
ENSPVAP00000011344	ENSPVAG00000012034	Pteropus_vampyrus
ENSCGRP00000019935	ENSCGRG00000014515	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015024957	ENSCGRG00015018934	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013480	ENSCGRG00001014604	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000020221	ENSMOCG00000017966	Microtus_ochrogaster
ENSPEMP00000003836	ENSPEMG00000005656	Peromyscus_maniculatus_bairdii
ENSNGAP00000016532	ENSNGAG00000017201	Nannospalax_galili
MGP_SPRETEiJ_P0037922	MGP_SPRETEiJ_G0019998	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000022519	ENSMUSG00000021950	Mus_musculus_strain_reference_(CL57BL6)
