ENSCPUP00000029696	ENSCPUG00000019881	Calidris_pugnax
ENSCPGP00000006536	ENSCPGG00000004690	Calidris_pygmaea
ENSMVIP00005003444	ENSMVIG00005002682	Manacus_vitellinus
ENSLCOP00000011414	ENSLCOG00000008276	Lepidothrix_coronata
ENSPMJP00000003448	ENSPMJG00000002905	Parus_major
ENSCCEP00000016883	ENSCCEG00000015682	Cyanistes_caeruleus
ENSFALP00000010770	ENSFALG00000010324	Ficedula_albicollis
ENSTGUP00000017538	ENSTGUG00000017260	Taeniopygia_guttata
ENSLSDP00000021174	ENSLSDG00000014977	Lonchura_striata_domestica
ENSSCAP00000022720	ENSSCAG00000016300	Serinus_canaria
ENSJHYP00000020870	ENSJHYG00000015787	Junco_hyemalis
ENSZALP00000013279	ENSZALG00000011058	Zonotrichia_albicollis
ENSGALP00000034250	ENSGALG00000021561	Gallus_gallus
ENSMGAP00000006930	ENSMGAG00000006872	Meleagris_gallopavo
ENSCJPP00005007790	ENSCJPG00005007084	Coturnix_japonica
ENSNMEP00000020327	ENSNMEG00000017457	Numida_meleagris
ENSAPLP00000004256	ENSAPLG00000004732	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006902	ENSABRG00000006354	Anser_brachyrhynchus
ENSMUNP00000001845	ENSMUNG00000001600	Melopsittacus_undulatus
ENSAOWP00000017672	ENSAOWG00000012076	Apteryx_owenii
ENSARWP00000000358	ENSARWG00000000174	Apteryx_rowi
ENSAHAP00000023093	ENSAHAG00000016144	Apteryx_haastii
ENSDNVP00000023206	ENSDNVG00000016122	Dromaius_novaehollandiae
ENSNPEP00000005994	ENSNPEG00000004446	Nothoprocta_perdicaria
ENSCPRP00005021491	ENSCPRG00005014927	Crocodylus_porosus
ENSGAGP00000031890	ENSGAGG00000022895	Gopherus_agassizii
ENSCABP00000008424	ENSCABG00000006368	Chelonoidis_abingdonii
ENSCPBP00000013202	ENSCPBG00000009865	Chrysemys_picta_bellii
ENSPSIP00000011763	ENSPSIG00000010593	Pelodiscus_sinensis
ENSACAP00000015330	ENSACAG00000015601	Anolis_carolinensis
ENSPVIP00000007275	ENSPVIG00000005968	Pogona_vitticeps
ENSSMRP00000010163	ENSSMRG00000008064	Salvator_merianae
ENSSHAP00000017214	ENSSHAG00000014633	Sarcophilus_harrisii
ENSPCIP00000050677	ENSPCIG00000034606	Phascolarctos_cinereus
ENSMODP00000039695	ENSMODG00000028196	Monodelphis_domestica
ENSOANP00000018585	ENSOANG00000011724	Ornithorhynchus_anatinus
ENSPKIP00000010789	ENSPKIG00000025369	Paramormyrops_kingsleyae
ENSSFOP00015022777	ENSSFOG00015014654	Scleropages_formosus
ENSSFOP00015002786	ENSSFOG00015001839	Scleropages_formosus
ENSPKIP00000030854	ENSPKIG00000011559	Paramormyrops_kingsleyae
ENSLOCP00000000954	ENSLOCG00000000855	Lepisosteus_oculatus
ENSECRP00000012239	ENSECRG00000008139	Erpetoichthys_calabaricus
ENSLACP00000020610	ENSLACG00000018111	Latimeria_chalumnae
ENSXETP00000032975	ENSXETG00000016638	Xenopus_tropicalis
ENSACAP00000018671	ENSACAG00000025585	Anolis_carolinensis
ENSSMRP00000011348	ENSSMRG00000008921	Salvator_merianae
ENSGAGP00000031889	ENSGAGG00000022894	Gopherus_agassizii	ENSGAGT00000036167
ENSCPBP00000013128	ENSCPBG00000009856	Chrysemys_picta_bellii
ENSLOCP00000000920	ENSLOCG00000000827	Lepisosteus_oculatus
