ENSEBUP00000025273	ENSEBUG00000015595	Eptatretus_burgeri	ENSEBUT00000025849
ENSPMAP00000006589	ENSPMAG00000005964	Petromyzon_marinus	ENSPMAT00000006619
ENSAOWP00000007320	ENSAOWG00000005026	Apteryx_owenii	ENSAOWT00000008289
ENSAHAP00000021622	ENSAHAG00000015211	Apteryx_haastii	ENSAHAT00000023864
ENSARWP00000023445	ENSARWG00000015978	Apteryx_rowi	ENSARWT00000026559
ENSDNVP00000000018	ENSDNVG00000000006	Dromaius_novaehollandiae	ENSDNVT00000000018
ENSNPEP00000020259	ENSNPEG00000015062	Nothoprocta_perdicaria
ENSMGAP00000006098	ENSMGAG00000006045	Meleagris_gallopavo
ENSCJPP00005016854	ENSCJPG00005013817	Coturnix_japonica
ENSGALP00000048572	ENSGALG00000042197	Gallus_gallus
ENSNMEP00000021544	ENSNMEG00000018435	Numida_meleagris
ENSAPLP00000010813	ENSAPLG00000011060	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022759	ENSABRG00000019259	Anser_brachyrhynchus
ENSCPUP00000017987	ENSCPUG00000012407	Calidris_pugnax
ENSCPGP00000020184	ENSCPGG00000014119	Calidris_pygmaea
ENSMUNP00000020138	ENSMUNG00000015355	Melopsittacus_undulatus
ENSMVIP00005025280	ENSMVIG00005017666	Manacus_vitellinus
ENSLCOP00000005385	ENSLCOG00000003977	Lepidothrix_coronata
ENSZALP00000018182	ENSZALG00000014591	Zonotrichia_albicollis
ENSJHYP00000008378	ENSJHYG00000005752	Junco_hyemalis
ENSSCAP00000004837	ENSSCAG00000003914	Serinus_canaria
ENSLSDP00000010871	ENSLSDG00000008003	Lonchura_striata_domestica
ENSTGUP00000011256	ENSTGUG00000010903	Taeniopygia_guttata
ENSFALP00000004627	ENSFALG00000004447	Ficedula_albicollis
ENSPMJP00000010494	ENSPMJG00000008230	Parus_major
ENSCCEP00000014782	ENSCCEG00000013696	Cyanistes_caeruleus
ENSCPRP00005017121	ENSCPRG00005011924	Crocodylus_porosus
ENSCABP00000010731	ENSCABG00000008034	Chelonoidis_abingdonii
ENSGAGP00000034436	ENSGAGG00000024445	Gopherus_agassizii
ENSCPBP00000028981	ENSCPBG00000020444	Chrysemys_picta_bellii
ENSPSIP00000018203	ENSPSIG00000015923	Pelodiscus_sinensis
ENSSPUP00000018946	ENSSPUG00000014621	Sphenodon_punctatus
ENSPVIP00000001436	ENSPVIG00000001331	Pogona_vitticeps
