ENSPNAP00000004245	ENSPNAG00000010688	Pygocentrus_nattereri
ENSIPUP00000031232	ENSIPUG00000021056	Ictalurus_punctatus
ENSEEEP00000038094	ENSEEEG00000018100	Electrophorus_electricus
ENSCHAP00000045087	ENSCHAG00000020942	Clupea_harengus
ENSATEP00000015092	ENSATEG00000010518	Anabas_testudineus
ENSBSLP00000030277	ENSBSLG00000014971	Betta_splendens
ENSORLP00020014259	ENSORLG00020015234	Oryzias_latipes_ASM223471v1
ENSORLP00000028307	ENSORLG00000023029	Oryzias_latipes_ASM223467v1
ENSORLP00015019806	ENSORLG00015020880	Oryzias_latipes_ASM223469v1
ENSOMEP00000000772	ENSOMEG00000001660	Oryzias_melastigma
ENSKMAP00000005927	ENSKMAG00000004508	Kryptolebias_marmoratus
ENSCSEP00000011293	ENSCSEG00000007261	Cynoglossus_semilaevis
ENSCGOP00000051500	ENSCGOG00000022778	Cottoperca_gobio
ENSLCRP00005044094	ENSLCRG00005016887	Larimichthys_crocea
ENSTRUP00000052331	ENSTRUG00000025778	Takifugu_rubripes
ENSTNIP00000005621	ENSTNIG00000003051	Tetraodon_nigroviridis
ENSMMOP00000000352	ENSMMOG00000000288	Mola_mola
ENSLBEP00000001570	ENSLBEG00000001235	Labrus_bergylta
ENSGACP00000015843	ENSGACG00000011980	Gasterosteus_aculeatus
ENSAOCP00000008593	ENSAOCG00000012621	Amphiprion_ocellaris
ENSAPEP00000016716	ENSAPEG00000011958	Amphiprion_percula
ENSAPOP00000033766	ENSAPOG00000022529	Acanthochromis_polyacanthus
ENSSPAP00000017878	ENSSPAG00000013517	Stegastes_partitus
ENSPRNP00000023454	ENSPRNG00000011966	Parambassis_ranga
ENSPNYP00000012965	ENSPNYG00000009823	Pundamilia_nyererei
ENSMZEP00005032247	ENSMZEG00005024024	Maylandia_zebra
ENSACLP00000034870	ENSACLG00000023603	Astatotilapia_calliptera
ENSHBUP00000021710	ENSHBUG00000001561	Haplochromis_burtoni
ENSNBRP00000002527	ENSNBRG00000002035	Neolamprologus_brichardi
ENSACIP00000030886	ENSACIG00000023885	Amphilophus_citrinellus
ENSGWIP00000017699	ENSGWIG00000009846	Gouania_willdenowi
ENSMALP00000015020	ENSMALG00000010560	Monopterus_albus
ENSMAMP00000017605	ENSMAMG00000011916	Mastacembelus_armatus
ENSSLDP00000029123	ENSSLDG00000022482	Seriola_lalandi_dorsalis
ENSSDUP00000018164	ENSSDUG00000013267	Seriola_dumerili
ENSSMAP00000004233	ENSSMAG00000002627	Scophthalmus_maximus
ENSLCAP00010008328	ENSLCAG00010004043	Lates_calcarifer
ENSPMGP00000011139	ENSPMGG00000009236	Periophthalmus_magnuspinnatus	ENSPMGT00000011881
ENSHCOP00000022635	ENSHCOG00000010495	Hippocampus_comes
ENSGMOP00000002658	ENSGMOG00000002524	Gadus_morhua
ENSELUP00000024102	ENSELUG00000022893	Esox_lucius
ENSPKIP00000005385	ENSPKIG00000022016	Paramormyrops_kingsleyae
ENSECRP00000005441	ENSECRG00000003669	Erpetoichthys_calabaricus
