ENSPCIP00000025219	ENSPCIG00000018968	Phascolarctos_cinereus	ENSPCIT00000031039
ENSSHAP00000017178	ENSSHAG00000014600	Sarcophilus_harrisii	ENSSHAT00000017321
ENSSHAP00000017083	ENSSHAG00000014520	Sarcophilus_harrisii	ENSSHAT00000017225
ENSSHAP00000000903	ENSSHAG00000000808	Sarcophilus_harrisii	ENSSHAT00000000914
ENSSHAP00000010045	ENSSHAG00000008688	Sarcophilus_harrisii	ENSSHAT00000010133
ENSSHAP00000003251	ENSSHAG00000002867	Sarcophilus_harrisii	ENSSHAT00000003287
ENSPCIP00000025238	ENSPCIG00000018985	Phascolarctos_cinereus	ENSPCIT00000031066
ENSVURP00010032611	ENSVURG00010024862	Vombatus_ursinus	ENSVURT00010037121
ENSMODP00000038706	ENSMODG00000029594	Monodelphis_domestica	ENSMODT00000041814
ENSMSIP00000018851	ENSMSIG00000016073	Mus_spicilegus
ENSMUSP00000142908	ENSMUSG00000104876	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0002320	MGP_SPRETEiJ_G0002245	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0002186	MGP_CAROLIEiJ_G0002119	Mus_caroli_strain_CAROLI_EIJ
ENSMUGP00000012353	ENSMUGG00000010748	Meriones_unguiculatus
ENSPEMP00000032531	ENSPEMG00000025126	Peromyscus_maniculatus_bairdii
ENSCCNP00000013383	ENSCCNG00000013896	Castor_canadensis
ENSUPAP00010014189	ENSUPAG00010011406	Urocitellus_parryii
ENSMMMP00000015644	ENSMMMG00000013939	Marmota_marmota_marmota
ENSHGLP00000008533	ENSHGLG00000006155	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000356	ENSHGLG00100000304	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011555	ENSFDAG00000019078	Fukomys_damarensis
ENSCLAP00000014539	ENSCLAG00000010037	Chinchilla_lanigera
ENSCPOP00000000758	ENSCPOG00000000844	Cavia_porcellus
ENSOCUP00000012249	ENSOCUG00000014250	Oryctolagus_cuniculus
ENSCCAP00000031728	ENSCCAG00000033911	Cebus_capucinus_imitator
ENSP00000451468	ENSG00000211829	Homo_sapiens
ENSANAP00000001456	ENSANAG00000013027	Aotus_nancymaae
ENSSBOP00000005310	ENSSBOG00000019484	Saimiri_boliviensis_boliviensis
ENSPPAP00000003556	ENSPPAG00000014917	Pan_paniscus
ENSPTRP00000089516	ENSPTRG00000048936	Pan_troglodytes
ENSGGOP00000043454	ENSGGOG00000043281	Gorilla_gorilla
ENSNLEP00000029273	ENSNLEG00000029590	Nomascus_leucogenys
ENSMNEP00000004445	ENSMNEG00000020614	Macaca_nemestrina
ENSCATP00000005756	ENSCATG00000018487	Cercocebus_atys
ENSCANP00000006065	ENSCANG00000020458	Colobus_angolensis_palliatus
ENSOGAP00000005546	ENSOGAG00000006210	Otolemur_garnettii
ENSBIXP00000019539	ENSBIXG00000000136	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040979	ENSBIXG00005004077	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000057293	ENSBTAG00000055197	Bos_taurus
ENSBMUP00000025572	ENSBMUG00000019180	Bos_mutus
ENSCHIP00000029339	ENSCHIG00000024517	Capra_hircus	ENSCHIT00000037209
ENSOARP00000020890	ENSOARG00000019448	Ovis_aries	ENSOART00000021181
ENSSSCP00000023171	ENSSSCG00000022512	Sus_scrofa_strain_reference
ENSEASP00005016838	ENSEASG00005011672	Equus_asinus_asinus
ENSECAP00000017265	ENSECAG00000028590	Equus_caballus
ENSUMAP00000034519	ENSUMAG00000024836	Ursus_maritimus
ENSAMEP00000007503	ENSAMEG00000007133	Ailuropoda_melanoleuca
ENSCAFP00000041076	ENSCAFG00000011098	Canis_lupus_familiaris
ENSCAFP00020009732	ENSCAFG00020007910	Canis_lupus_dingo
ENSVVUP00000026881	ENSVVUG00000019759	Vulpes_vulpes
ENSNVIP00000026549	ENSNVIG00000020479	Neovison_vison
ENSMPUP00000007262	ENSMPUG00000007319	Mustela_putorius_furo
ENSFCAP00000051585	ENSFCAG00000053669	Felis_catus
ENSDNOP00000030071	ENSDNOG00000046057	Dasypus_novemcinctus
ENSETEP00000014615	ENSETEG00000017988	Echinops_telfairi
