ENSLCRP00005014748	ENSLCRG00005006300	Larimichthys_crocea
ENSMAMP00000023961	ENSMAMG00000016041	Mastacembelus_armatus
ENSATEP00000022661	ENSATEG00000015727	Anabas_testudineus
ENSMMOP00000002496	ENSMMOG00000002025	Mola_mola
ENSFHEP00000002914	ENSFHEG00000003737	Fundulus_heteroclitus
ENSPREP00000005291	ENSPREG00000003683	Poecilia_reticulata
ENSOMEP00000025011	ENSOMEG00000006031	Oryzias_melastigma
ENSAOCP00000029608	ENSAOCG00000020025	Amphiprion_ocellaris
ENSAMXP00000001803	ENSAMXG00000001770	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005002462	ENSAMXG00005001389	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDCDP00000020686	ENSDCDG00000016387	Denticeps_clupeoides
ENSPMEP00000034755	ENSPMEG00000024153	Poecilia_mexicana
ENSPFOP00000017148	ENSPFOG00000017071	Poecilia_formosa
ENSPLAP00000016005	ENSPLAG00000020051	Poecilia_latipinna
ENSPREP00000028725	ENSPREG00000019438	Poecilia_reticulata
ENSXMAP00000037555	ENSXMAG00000028344	Xiphophorus_maculatus
ENSXCOP00000024713	ENSXCOG00000018460	Xiphophorus_couchianus
ENSGAFP00000012392	ENSGAFG00000008376	Gambusia_affinis
ENSFHEP00000009357	ENSFHEG00000010587	Fundulus_heteroclitus
ENSORLP00015018436	ENSORLG00015019473	Oryzias_latipes_ASM223469v1
ENSORLP00000030550	ENSORLG00000022456	Oryzias_latipes_ASM223467v1
ENSORLP00020019262	ENSORLG00020020255	Oryzias_latipes_ASM223471v1
ENSACLP00000029870	ENSACLG00000020223	Astatotilapia_calliptera
ENSMZEP00005008397	ENSMZEG00005006401	Maylandia_zebra
ENSHBUP00000021232	ENSHBUG00000023531	Haplochromis_burtoni
ENSPNYP00000024734	ENSPNYG00000018669	Pundamilia_nyererei
ENSONIP00000004328	ENSONIG00000003438	Oreochromis_niloticus
ENSACIP00000006108	ENSACIG00000004788	Amphilophus_citrinellus
ENSSPAP00000014466	ENSSPAG00000010923	Stegastes_partitus
ENSBSLP00000001407	ENSBSLG00000000903	Betta_splendens
ENSCSEP00000014899	ENSCSEG00000009585	Cynoglossus_semilaevis
ENSTNIP00000012374	ENSTNIG00000009501	Tetraodon_nigroviridis
ENSTRUP00000031905	ENSTRUG00000023615	Takifugu_rubripes
ENSGACP00000019903	ENSGACG00000015091	Gasterosteus_aculeatus
ENSPRNP00000020980	ENSPRNG00000010892	Parambassis_ranga
ENSACIP00000001069	ENSACIG00000000914	Amphilophus_citrinellus
ENSGWIP00000010531	ENSGWIG00000006166	Gouania_willdenowi
ENSMAMP00000019365	ENSMAMG00000013031	Mastacembelus_armatus
ENSMMOP00000007708	ENSMMOG00000005994	Mola_mola
ENSGMOP00000012473	ENSGMOG00000011668	Gadus_morhua
ENSPKIP00000033785	ENSPKIG00000013367	Paramormyrops_kingsleyae
ENSLOCP00000004882	ENSLOCG00000004091	Lepisosteus_oculatus
ENSHGLP00000000032	ENSHGLG00000000058	Heterocephalus_glaber_HetGla_female_1.0
