ENSECAP00000019007	ENSECAG00000021602	Equus_caballus
ENSCGRP00000000043	ENSCGRG00000000067	Cricetulus_griseus_CriGri_1.0
ENSGGOP00000011252	ENSGGOG00000011539	Gorilla_gorilla
ENSACAP00000022480	ENSACAG00000029131	Anolis_carolinensis	ENSACAT00000029897
ENSRNOP00000003472	ENSRNOG00000002579	Rattus_norvegicus
ENSOGAP00000020986	ENSOGAG00000026750	Otolemur_garnettii
ENSPVAP00000000750	ENSPVAG00000000794	Pteropus_vampyrus
ENSAMEP00000015144	ENSAMEG00000014369	Ailuropoda_melanoleuca
ENSCGRP00015013967	ENSCGRG00015010741	Cricetulus_griseus_CriGri-PICR
ENSCPGP00000002665	ENSCPGG00000001982	Calidris_pygmaea
ENSPSIP00000009371	ENSPSIG00000008544	Pelodiscus_sinensis
ENSBTAP00000021168	ENSBTAG00000015919	Bos_taurus
MGP_SPRETEiJ_P0071725	MGP_SPRETEiJ_G0028401	Mus_spretus_strain_SPRET/EiJ
ENSCANP00000037604	ENSCANG00000042483	Colobus_angolensis_palliatus
ENSHGLP00100012512	ENSHGLG00100009267	Heterocephalus_glaber_HetGla_1.0
ENSMODP00000023963	ENSMODG00000019195	Monodelphis_domestica
ENSNLEP00000041659	ENSNLEG00000030727	Nomascus_leucogenys
ENSLCOP00000002648	ENSLCOG00000002038	Lepidothrix_coronata
ENSFCAP00000053106	ENSFCAG00000048622	Felis_catus
ENSBBBP00000009298	ENSBBBG00000007577	Bison_bison_bison
ENSBIXP00000022233	ENSBIXG00000025166	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSJJAP00000020220	ENSJJAG00000020965	Jaculus_jaculus
ENSCHIP00000006377	ENSCHIG00000010257	Capra_hircus
ENSMSIP00000021805	ENSMSIG00000018537	Mus_spicilegus
ENSSTOP00000015573	ENSSTOG00000025678	Ictidomys_tridecemlineatus
ENSMMMP00000007755	ENSMMMG00000006960	Marmota_marmota_marmota
ENSNGAP00000019672	ENSNGAG00000019421	Nannospalax_galili
ENSSHAP00000002693	ENSSHAG00000002382	Sarcophilus_harrisii
ENSFDAP00000009333	ENSFDAG00000017362	Fukomys_damarensis
ENSLACP00000006624	ENSLACG00000005875	Latimeria_chalumnae
ENSCPUP00000022878	ENSCPUG00000015544	Calidris_pugnax
ENSSARP00000010576	ENSSARG00000011719	Sorex_araneus
ENSOARP00000016341	ENSOARG00000015234	Ovis_aries
ENSCCNP00000021336	ENSCCNG00000021160	Castor_canadensis
ENSAOWP00000013069	ENSAOWG00000008917	Apteryx_owenii
MGP_PahariEiJ_P0032229	MGP_PahariEiJ_G0017182	Mus_pahari_strain_PAHARI_EIJ
ENSMAUP00000023215	ENSMAUG00000020432	Mesocricetus_auratus
ENSGALP00000037628	ENSGALG00000010268	Gallus_gallus
ENSCMIP00000036593	ENSCMIG00000015462	Callorhinchus_milii
ENSDORP00000019481	ENSDORG00000029110	Dipodomys_ordii
ENSNVIP00000018846	ENSNVIG00000014781	Neovison_vison
ENSPVIP00000004423	ENSPVIG00000003601	Pogona_vitticeps	ENSPVIT00000005661
ENSMOCP00000001162	ENSMOCG00000000888	Microtus_ochrogaster
ENSMFAP00000030978	ENSMFAG00000042667	Macaca_fascicularis
ENSRROP00000019977	ENSRROG00000033952	Rhinopithecus_roxellana
ENSOANP00000021718	ENSOANG00000013770	Ornithorhynchus_anatinus
ENSMPUP00000009015	ENSMPUG00000009091	Mustela_putorius_furo
ENSMUSP00000042844	ENSMUSG00000034981	Mus_musculus_strain_reference_(CL57BL6)
ENSPEMP00000030290	ENSPEMG00000028336	Peromyscus_maniculatus_bairdii
ENSSPUP00000011649	ENSSPUG00000008935	Sphenodon_punctatus	ENSSPUT00000012432
ENSEASP00005024337	ENSEASG00005016533	Equus_asinus_asinus
ENSCGRP00001021837	ENSCGRG00001020563	Cricetulus_griseus_CHOK1GS_HDv1
ENSLSDP00000016939	ENSLSDG00000012177	Lonchura_striata_domestica
ENSPMJP00000006874	ENSPMJG00000005723	Parus_major
ENSPPAP00000000561	ENSPPAG00000002112	Pan_paniscus
ENSSDAP00000015720	ENSSDAG00000014200	Spermophilus_dauricus
ENSMLEP00000032531	ENSMLEG00000040470	Mandrillus_leucophaeus
ENSODEP00000009163	ENSODEG00000006846	Octodon_degus
ENSPTRP00000053531	ENSPTRG00000031197	Pan_troglodytes
ENSANAP00000000019	ENSANAG00000000060	Aotus_nancymaae
ENSFCAP00000061073	ENSFCAG00000042985	Felis_catus
ENSCPOP00000020162	ENSCPOG00000025048	Cavia_porcellus
MGP_CAROLIEiJ_P0069067	MGP_CAROLIEiJ_G0027404	Mus_caroli_strain_CAROLI_EIJ
ENSMUNP00000003182	ENSMUNG00000002731	Melopsittacus_undulatus
ENSMLUP00000006585	ENSMLUG00000007217	Myotis_lucifugus
ENSLAFP00000003212	ENSLAFG00000003842	Loxodonta_africana
ENSMNEP00000011393	ENSMNEG00000030041	Macaca_nemestrina
ENSPTIP00000005261	ENSPTIG00000007534	Panthera_tigris_altaica
ENSAHAP00000011368	ENSAHAG00000008232	Apteryx_haastii
ENSTBEP00000014499	ENSTBEG00000016691	Tupaia_belangeri
ENSCCAP00000016920	ENSCCAG00000026270	Cebus_capucinus_imitator
ENSVPAP00000002949	ENSVPAG00000003190	Vicugna_pacos
ENSUAMP00000001427	ENSUAMG00000001362	Ursus_americanus
ENSOPRP00000007425	ENSOPRG00000008126	Ochotona_princeps
ENSOCUP00000001151	ENSOCUG00000001337	Oryctolagus_cuniculus
ENSSMRP00000021734	ENSSMRG00000016907	Salvator_merianae	ENSSMRT00000025452
ENSVURP00010012620	ENSVURG00010009740	Vombatus_ursinus
ENSMGAP00000017184	ENSMGAG00000016243	Meleagris_gallopavo
ENSUMAP00000008842	ENSUMAG00000006722	Ursus_maritimus
ENSMUGP00000006527	ENSMUGG00000006018	Meriones_unguiculatus
ENSMEUP00000000897	ENSMEUG00000000964	Notamacropus_eugenii
ENSCJAP00000073892	ENSCJAG00000019977	Callithrix_jacchus
ENSSBOP00000036249	ENSSBOG00000034268	Saimiri_boliviensis_boliviensis
ENSCABP00000004320	ENSCABG00000003260	Chelonoidis_abingdonii
ENSCPBP00000018519	ENSCPBG00000013492	Chrysemys_picta_bellii
ENSJHYP00000001938	ENSJHYG00000001658	Junco_hyemalis
ENSTTRP00000001998	ENSTTRG00000002135	Tursiops_truncatus
ENSPPYP00000016570	ENSPPYG00000014840	Pongo_abelii
ENSUPAP00010005838	ENSUPAG00010004735	Urocitellus_parryii
ENSAPLP00000027320	ENSAPLG00000019013	Anas_platyrhynchos_platyrhynchos
ENSETEP00000007985	ENSETEG00000009834	Echinops_telfairi
ENSDNOP00000033613	ENSDNOG00000035225	Dasypus_novemcinctus
ENSEEUP00000011057	ENSEEUG00000012134	Erinaceus_europaeus
ENSMMUP00000065535	ENSMMUG00000064978	Macaca_mulatta
ENSCSAP00000001047	ENSCSAG00000004720	Chlorocebus_sabaeus
ENSBMUP00000002781	ENSBMUG00000002198	Bos_mutus
ENSPANP00000005747	ENSPANG00000025635	Papio_anubis
ENSDNVP00000001463	ENSDNVG00000001067	Dromaius_novaehollandiae
ENSPTEP00000013359	ENSPTEG00000014964	Piliocolobus_tephrosceles
ENSCLAP00000008251	ENSCLAG00000005786	Chinchilla_lanigera
ENSPCIP00000047001	ENSPCIG00000031469	Phascolarctos_cinereus
ENSSSCP00000009568	ENSSSCG00000008966	Sus_scrofa_strain_reference
ENSXETP00000010897	ENSXETG00000016541	Xenopus_tropicalis
ENSP00000370224	ENSG00000169116	Homo_sapiens
ENSBIXP00005022328	ENSBIXG00005025268	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000039941	ENSCATG00000042547	Cercocebus_atys
ENSCAPP00000011533	ENSCAPG00000012585	Cavia_aperea
ENSRBIP00000018600	ENSRBIG00000033290	Rhinopithecus_bieti
ENSTGEP00000017505	ENSTGEG00000014154	Theropithecus_gelada
ENSHGLP00000023910	ENSHGLG00000017045	Heterocephalus_glaber_HetGla_female_1.0
