ENSVURP00010018781	ENSVURG00010014297	Vombatus_ursinus	ENSVURT00010021345
ENSVURP00010026951	ENSVURG00010020650	Vombatus_ursinus	ENSVURT00010030703
ENSPCIP00000023272	ENSPCIG00000017629	Phascolarctos_cinereus	ENSPCIT00000028703
ENSMEUP00000010293	ENSMEUG00000011285	Notamacropus_eugenii	ENSMEUT00000011313
ENSMODP00000010254	ENSMODG00000008255	Monodelphis_domestica	ENSMODT00000010452
ENSSHAP00000011002	ENSSHAG00000009482	Sarcophilus_harrisii	ENSSHAT00000011096
ENSLAFP00000017704	ENSLAFG00000016052	Loxodonta_africana	ENSLAFT00000016048
ENSPCAP00000015202	ENSPCAG00000016282	Procavia_capensis	ENSPCAT00000016241
ENSETEP00000005798	ENSETEG00000007144	Echinops_telfairi	ENSETET00000007142
ENSMLUP00000005976	ENSMLUG00000006541	Myotis_lucifugus
ENSPVAP00000002590	ENSPVAG00000002740	Pteropus_vampyrus
ENSVPAP00000007544	ENSVPAG00000008104	Vicugna_pacos
ENSTTRP00000013811	ENSTTRG00000014564	Tursiops_truncatus
ENSCAFP00020020155	ENSCAFG00020015995	Canis_lupus_dingo
ENSVVUP00000025071	ENSVVUG00000018384	Vulpes_vulpes
ENSMPUP00000009782	ENSMPUG00000009857	Mustela_putorius_furo
ENSAMEP00000019140	ENSAMEG00000018113	Ailuropoda_melanoleuca
ENSSARP00000006903	ENSSARG00000007626	Sorex_araneus
ENSCCNP00000019023	ENSCCNG00000019174	Castor_canadensis
ENSDORP00000026003	ENSDORG00000014699	Dipodomys_ordii
ENSCGRP00001022769	ENSCGRG00001021204	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015013796	ENSCGRG00015010546	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007705	ENSCGRG00000005613	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000011391	ENSCGRG00000008289	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012164	ENSMAUG00000012560	Mesocricetus_auratus
ENSPEMP00000024147	ENSPEMG00000020975	Peromyscus_maniculatus_bairdii
ENSMOCP00000011686	ENSMOCG00000011947	Microtus_ochrogaster
MGP_SPRETEiJ_P0059226	MGP_SPRETEiJ_G0025794	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000103983	ENSMUSG00000047213	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056978	MGP_CAROLIEiJ_G0024863	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067984	MGP_PahariEiJ_G0026310	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060081	ENSRNOG00000010084	Rattus_norvegicus
ENSMSIP00000018294	ENSMSIG00000015571	Mus_spicilegus
ENSMUGP00000007060	ENSMUGG00000006493	Meriones_unguiculatus
ENSMUGP00000007047	ENSMUGG00000006489	Meriones_unguiculatus
ENSNGAP00000018233	ENSNGAG00000018434	Nannospalax_galili
ENSUPAP00010024021	ENSUPAG00010019052	Urocitellus_parryii
ENSSTOP00000028672	ENSSTOG00000027792	Ictidomys_tridecemlineatus
ENSSDAP00000006792	ENSSDAG00000006248	Spermophilus_dauricus
ENSMMMP00000003163	ENSMMMG00000002881	Marmota_marmota_marmota
ENSPPAP00000041774	ENSPPAG00000043483	Pan_paniscus
ENSPTRP00000083913	ENSPTRG00000049135	Pan_troglodytes
ENSP00000478490	ENSG00000185728	Homo_sapiens
ENSGGOP00000037608	ENSGGOG00000027681	Gorilla_gorilla
ENSNLEP00000035592	ENSNLEG00000003872	Nomascus_leucogenys
ENSPANP00000035425	ENSPANG00000008030	Papio_anubis
ENSTGEP00000024163	ENSTGEG00000019546	Theropithecus_gelada
ENSMFAP00000023618	ENSMFAG00000043451	Macaca_fascicularis
ENSMMUP00000069083	ENSMMUG00000006729	Macaca_mulatta
ENSCATP00000031054	ENSCATG00000038669	Cercocebus_atys
ENSMLEP00000025190	ENSMLEG00000036763	Mandrillus_leucophaeus
ENSPTEP00000004040	ENSPTEG00000004757	Piliocolobus_tephrosceles
ENSCANP00000018382	ENSCANG00000032631	Colobus_angolensis_palliatus
ENSRBIP00000025169	ENSRBIG00000036465	Rhinopithecus_bieti
ENSCCAP00000009169	ENSCCAG00000022316	Cebus_capucinus_imitator
ENSSBOP00000038450	ENSSBOG00000035287	Saimiri_boliviensis_boliviensis
ENSANAP00000041221	ENSANAG00000037920	Aotus_nancymaae
ENSPCOP00000001544	ENSPCOG00000004856	Propithecus_coquereli
ENSPSMP00000037035	ENSPSMG00000025470	Prolemur_simus
ENSTSYP00000019945	ENSTSYG00000009117	Carlito_syrichta
ENSOCUP00000049076	ENSOCUG00000008723	Oryctolagus_cuniculus
ENSMICP00000008536	ENSMICG00000009379	Microcebus_murinus
ENSUAMP00000015787	ENSUAMG00000012624	Ursus_americanus
ENSUMAP00000019196	ENSUMAG00000014104	Ursus_maritimus
ENSNVIP00000031899	ENSNVIG00000024563	Neovison_vison
ENSCAFP00000039259	ENSCAFG00000007215	Canis_lupus_familiaris
