ENSUAMP00000002009	ENSUAMG00000001874	Ursus_americanus
ENSMPUP00000018958	ENSMPUG00000019081	Mustela_putorius_furo
MGP_CAROLIEiJ_P0024763	MGP_CAROLIEiJ_G0015813	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0026005	MGP_SPRETEiJ_G0016635	Mus_spretus_strain_SPRET/EiJ
ENSSPUP00000002447	ENSSPUG00000001897	Sphenodon_punctatus
ENSMLUP00000003787	ENSMLUG00000004164	Myotis_lucifugus
ENSCAFP00020020832	ENSCAFG00020016493	Canis_lupus_dingo
ENSPPAP00000017250	ENSPPAG00000031711	Pan_paniscus
ENSMMUP00000071367	ENSMMUG00000058689	Macaca_mulatta
ENSCGRP00000009289	ENSCGRG00000006786	Cricetulus_griseus_CriGri_1.0
ENSECRP00000004646	ENSECRG00000003165	Erpetoichthys_calabaricus
ENSCJAP00000072059	ENSCJAG00000063171	Callithrix_jacchus
ENSNGAP00000015406	ENSNGAG00000016440	Nannospalax_galili
ENSDORP00000005871	ENSDORG00000006270	Dipodomys_ordii
ENSCCAP00000003732	ENSCCAG00000018872	Cebus_capucinus_imitator
ENSCCAP00000003205	ENSCCAG00000017763	Cebus_capucinus_imitator
MGP_PahariEiJ_P0087899	MGP_PahariEiJ_G0031274	Mus_pahari_strain_PAHARI_EIJ
ENSVPAP00000010157	ENSVPAG00000010909	Vicugna_pacos
ENSBIXP00000021620	ENSBIXG00000024661	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOCUP00000032983	ENSOCUG00000032297	Oryctolagus_cuniculus
ENSUMAP00000029137	ENSUMAG00000021140	Ursus_maritimus
ENSMODP00000046905	ENSMODG00000038201	Monodelphis_domestica
ENSDNOP00000019559	ENSDNOG00000049696	Dasypus_novemcinctus
ENSBIXP00005000810	ENSBIXG00005029823	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNGAP00000016968	ENSNGAG00000017538	Nannospalax_galili
ENSJJAP00000009185	ENSJJAG00000013145	Jaculus_jaculus
ENSP00000310796	ENSG00000173451	Homo_sapiens
ENSPSIP00000014479	ENSPSIG00000012990	Pelodiscus_sinensis
ENSPTEP00000033732	ENSPTEG00000032142	Piliocolobus_tephrosceles
ENSRNOP00000005443	ENSRNOG00000003993	Rattus_norvegicus
ENSMMMP00000003168	ENSMMMG00000002891	Marmota_marmota_marmota
ENSPPRP00000017555	ENSPPRG00000009476	Panthera_pardus
ENSHGLP00100006900	ENSHGLG00100005173	Heterocephalus_glaber_HetGla_1.0
ENSOPRP00000012717	ENSOPRG00000013944	Ochotona_princeps
ENSETEP00000004605	ENSETEG00000005663	Echinops_telfairi
ENSRBIP00000034231	ENSRBIG00000040831	Rhinopithecus_bieti
ENSOCUP00000011448	ENSOCUG00000013308	Oryctolagus_cuniculus
ENSMOCP00000000155	ENSMOCG00000000145	Microtus_ochrogaster
ENSSBOP00000017071	ENSSBOG00000025208	Saimiri_boliviensis_boliviensis
ENSMUSP00000151353	ENSMUSG00000020137	Mus_musculus_strain_reference_(CL57BL6)
ENSCSAP00000000449	ENSCSAG00000004092	Chlorocebus_sabaeus
ENSECAP00000009104	ENSECAG00000011295	Equus_caballus
ENSNVIP00000015203	ENSNVIG00000011932	Neovison_vison
ENSODEP00000009484	ENSODEG00000007099	Octodon_degus
ENSPANP00000041443	ENSPANG00000034096	Papio_anubis
ENSPMAP00000002225	ENSPMAG00000002038	Petromyzon_marinus
ENSCAPP00000001430	ENSCAPG00000002783	Cavia_aperea
ENSTSYP00000005022	ENSTSYG00000005486	Carlito_syrichta
ENSCABP00000016841	ENSCABG00000012493	Chelonoidis_abingdonii	ENSCABT00000018453
ENSMPUP00000017377	ENSMPUG00000017487	Mustela_putorius_furo
ENSAMEP00000000513	ENSAMEG00000000496	Ailuropoda_melanoleuca
ENSETEP00000012146	ENSETEG00000014987	Echinops_telfairi
ENSBBBP00000018040	ENSBBBG00000010713	Bison_bison_bison
ENSSTOP00000002406	ENSSTOG00000002694	Ictidomys_tridecemlineatus
ENSMNEP00000030718	ENSMNEG00000038799	Macaca_nemestrina
ENSMEUP00000014141	ENSMEUG00000015495	Notamacropus_eugenii
ENSCLAP00000020097	ENSCLAG00000013769	Chinchilla_lanigera
ENSPCOP00000008986	ENSPCOG00000015817	Propithecus_coquereli
ENSCHIP00000025850	ENSCHIG00000022445	Capra_hircus
ENSCANP00000007572	ENSCANG00000024857	Colobus_angolensis_palliatus
ENSBTAP00000059729	ENSBTAG00000052417	Bos_taurus
ENSANAP00000031030	ENSANAG00000033254	Aotus_nancymaae
ENSMAUP00000012055	ENSMAUG00000012471	Mesocricetus_auratus
ENSPEMP00000003212	ENSPEMG00000004430	Peromyscus_maniculatus_bairdii
ENSPTIP00000008310	ENSPTIG00000009704	Panthera_tigris_altaica
ENSCGRP00015011674	ENSCGRG00015008972	Cricetulus_griseus_CriGri-PICR
ENSCPOP00000008548	ENSCPOG00000009524	Cavia_porcellus
ENSMUGP00000031087	ENSMUGG00000025852	Meriones_unguiculatus
ENSPSMP00000007550	ENSPSMG00000005596	Prolemur_simus
ENSVVUP00000011732	ENSVVUG00000008651	Vulpes_vulpes
ENSPTRP00000008878	ENSPTRG00000005225	Pan_troglodytes
ENSLACP00000005848	ENSLACG00000005196	Latimeria_chalumnae
ENSTGEP00000030544	ENSTGEG00000024510	Theropithecus_gelada
ENSMLEP00000019641	ENSMLEG00000034029	Mandrillus_leucophaeus
ENSRROP00000020106	ENSRROG00000034011	Rhinopithecus_roxellana
ENSPPYP00000005439	ENSPPYG00000004774	Pongo_abelii
ENSCGRP00001009535	ENSCGRG00001011633	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00000017571	ENSHGLG00000012573	Heterocephalus_glaber_HetGla_female_1.0
ENSSSCP00000024981	ENSSSCG00000021270	Sus_scrofa_strain_reference
ENSPCIP00000033813	ENSPCIG00000025068	Phascolarctos_cinereus
ENSOGAP00000019537	ENSOGAG00000027278	Otolemur_garnettii
ENSCATP00000029811	ENSCATG00000038126	Cercocebus_atys
ENSCHOP00000011076	ENSCHOG00000012510	Choloepus_hoffmanni
ENSTBEP00000014709	ENSTBEG00000016924	Tupaia_belangeri
ENSSARP00000009361	ENSSARG00000010362	Sorex_araneus
ENSFDAP00000006598	ENSFDAG00000015319	Fukomys_damarensis
ENSMFAP00000040083	ENSMFAG00000046216	Macaca_fascicularis
ENSCMIP00000016416	ENSCMIG00000007913	Callorhinchus_milii
ENSGAGP00000018652	ENSGAGG00000013803	Gopherus_agassizii	ENSGAGT00000021262
ENSPCAP00000003680	ENSPCAG00000003970	Procavia_capensis
ENSEASP00005011746	ENSEASG00005008234	Equus_asinus_asinus
ENSSDAP00000007161	ENSSDAG00000006593	Spermophilus_dauricus
ENSLOCP00000021238	ENSLOCG00000017183	Lepisosteus_oculatus
ENSEEUP00000006491	ENSEEUG00000007135	Erinaceus_europaeus
ENSVURP00010005033	ENSVURG00010003959	Vombatus_ursinus
ENSVURP00010008896	ENSVURG00010006897	Vombatus_ursinus
ENSGGOP00000042606	ENSGGOG00000036967	Gorilla_gorilla
ENSCPBP00000018468	ENSCPBG00000013456	Chrysemys_picta_bellii
ENSTTRP00000006935	ENSTTRG00000007330	Tursiops_truncatus
ENSPVAP00000011648	ENSPVAG00000012359	Pteropus_vampyrus
ENSOANP00000032917	ENSOANG00000031293	Ornithorhynchus_anatinus
ENSOARP00000015675	ENSOARG00000014616	Ovis_aries
ENSMSIP00000021087	ENSMSIG00000017914	Mus_spicilegus
ENSUPAP00010029789	ENSUPAG00010023428	Urocitellus_parryii
ENSCCNP00000017931	ENSCCNG00000018243	Castor_canadensis
ENSNLEP00000005332	ENSNLEG00000004398	Nomascus_leucogenys
ENSXETP00000015277	ENSXETG00000000318	Xenopus_tropicalis
ENSP00000454911	ENSG00000258064	Homo_sapiens
