ENSNMEP00000004019	ENSNMEG00000004490	Numida_meleagris
ENSDNVP00000010028	ENSDNVG00000007081	Dromaius_novaehollandiae
ENSCABP00000013144	ENSCABG00000009852	Chelonoidis_abingdonii
ENSGAGP00000027531	ENSGAGG00000020012	Gopherus_agassizii
ENSCPBP00000035863	ENSCPBG00000024928	Chrysemys_picta_bellii
ENSPSIP00000003782	ENSPSIG00000003581	Pelodiscus_sinensis
ENSFALP00000000720	ENSFALG00000000694	Ficedula_albicollis
ENSSCAP00000010403	ENSSCAG00000007895	Serinus_canaria
ENSPMJP00000025137	ENSPMJG00000018427	Parus_major
ENSJHYP00000005440	ENSJHYG00000004444	Junco_hyemalis
ENSLSDP00000023545	ENSLSDG00000016563	Lonchura_striata_domestica
ENSLCOP00000001399	ENSLCOG00000001145	Lepidothrix_coronata
ENSCPUP00000024075	ENSCPUG00000016338	Calidris_pugnax
ENSCPGP00000002663	ENSCPGG00000001974	Calidris_pygmaea
ENSGALP00000068284	ENSGALG00000034964	Gallus_gallus
ENSAOWP00000017281	ENSAOWG00000011818	Apteryx_owenii
ENSAHAP00000016372	ENSAHAG00000011666	Apteryx_haastii
ENSARWP00000015135	ENSARWG00000010465	Apteryx_rowi
ENSNPEP00000009502	ENSNPEG00000007100	Nothoprocta_perdicaria
ENSCPRP00005004681	ENSCPRG00005003362	Crocodylus_porosus
ENSACAP00000017566	ENSACAG00000017840	Anolis_carolinensis
ENSPVIP00000031679	ENSPVIG00000023287	Pogona_vitticeps
ENSNSUP00000019044	ENSNSUG00000013898	Notechis_scutatus
ENSSMRP00000002864	ENSSMRG00000002437	Salvator_merianae
ENSSPUP00000023347	ENSSPUG00000017914	Sphenodon_punctatus
ENSPCAP00000007220	ENSPCAG00000007678	Procavia_capensis
ENSLAFP00000027890	ENSLAFG00000006041	Loxodonta_africana
ENSETEP00000013315	ENSETEG00000016418	Echinops_telfairi
ENSDNOP00000007512	ENSDNOG00000009697	Dasypus_novemcinctus
ENSCHIP00000025590	ENSCHIG00000022293	Capra_hircus
ENSOARP00000003893	ENSOARG00000003646	Ovis_aries
ENSBIXP00005002812	ENSBIXG00005009106	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000017010	ENSBIXG00000007300	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000022637	ENSBMUG00000017014	Bos_mutus
ENSBBBP00000004845	ENSBBBG00000013744	Bison_bison_bison
ENSSSCP00000060401	ENSSSCG00000003572	Sus_scrofa_strain_reference
ENSTTRP00000014653	ENSTTRG00000015458	Tursiops_truncatus
ENSEASP00005012495	ENSEASG00005008710	Equus_asinus_asinus
ENSECAP00000021193	ENSECAG00000020672	Equus_caballus
ENSUAMP00000010539	ENSUAMG00000008660	Ursus_americanus
ENSAMEP00000011471	ENSAMEG00000010899	Ailuropoda_melanoleuca
ENSNVIP00000030867	ENSNVIG00000023745	Neovison_vison
ENSMPUP00000015507	ENSMPUG00000015617	Mustela_putorius_furo
ENSVVUP00000016475	ENSVVUG00000012094	Vulpes_vulpes
ENSFCAP00000041515	ENSFCAG00000030775	Felis_catus
ENSPPRP00000006161	ENSPPRG00000001681	Panthera_pardus
ENSPVAP00000008001	ENSPVAG00000008473	Pteropus_vampyrus
ENSGGOP00000000042	ENSGGOG00000000043	Gorilla_gorilla
ENSP00000440704	ENSG00000142765	Homo_sapiens
ENSPPAP00000002638	ENSPPAG00000011464	Pan_paniscus
ENSPTRP00000067292	ENSPTRG00000000403	Pan_troglodytes
ENSPPYP00000001924	ENSPPYG00000001666	Pongo_abelii
ENSNLEP00000011615	ENSNLEG00000009521	Nomascus_leucogenys
ENSCANP00000003876	ENSCANG00000013609	Colobus_angolensis_palliatus
ENSPTEP00000002402	ENSPTEG00000002854	Piliocolobus_tephrosceles
ENSRROP00000027899	ENSRROG00000037744	Rhinopithecus_roxellana
ENSRBIP00000010937	ENSRBIG00000029326	Rhinopithecus_bieti
ENSMNEP00000029778	ENSMNEG00000038366	Macaca_nemestrina
ENSMFAP00000005722	ENSMFAG00000002518	Macaca_fascicularis
ENSMMUP00000040483	ENSMMUG00000004768	Macaca_mulatta
ENSPANP00000003817	ENSPANG00000005720	Papio_anubis
ENSTGEP00000010175	ENSTGEG00000008342	Theropithecus_gelada
ENSCATP00000043611	ENSCATG00000044339	Cercocebus_atys
ENSCSAP00000017018	ENSCSAG00000000991	Chlorocebus_sabaeus
ENSSBOP00000011094	ENSSBOG00000022361	Saimiri_boliviensis_boliviensis
ENSCCAP00000013917	ENSCCAG00000024708	Cebus_capucinus_imitator
ENSCJAP00000016787	ENSCJAG00000009140	Callithrix_jacchus
ENSANAP00000020750	ENSANAG00000028160	Aotus_nancymaae
ENSTSYP00000034746	ENSTSYG00000029347	Carlito_syrichta
ENSPSMP00000015042	ENSPSMG00000010722	Prolemur_simus
ENSMICP00000014343	ENSMICG00000015733	Microcebus_murinus
ENSPCOP00000011651	ENSPCOG00000017349	Propithecus_coquereli
ENSOGAP00000013508	ENSOGAG00000015086	Otolemur_garnettii
ENSOCUP00000002053	ENSOCUG00000002371	Oryctolagus_cuniculus
ENSMSIP00000031494	ENSMSIG00000026328	Mus_spicilegus
ENSCCNP00000027632	ENSCCNG00000026709	Castor_canadensis
ENSDORP00000008891	ENSDORG00000009466	Dipodomys_ordii
ENSMUSP00000030674	ENSMUSG00000028860	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0067461	MGP_SPRETEiJ_G0027566	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0064934	MGP_CAROLIEiJ_G0026585	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080019	MGP_PahariEiJ_G0028918	Mus_pahari_strain_PAHARI_EIJ
