ENSCAFP00000040112	ENSCAFG00000031195	Canis_lupus_familiaris
ENSECAP00000012971	ENSECAG00000015236	Equus_caballus
ENSMLEP00000017621	ENSMLEG00000033014	Mandrillus_leucophaeus
ENSMFAP00000038098	ENSMFAG00000038414	Macaca_fascicularis
ENSFDAP00000000870	ENSFDAG00000011001	Fukomys_damarensis
ENSPTRP00000023421	ENSPTRG00000040435	Pan_troglodytes
ENSP00000344166	ENSG00000124208	Homo_sapiens	ENST00000341698
ENSCPOP00000014411	ENSCPOG00000023991	Cavia_porcellus
ENSMSIP00000018466	ENSMSIG00000015756	Mus_spicilegus
ENSCAFP00020022126	ENSCAFG00020017489	Canis_lupus_dingo
ENSCATP00000038101	ENSCATG00000041753	Cercocebus_atys
ENSDNVP00000005090	ENSDNVG00000003658	Dromaius_novaehollandiae
ENSVVUP00000030707	ENSVVUG00000022420	Vulpes_vulpes
ENSMODP00000020388	ENSMODG00000016312	Monodelphis_domestica
ENSUAMP00000027271	ENSUAMG00000021130	Ursus_americanus	ENSUAMT00000030490
ENSMUSP00000006587	ENSMUSG00000090213	Mus_musculus_strain_reference_(CL57BL6)
ENSCCNP00000010370	ENSCCNG00000010867	Castor_canadensis
ENSBIXP00005038078	ENSBIXG00005020099	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000014200	ENSOARG00000013248	Ovis_aries
ENSCJAP00000078281	ENSCJAG00000039715	Callithrix_jacchus	ENSCJAT00000101953
ENSPPRP00000029330	ENSPPRG00000021919	Panthera_pardus
ENSODEP00000008175	ENSODEG00000006093	Octodon_degus
ENSHGLP00100003699	ENSHGLG00100002819	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000005282	ENSMUGG00000004854	Meriones_unguiculatus
ENSPCOP00000007101	ENSPCOG00000014768	Propithecus_coquereli
ENSSBOP00000000100	ENSSBOG00000000313	Saimiri_boliviensis_boliviensis
ENSLOCP00000002660	ENSLOCG00000002269	Lepisosteus_oculatus
ENSBMUP00000015313	ENSBMUG00000011633	Bos_mutus
ENSAMEP00000014175	ENSAMEG00000013457	Ailuropoda_melanoleuca
ENSEEUP00000002543	ENSEEUG00000002785	Erinaceus_europaeus
ENSPTIP00000010758	ENSPTIG00000011419	Panthera_tigris_altaica
ENSRNOP00000069029	ENSRNOG00000060571	Rattus_norvegicus
ENSGGOP00000028468	ENSGGOG00000015114	Gorilla_gorilla
ENSPANP00000014613	ENSPANG00000011164	Papio_anubis
ENSCCAP00000014381	ENSCCAG00000024997	Cebus_capucinus_imitator
ENSSSCP00000026854	ENSSSCG00000027287	Sus_scrofa_strain_reference	ENSSSCT00000026441
ENSNVIP00000009399	ENSNVIG00000007421	Neovison_vison
ENSBTAP00000013376	ENSBTAG00000010135	Bos_taurus
ENSOGAP00000008187	ENSOGAG00000009132	Otolemur_garnettii
ENSLCOP00000011385	ENSLCOG00000008259	Lepidothrix_coronata
MGP_SPRETEiJ_P0058513	MGP_SPRETEiJ_G0025631	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00015024667	ENSCGRG00015018731	Cricetulus_griseus_CriGri-PICR
ENSKMAP00000029729	ENSKMAG00000021998	Kryptolebias_marmoratus
ENSCGRP00001008194	ENSCGRG00001010523	Cricetulus_griseus_CHOK1GS_HDv1
ENSRBIP00000041280	ENSRBIG00000043990	Rhinopithecus_bieti
MGP_PahariEiJ_P0067321	MGP_PahariEiJ_G0026153	Mus_pahari_strain_PAHARI_EIJ
ENSMEUP00000012616	ENSMEUG00000013826	Notamacropus_eugenii
ENSMNEP00000039787	ENSMNEG00000042824	Macaca_nemestrina
ENSPPAP00000011031	ENSPPAG00000028727	Pan_paniscus
ENSPCAP00000011304	ENSPCAG00000012149	Procavia_capensis
ENSSTOP00000014695	ENSSTOG00000016416	Ictidomys_tridecemlineatus
ENSMUSP00000118416	ENSMUSG00000089739	Mus_musculus_strain_reference_(CL57BL6)
ENSP00000360715	ENSG00000240849	Homo_sapiens
