ENSCHIP00000031370	ENSCHIG00000025661	Capra_hircus	ENSCHIT00000039243
ENSDORP00000023423	ENSDORG00000026955	Dipodomys_ordii
MGP_PahariEiJ_P0049413	MGP_PahariEiJ_G0021990	Mus_pahari_strain_PAHARI_EIJ
ENSETEP00000000949	ENSETEG00000001167	Echinops_telfairi	ENSETET00000001172
ENSRNOP00000018782	ENSRNOG00000013948	Rattus_norvegicus
ENSPTIP00000003670	ENSPTIG00000006337	Panthera_tigris_altaica
ENSCCNP00000007652	ENSCCNG00000007864	Castor_canadensis
ENSMAUP00000006416	ENSMAUG00000008329	Mesocricetus_auratus
ENSSDAP00000027211	ENSSDAG00000024656	Spermophilus_dauricus
ENSMLUP00000010983	ENSMLUG00000012040	Myotis_lucifugus
ENSMUSP00000110550	ENSMUSG00000029826	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000010230	ENSEEUG00000011166	Erinaceus_europaeus
ENSNGAP00000015780	ENSNGAG00000016695	Nannospalax_galili
ENSHGLP00000009343	ENSHGLG00000006700	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000005729	ENSTTRG00000006055	Tursiops_truncatus
ENSCGRP00000019898	ENSCGRG00000014483	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036894	ENSCGRG00015027672	Cricetulus_griseus_CriGri-PICR
ENSCAFP00020028511	ENSCAFG00020022308	Canis_lupus_dingo
ENSSBOP00000022047	ENSSBOG00000027573	Saimiri_boliviensis_boliviensis
ENSMLEP00000036990	ENSMLEG00000042609	Mandrillus_leucophaeus
ENSUPAP00010023286	ENSUPAG00010018450	Urocitellus_parryii
ENSPTEP00000039736	ENSPTEG00000036725	Piliocolobus_tephrosceles
ENSPPRP00000000840	ENSPPRG00000024556	Panthera_pardus
ENSBIXP00005046079	ENSBIXG00005031046	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000032476	ENSPPAG00000039112	Pan_paniscus
ENSVVUP00000003386	ENSVVUG00000002633	Vulpes_vulpes
ENSCANP00000013993	ENSCANG00000030425	Colobus_angolensis_palliatus
ENSBTAP00000028806	ENSBTAG00000021617	Bos_taurus
ENSODEP00000018088	ENSODEG00000013337	Octodon_degus
ENSNLEP00000029797	ENSNLEG00000014005	Nomascus_leucogenys
ENSRROP00000037753	ENSRROG00000042287	Rhinopithecus_roxellana
ENSBMUP00000023037	ENSBMUG00000017318	Bos_mutus
ENSSSCP00000036920	ENSSSCG00000016512	Sus_scrofa_strain_reference
ENSOCUP00000015374	ENSOCUG00000017892	Oryctolagus_cuniculus
ENSECAP00000027123	ENSECAG00000017394	Equus_caballus
