FBpp0112122	FBgn0037737	Drosophila_melanogaster	FBtr0113210
R186.7.1	WBGene00011308	Caenorhabditis_elegans_strain_N2	R186.7.1
ENSVURP00010012520	ENSVURG00010009670	Vombatus_ursinus	ENSVURT00010014253
ENSPCIP00000034817	ENSPCIG00000025750	Phascolarctos_cinereus	ENSPCIT00000042843
ENSMEUP00000011446	ENSMEUG00000012561	Notamacropus_eugenii	ENSMEUT00000012592
ENSMODP00000014945	ENSMODG00000011926	Monodelphis_domestica	ENSMODT00000015219
ENSUMAP00000011108	ENSUMAG00000008357	Ursus_maritimus
ENSUAMP00000028213	ENSUAMG00000021808	Ursus_americanus
ENSAMEP00000004116	ENSAMEG00000003904	Ailuropoda_melanoleuca
ENSNVIP00000006292	ENSNVIG00000005032	Neovison_vison
ENSMPUP00000016121	ENSMPUG00000016225	Mustela_putorius_furo
ENSCAFP00000020449	ENSCAFG00000013878	Canis_lupus_familiaris
ENSCAFP00020028379	ENSCAFG00020022238	Canis_lupus_dingo
ENSVVUP00000028635	ENSVVUG00000020959	Vulpes_vulpes
ENSFCAP00000037891	ENSFCAG00000025696	Felis_catus
ENSPTIP00000020565	ENSPTIG00000017996	Panthera_tigris_altaica
ENSECAP00000039002	ENSECAG00000011899	Equus_caballus
ENSMLUP00000002394	ENSMLUG00000002633	Myotis_lucifugus
ENSPVAP00000002448	ENSPVAG00000002589	Pteropus_vampyrus
ENSSARP00000002657	ENSSARG00000002930	Sorex_araneus
ENSBIXP00000032592	ENSBIXG00000015210	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042187	ENSBIXG00005025501	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000038454	ENSBTAG00000026995	Bos_taurus
ENSBMUP00000021107	ENSBMUG00000015876	Bos_mutus
ENSBBBP00000016870	ENSBBBG00000025117	Bison_bison_bison
ENSOARP00000009245	ENSOARG00000008616	Ovis_aries
ENSCHIP00000016085	ENSCHIG00000016458	Capra_hircus
ENSSSCP00000035570	ENSSSCG00000022828	Sus_scrofa_strain_reference
ENSOGAP00000010192	ENSOGAG00000011374	Otolemur_garnettii
ENSDNOP00000004449	ENSDNOG00000005746	Dasypus_novemcinctus	ENSDNOT00000005745
ENSOPRP00000004364	ENSOPRG00000004734	Ochotona_princeps
ENSDNOP00000018181	ENSDNOG00000035866	Dasypus_novemcinctus	ENSDNOT00000034236
MGP_SPRETEiJ_P0033829	MGP_SPRETEiJ_G0018624	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005045	ENSMSIG00000004589	Mus_spicilegus	ENSMSIT00000006397
ENSMUSP00000021381	ENSMUSG00000020994	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000021381
MGP_CAROLIEiJ_P0032339	MGP_CAROLIEiJ_G0017779	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0082450	MGP_PahariEiJ_G0029535	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005439	ENSRNOG00000004061	Rattus_norvegicus
ENSMUGP00000006284	ENSMUGG00000005798	Meriones_unguiculatus
ENSCGRP00001015371	ENSCGRG00001015998	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006750	ENSCGRG00000004932	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013184	ENSCGRG00015010122	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025382	ENSMAUG00000021942	Mesocricetus_auratus
ENSMOCP00000005141	ENSMOCG00000004573	Microtus_ochrogaster
ENSPEMP00000023250	ENSPEMG00000020349	Peromyscus_maniculatus_bairdii
ENSJJAP00000012746	ENSJJAG00000015703	Jaculus_jaculus
ENSCCNP00000033645	ENSCCNG00000031795	Castor_canadensis
ENSSTOP00000002597	ENSSTOG00000002911	Ictidomys_tridecemlineatus
ENSSTOP00000024647	ENSSTOG00000030749	Ictidomys_tridecemlineatus
ENSUPAP00010027641	ENSUPAG00010021847	Urocitellus_parryii
ENSMMMP00000005823	ENSMMMG00000005240	Marmota_marmota_marmota
ENSSDAP00000022121	ENSSDAG00000020108	Spermophilus_dauricus
ENSSDAP00000022093	ENSSDAG00000020098	Spermophilus_dauricus
ENSOCUP00000001881	ENSOCUG00000002176	Oryctolagus_cuniculus
ENSOPRP00000003795	ENSOPRG00000004125	Ochotona_princeps
ENSTBEP00000003192	ENSTBEG00000003670	Tupaia_belangeri
ENSHGLP00000007760	ENSHGLG00000005629	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010171	ENSFDAG00000017999	Fukomys_damarensis
ENSCAPP00000004234	ENSCAPG00000006815	Cavia_aperea
ENSCPOP00000021613	ENSCPOG00000030068	Cavia_porcellus
ENSPPAP00000008222	ENSPPAG00000027351	Pan_paniscus
ENSPTRP00000010673	ENSPTRG00000006293	Pan_troglodytes
ENSGGOP00000025407	ENSGGOG00000024288	Gorilla_gorilla
ENSP00000216832	ENSG00000100941	Homo_sapiens
ENSPPYP00000006552	ENSPPYG00000005766	Pongo_abelii
ENSNLEP00000004951	ENSNLEG00000004068	Nomascus_leucogenys
ENSMNEP00000005528	ENSMNEG00000025074	Macaca_nemestrina
ENSMFAP00000034462	ENSMFAG00000003712	Macaca_fascicularis
ENSMMUP00000080525	ENSMMUG00000049567	Macaca_mulatta
ENSPANP00000036624	ENSPANG00000036062	Papio_anubis
ENSTGEP00000005162	ENSTGEG00000004306	Theropithecus_gelada
ENSMLEP00000017969	ENSMLEG00000033155	Mandrillus_leucophaeus
ENSCATP00000016186	ENSCATG00000032029	Cercocebus_atys
ENSCSAP00000011476	ENSCSAG00000015399	Chlorocebus_sabaeus
ENSRROP00000007311	ENSRROG00000027323	Rhinopithecus_roxellana
ENSRBIP00000011231	ENSRBIG00000029486	Rhinopithecus_bieti
ENSCANP00000024320	ENSCANG00000035553	Colobus_angolensis_palliatus
ENSPTEP00000005091	ENSPTEG00000005923	Piliocolobus_tephrosceles
ENSSBOP00000003708	ENSSBOG00000017349	Saimiri_boliviensis_boliviensis
ENSCCAP00000031206	ENSCCAG00000033642	Cebus_capucinus_imitator
ENSCJAP00000078092	ENSCJAG00000016291	Callithrix_jacchus
ENSTSYP00000001072	ENSTSYG00000001160	Carlito_syrichta
ENSPSMP00000016324	ENSPSMG00000011610	Prolemur_simus
ENSMICP00000045888	ENSMICG00000043299	Microcebus_murinus
ENSPCOP00000000894	ENSPCOG00000002690	Propithecus_coquereli
ENSSARP00000012435	ENSSARG00000013773	Sorex_araneus
ENSEEUP00000004962	ENSEEUG00000005455	Erinaceus_europaeus
ENSANAP00000024204	ENSANAG00000029815	Aotus_nancymaae
ENSCLAP00000011399	ENSCLAG00000007863	Chinchilla_lanigera
ENSTTRP00000016236	ENSTTRG00000017129	Tursiops_truncatus
ENSCHOP00000010636	ENSCHOG00000012025	Choloepus_hoffmanni	ENSCHOT00000012067
ENSLAFP00000007425	ENSLAFG00000008837	Loxodonta_africana
ENSPCAP00000005238	ENSPCAG00000005592	Procavia_capensis
ENSETEP00000008104	ENSETEG00000009975	Echinops_telfairi
ENSFCAP00000036754	ENSFCAG00000047888	Felis_catus
ENSFCAP00000023249	ENSFCAG00000030565	Felis_catus
ENSPPRP00000017793	ENSPPRG00000009642	Panthera_pardus
ENSEASP00005010790	ENSEASG00005007619	Equus_asinus_asinus
ENSDORP00000027097	ENSDORG00000025772	Dipodomys_ordii
ENSNGAP00000000902	ENSNGAG00000000681	Nannospalax_galili
ENSODEP00000000197	ENSODEG00000000172	Octodon_degus
ENSODEP00000013856	ENSODEG00000010243	Octodon_degus
ENSCLAP00000014542	ENSCLAG00000010040	Chinchilla_lanigera
ENSHGLP00100007013	ENSHGLG00100005260	Heterocephalus_glaber_HetGla_1.0
ENSMICP00000032123	ENSMICG00000030723	Microcebus_murinus
ENSVPAP00000006374	ENSVPAG00000006859	Vicugna_pacos
ENSOANP00000022096	ENSOANG00000014011	Ornithorhynchus_anatinus
ENSACAP00000015658	ENSACAG00000015894	Anolis_carolinensis
ENSPVIP00000005786	ENSPVIG00000004713	Pogona_vitticeps
ENSNSUP00000003906	ENSNSUG00000003138	Notechis_scutatus
ENSSMRP00000016304	ENSSMRG00000012685	Salvator_merianae
ENSSPUP00000022385	ENSSPUG00000017191	Sphenodon_punctatus
ENSAHAP00000004985	ENSAHAG00000003862	Apteryx_haastii
ENSAHAP00000004973	ENSAHAG00000003857	Apteryx_haastii
ENSAOWP00000025549	ENSAOWG00000017245	Apteryx_owenii
ENSARWP00000015777	ENSARWG00000010866	Apteryx_rowi
