ENSCGRP00015008206	ENSCGRG00015006374	Cricetulus_griseus_CriGri-PICR
ENSLACP00000014711	ENSLACG00000012945	Latimeria_chalumnae
ENSKMAP00000005070	ENSKMAG00000003847	Kryptolebias_marmoratus
ENSSMAP00000025982	ENSSMAG00000015877	Scophthalmus_maximus
ENSNLEP00000021277	ENSNLEG00000017529	Nomascus_leucogenys
ENSPANP00000019361	ENSPANG00000024868	Papio_anubis
ENSPTRP00000041523	ENSPTRG00000021411	Pan_troglodytes
ENSAMEP00000016068	ENSAMEG00000015234	Ailuropoda_melanoleuca
ENSGGOP00000028522	ENSGGOG00000013692	Gorilla_gorilla
ENSACAP00000013926	ENSACAG00000014196	Anolis_carolinensis	ENSACAT00000014212
ENSSMRP00000014615	ENSSMRG00000011378	Salvator_merianae	ENSSMRT00000017018
ENSARWP00000026479	ENSARWG00000017921	Apteryx_rowi
ENSMUNP00000001341	ENSMUNG00000001158	Melopsittacus_undulatus
ENSMUSP00000028162	ENSMUSG00000026820	Mus_musculus_strain_reference_(CL57BL6)
ENSORLP00020010522	ENSORLG00020011434	Oryzias_latipes_ASM223471v1
ENSPKIP00000007887	ENSPKIG00000023618	Paramormyrops_kingsleyae
ENSGAFP00000009263	ENSGAFG00000006300	Gambusia_affinis
ENSPREP00000005602	ENSPREG00000003883	Poecilia_reticulata
ENSCPBP00000035358	ENSCPBG00000024615	Chrysemys_picta_bellii
ENSPMGP00000016612	ENSPMGG00000013640	Periophthalmus_magnuspinnatus
ENSCVAP00000032104	ENSCVAG00000021891	Cyprinodon_variegatus
ENSSDAP00000011614	ENSSDAG00000010487	Spermophilus_dauricus
ENSGWIP00000014467	ENSGWIG00000008168	Gouania_willdenowi
ENSVVUP00000018160	ENSVVUG00000013383	Vulpes_vulpes
ENSACIP00000012090	ENSACIG00000009357	Amphilophus_citrinellus
ENSSDUP00000019183	ENSSDUG00000013989	Seriola_dumerili
ENSMALP00000008508	ENSMALG00000006033	Monopterus_albus
ENSGAGP00000032179	ENSGAGG00000023033	Gopherus_agassizii
ENSCANP00000026618	ENSCANG00000036736	Colobus_angolensis_palliatus
ENSOARP00000011666	ENSOARG00000010878	Ovis_aries
ENSPSIP00000019814	ENSPSIG00000017553	Pelodiscus_sinensis
ENSMUGP00000014287	ENSMUGG00000012360	Meriones_unguiculatus
ENSETEP00000007637	ENSETEG00000009395	Echinops_telfairi
ENSFCAP00000011767	ENSFCAG00000012690	Felis_catus
ENSAMXP00005050612	ENSAMXG00005022951	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACLP00000000787	ENSACLG00000000568	Astatotilapia_calliptera
ENSXCOP00000013818	ENSXCOG00000010461	Xiphophorus_couchianus
ENSFDAP00000020614	ENSFDAG00000008307	Fukomys_damarensis
ENSHBUP00000027531	ENSHBUG00000010774	Haplochromis_burtoni
ENSABRP00000011931	ENSABRG00000010678	Anser_brachyrhynchus
R11A8.5.1	WBGene00011239	Caenorhabditis_elegans_strain_N2
ENSPPRP00000014413	ENSPPRG00000007321	Panthera_pardus
ENSPLAP00000000076	ENSPLAG00000023946	Poecilia_latipinna
ENSECRP00000012594	ENSECRG00000008395	Erpetoichthys_calabaricus
ENSRNOP00000019184	ENSRNOG00000014050	Rattus_norvegicus
ENSOGAP00000009872	ENSOGAG00000011029	Otolemur_garnettii
ENSSLDP00000032279	ENSSLDG00000024794	Seriola_lalandi_dorsalis
ENSMAUP00000019412	ENSMAUG00000017701	Mesocricetus_auratus
ENSAOWP00000017073	ENSAOWG00000011674	Apteryx_owenii
ENSMGAP00000003848	ENSMGAG00000004087	Meleagris_gallopavo
ENSBIXP00000015806	ENSBIXG00000000429	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDNVP00000010728	ENSDNVG00000007586	Dromaius_novaehollandiae
ENSPNYP00000009272	ENSPNYG00000007045	Pundamilia_nyererei
ENSMMMP00000019308	ENSMMMG00000017074	Marmota_marmota_marmota
MGP_CAROLIEiJ_P0051118	MGP_CAROLIEiJ_G0023433	Mus_caroli_strain_CAROLI_EIJ
ENSCCEP00000001705	ENSCCEG00000001997	Cyanistes_caeruleus	ENSCCET00000002927
ENSONIP00000017548	ENSONIG00000013962	Oreochromis_niloticus
ENSLCOP00000009452	ENSLCOG00000006886	Lepidothrix_coronata
ENSMVIP00005004007	ENSMVIG00005003103	Manacus_vitellinus
ENSORLP00000025582	ENSORLG00000020654	Oryzias_latipes_ASM223467v1
ENSPVIP00000035191	ENSPVIG00000025723	Pogona_vitticeps
ENSGALP00000051084	ENSGALG00000033760	Gallus_gallus
ENSSHAP00000022015	ENSSHAG00000018635	Sarcophilus_harrisii
ENSOARP00000001332	ENSOARG00000001286	Ovis_aries
ENSCATP00000038312	ENSCATG00000041852	Cercocebus_atys
ENSPPYP00000022012	ENSPPYG00000019642	Pongo_abelii
