K11B4.1.1	WBGene00010766	Caenorhabditis_elegans_strain_N2	K11B4.1.1
FBpp0309955	FBgn0025336	Drosophila_melanogaster	FBtr0343290
ENSMVIP00005020100	ENSMVIG00005014222	Manacus_vitellinus
ENSLCOP00000001038	ENSLCOG00000000861	Lepidothrix_coronata
ENSTGUP00000005858	ENSTGUG00000005691	Taeniopygia_guttata	ENSTGUT00000005917
ENSLSDP00000019984	ENSLSDG00000014180	Lonchura_striata_domestica
ENSSCAP00000005327	ENSSCAG00000004269	Serinus_canaria	ENSSCAT00000006120
ENSZALP00000020628	ENSZALG00000016209	Zonotrichia_albicollis	ENSZALT00000026962
ENSFALP00000010748	ENSFALG00000010306	Ficedula_albicollis	ENSFALT00000010791
ENSCCEP00000017671	ENSCCEG00000016312	Cyanistes_caeruleus	ENSCCET00000027179
ENSPMJP00000021802	ENSPMJG00000016185	Parus_major	ENSPMJT00000028376
ENSMUNP00000021033	ENSMUNG00000015941	Melopsittacus_undulatus
ENSCPGP00000008198	ENSCPGG00000005843	Calidris_pygmaea
ENSCPUP00000016584	ENSCPUG00000011462	Calidris_pugnax
ENSABRP00000000544	ENSABRG00000000622	Anser_brachyrhynchus
ENSAPLP00000010345	ENSAPLG00000010577	Anas_platyrhynchos_platyrhynchos
ENSGALP00000024148	ENSGALG00000015002	Gallus_gallus
ENSMGAP00000003983	ENSMGAG00000004213	Meleagris_gallopavo
ENSCJPP00005001980	ENSCJPG00005002094	Coturnix_japonica
ENSNMEP00000009906	ENSNMEG00000009472	Numida_meleagris
ENSAHAP00000016823	ENSAHAG00000011975	Apteryx_haastii
ENSAOWP00000012333	ENSAOWG00000008434	Apteryx_owenii
ENSARWP00000021322	ENSARWG00000014581	Apteryx_rowi
ENSDNVP00000026109	ENSDNVG00000018160	Dromaius_novaehollandiae
ENSNPEP00000021454	ENSNPEG00000015912	Nothoprocta_perdicaria
ENSCPRP00005001286	ENSCPRG00005000984	Crocodylus_porosus
ENSCABP00000020181	ENSCABG00000014894	Chelonoidis_abingdonii
ENSGAGP00000021749	ENSGAGG00000015958	Gopherus_agassizii
ENSCPBP00000000194	ENSCPBG00000000195	Chrysemys_picta_bellii
ENSPSIP00000016395	ENSPSIG00000014565	Pelodiscus_sinensis
ENSSPUP00000000181	ENSSPUG00000000182	Sphenodon_punctatus
ENSACAP00000009644	ENSACAG00000009787	Anolis_carolinensis
ENSPVIP00000034720	ENSPVIG00000025338	Pogona_vitticeps
ENSNSUP00000014955	ENSNSUG00000011062	Notechis_scutatus
ENSSMRP00000007889	ENSSMRG00000006317	Salvator_merianae
ENSPTRP00000072052	ENSPTRG00000016967	Pan_troglodytes
ENSPPAP00000030238	ENSPPAG00000038112	Pan_paniscus
ENSP00000426941	ENSG00000113048	Homo_sapiens
ENSGGOP00000026633	ENSGGOG00000010683	Gorilla_gorilla
ENSPPYP00000017372	ENSPPYG00000015542	Pongo_abelii
ENSRBIP00000002799	ENSRBIG00000013185	Rhinopithecus_bieti
ENSRROP00000034006	ENSRROG00000040560	Rhinopithecus_roxellana
ENSCANP00000022202	ENSCANG00000034545	Colobus_angolensis_palliatus
ENSPTEP00000005240	ENSPTEG00000006078	Piliocolobus_tephrosceles
ENSCATP00000021413	ENSCATG00000034419	Cercocebus_atys
ENSMLEP00000008051	ENSMLEG00000028172	Mandrillus_leucophaeus
ENSTGEP00000024912	ENSTGEG00000020112	Theropithecus_gelada
ENSPANP00000037390	ENSPANG00000015368	Papio_anubis
ENSMNEP00000029964	ENSMNEG00000038426	Macaca_nemestrina
ENSMMUP00000023539	ENSMMUG00000017905	Macaca_mulatta
ENSMFAP00000014060	ENSMFAG00000030039	Macaca_fascicularis
ENSCSAP00000011713	ENSCSAG00000015626	Chlorocebus_sabaeus
ENSSBOP00000028019	ENSSBOG00000030386	Saimiri_boliviensis_boliviensis
ENSCCAP00000025579	ENSCCAG00000030550	Cebus_capucinus_imitator
ENSCJAP00000072032	ENSCJAG00000016356	Callithrix_jacchus
ENSANAP00000003103	ENSANAG00000019419	Aotus_nancymaae
ENSTSYP00000000515	ENSTSYG00000000559	Carlito_syrichta
ENSPCOP00000031334	ENSPCOG00000028430	Propithecus_coquereli
ENSPSMP00000028012	ENSPSMG00000019494	Prolemur_simus
ENSMICP00000039343	ENSMICG00000004527	Microcebus_murinus
ENSOGAP00000007511	ENSOGAG00000008385	Otolemur_garnettii
ENSDORP00000026023	ENSDORG00000028069	Dipodomys_ordii
ENSCCNP00000029716	ENSCCNG00000028462	Castor_canadensis
ENSCGRP00001015700	ENSCGRG00001016241	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007277	ENSCGRG00000005290	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010773	ENSCGRG00015008306	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004409	ENSMAUG00000005620	Mesocricetus_auratus
ENSPEMP00000028098	ENSPEMG00000023724	Peromyscus_maniculatus_bairdii
ENSMOCP00000015736	ENSMOCG00000014839	Microtus_ochrogaster
