ENSCINP00000034704	ENSCING00000023950	Ciona_intestinalis	ENSCINT00000034505
ENSCINP00000008952	ENSCING00000004327	Ciona_intestinalis	ENSCINT00000008952
ENSSFOP00015033970	ENSSFOG00015021662	Scleropages_formosus
ENSPKIP00000004013	ENSPKIG00000021278	Paramormyrops_kingsleyae
ENSDCDP00000021864	ENSDCDG00000016913	Denticeps_clupeoides
ENSCHAP00000006059	ENSCHAG00000003726	Clupea_harengus
ENSAMXP00000015781	ENSAMXG00000015332	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005005897	ENSAMXG00005003510	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019916	ENSPNAG00000026667	Pygocentrus_nattereri
ENSIPUP00000028508	ENSIPUG00000019314	Ictalurus_punctatus
ENSEEEP00000043257	ENSEEEG00000020405	Electrophorus_electricus
ENSDARP00000138035	ENSDARG00000101145	Danio_rerio
ENSTRUP00000054472	ENSTRUG00000001464	Takifugu_rubripes
ENSTNIP00000011023	ENSTNIG00000008197	Tetraodon_nigroviridis
ENSGACP00000004226	ENSGACG00000003234	Gasterosteus_aculeatus
ENSCGOP00000020440	ENSCGOG00000009887	Cottoperca_gobio
ENSLBEP00000005051	ENSLBEG00000003861	Labrus_bergylta
ENSLCRP00005029216	ENSLCRG00005011580	Larimichthys_crocea
ENSMMOP00000020236	ENSMMOG00000015382	Mola_mola
ENSSMAP00000013151	ENSSMAG00000006840	Scophthalmus_maximus
ENSCSEP00000018150	ENSCSEG00000011642	Cynoglossus_semilaevis
ENSLCAP00010000142	ENSLCAG00010000098	Lates_calcarifer
ENSSDUP00000001469	ENSSDUG00000001176	Seriola_dumerili
ENSSLDP00000000779	ENSSLDG00000000671	Seriola_lalandi_dorsalis
ENSMALP00000019987	ENSMALG00000013948	Monopterus_albus
ENSMAMP00000007601	ENSMAMG00000005171	Mastacembelus_armatus
ENSATEP00000027285	ENSATEG00000018849	Anabas_testudineus
ENSBSLP00000051682	ENSBSLG00000024422	Betta_splendens
ENSAOCP00000005930	ENSAOCG00000000621	Amphiprion_ocellaris
ENSAPEP00000013177	ENSAPEG00000009335	Amphiprion_percula
ENSAPOP00000029283	ENSAPOG00000015118	Acanthochromis_polyacanthus
ENSSPAP00000005355	ENSSPAG00000004129	Stegastes_partitus
ENSPRNP00000022318	ENSPRNG00000011446	Parambassis_ranga
ENSFHEP00000024952	ENSFHEG00000006852	Fundulus_heteroclitus
ENSCVAP00000012520	ENSCVAG00000014958	Cyprinodon_variegatus
ENSPFOP00000002882	ENSPFOG00000002866	Poecilia_formosa
ENSPLAP00000005850	ENSPLAG00000007887	Poecilia_latipinna
ENSPMEP00000009976	ENSPMEG00000011894	Poecilia_mexicana
ENSPREP00000021641	ENSPREG00000014618	Poecilia_reticulata
ENSXCOP00000025592	ENSXCOG00000019119	Xiphophorus_couchianus
ENSXMAP00000039740	ENSXMAG00000006757	Xiphophorus_maculatus
ENSGAFP00000015344	ENSGAFG00000010366	Gambusia_affinis
ENSKMAP00000014875	ENSKMAG00000011016	Kryptolebias_marmoratus
ENSORLP00000016978	ENSORLG00000013545	Oryzias_latipes_ASM223467v1
ENSORLP00020001155	ENSORLG00020002186	Oryzias_latipes_ASM223471v1
ENSORLP00015005364	ENSORLG00015006792	Oryzias_latipes_ASM223469v1
ENSOMEP00000031789	ENSOMEG00000016856	Oryzias_melastigma
ENSMZEP00005004393	ENSMZEG00005003398	Maylandia_zebra
ENSHBUP00000015640	ENSHBUG00000017564	Haplochromis_burtoni
ENSACLP00000040340	ENSACLG00000026632	Astatotilapia_calliptera
ENSPNYP00000020196	ENSPNYG00000015260	Pundamilia_nyererei
ENSNBRP00000020292	ENSNBRG00000015598	Neolamprologus_brichardi
ENSONIP00000014383	ENSONIG00000011429	Oreochromis_niloticus
ENSACIP00000014403	ENSACIG00000011198	Amphilophus_citrinellus
ENSPMGP00000023085	ENSPMGG00000018684	Periophthalmus_magnuspinnatus
ENSGWIP00000004740	ENSGWIG00000002506	Gouania_willdenowi
ENSHCOP00000009053	ENSHCOG00000011444	Hippocampus_comes
ENSGMOP00000020361	ENSGMOG00000018939	Gadus_morhua
ENSHHUP00000070933	ENSHHUG00000041387	Hucho_hucho
ENSHHUP00000035612	ENSHHUG00000022417	Hucho_hucho
ENSELUP00000039380	ENSELUG00000019974	Esox_lucius
ENSDCDP00000044662	ENSDCDG00000028235	Denticeps_clupeoides
ENSCHAP00000022630	ENSCHAG00000010782	Clupea_harengus
ENSEEEP00000013397	ENSEEEG00000006653	Electrophorus_electricus
ENSIPUP00000012458	ENSIPUG00000008463	Ictalurus_punctatus
ENSAMXP00005034504	ENSAMXG00005016342	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000009847	ENSAMXG00000009583	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000024252	ENSPNAG00000008761	Pygocentrus_nattereri
ENSDARP00000119692	ENSDARG00000063037	Danio_rerio
ENSAPEP00000030014	ENSAPEG00000021242	Amphiprion_percula
ENSAPEP00000029023	ENSAPEG00000020612	Amphiprion_percula
ENSAOCP00000031048	ENSAOCG00000022487	Amphiprion_ocellaris
ENSSPAP00000012953	ENSSPAG00000009808	Stegastes_partitus
ENSGWIP00000047331	ENSGWIG00000023287	Gouania_willdenowi
ENSTRUP00000031737	ENSTRUG00000012533	Takifugu_rubripes
ENSTNIP00000006150	ENSTNIG00000003561	Tetraodon_nigroviridis
ENSLCAP00010036920	ENSLCAG00010017282	Lates_calcarifer
ENSSMAP00000002961	ENSSMAG00000001823	Scophthalmus_maximus
ENSSLDP00000008914	ENSSLDG00000007051	Seriola_lalandi_dorsalis
ENSSDUP00000010896	ENSSDUG00000007955	Seriola_dumerili
ENSPNYP00000005219	ENSPNYG00000004041	Pundamilia_nyererei
ENSHBUP00000015150	ENSHBUG00000017062	Haplochromis_burtoni
ENSACLP00000004851	ENSACLG00000003226	Astatotilapia_calliptera
ENSMZEP00005035143	ENSMZEG00005026267	Maylandia_zebra
ENSONIP00000017298	ENSONIG00000013751	Oreochromis_niloticus
ENSNBRP00000019623	ENSNBRG00000015105	Neolamprologus_brichardi
ENSACIP00000023662	ENSACIG00000018375	Amphilophus_citrinellus
ENSPRNP00000017490	ENSPRNG00000009255	Parambassis_ranga
ENSMAMP00000008266	ENSMAMG00000005609	Mastacembelus_armatus
ENSMALP00000019917	ENSMALG00000013894	Monopterus_albus
ENSATEP00000007719	ENSATEG00000005377	Anabas_testudineus
ENSBSLP00000005154	ENSBSLG00000002826	Betta_splendens
ENSGACP00000003188	ENSGACG00000002442	Gasterosteus_aculeatus
ENSMMOP00000018067	ENSMMOG00000013696	Mola_mola
ENSLBEP00000021930	ENSLBEG00000016855	Labrus_bergylta
ENSLCRP00005051638	ENSLCRG00005019433	Larimichthys_crocea
ENSCGOP00000043875	ENSCGOG00000019709	Cottoperca_gobio
ENSCSEP00000015344	ENSCSEG00000009857	Cynoglossus_semilaevis
ENSHCOP00000009579	ENSHCOG00000012168	Hippocampus_comes
ENSPFOP00000005972	ENSPFOG00000005863	Poecilia_formosa
ENSPLAP00000013975	ENSPLAG00000017573	Poecilia_latipinna
ENSPMEP00000034433	ENSPMEG00000023671	Poecilia_mexicana
ENSPREP00000013233	ENSPREG00000008976	Poecilia_reticulata
ENSXMAP00000007254	ENSXMAG00000007235	Xiphophorus_maculatus
ENSXCOP00000001729	ENSXCOG00000001396	Xiphophorus_couchianus
ENSGAFP00000023509	ENSGAFG00000015877	Gambusia_affinis
ENSFHEP00000013948	ENSFHEG00000015520	Fundulus_heteroclitus
ENSORLP00020030796	ENSORLG00020015466	Oryzias_latipes_ASM223471v1
ENSORLP00000011489	ENSORLG00000009156	Oryzias_latipes_ASM223467v1
ENSORLP00015025543	ENSORLG00015006720	Oryzias_latipes_ASM223469v1
ENSOMEP00000020409	ENSOMEG00000000584	Oryzias_melastigma
ENSPMGP00000016272	ENSPMGG00000013351	Periophthalmus_magnuspinnatus
ENSGMOP00000013935	ENSGMOG00000013020	Gadus_morhua
ENSHHUP00000020220	ENSHHUG00000012619	Hucho_hucho
ENSHHUP00000047619	ENSHHUG00000028897	Hucho_hucho
