ENSVURP00010032064	ENSVURG00010024472	Vombatus_ursinus
ENSPCIP00000032258	ENSPCIG00000023946	Phascolarctos_cinereus
ENSMEUP00000009170	ENSMEUG00000010036	Notamacropus_eugenii
ENSSHAP00000014713	ENSSHAG00000012560	Sarcophilus_harrisii
ENSMODP00000017236	ENSMODG00000013784	Monodelphis_domestica
ENSP00000364449	ENSG00000160584	Homo_sapiens
ENSGGOP00000048067	ENSGGOG00000011085	Gorilla_gorilla
ENSPPAP00000026121	ENSPPAG00000036163	Pan_paniscus
ENSPTRP00000073965	ENSPTRG00000045188	Pan_troglodytes
ENSPTRP00000047628	ENSPTRG00000004317	Pan_troglodytes
ENSPPYP00000024666	ENSPPYG00000003905	Pongo_abelii
ENSNLEP00000008948	ENSNLEG00000007336	Nomascus_leucogenys
ENSPANP00000032500	ENSPANG00000019733	Papio_anubis
ENSTGEP00000026773	ENSTGEG00000021550	Theropithecus_gelada
ENSCATP00000016113	ENSCATG00000031902	Cercocebus_atys
ENSMLEP00000031665	ENSMLEG00000040004	Mandrillus_leucophaeus
ENSMFAP00000041292	ENSMFAG00000041223	Macaca_fascicularis
ENSMNEP00000026873	ENSMNEG00000036838	Macaca_nemestrina
ENSMMUP00000043580	ENSMMUG00000016128	Macaca_mulatta
ENSCSAP00000015344	ENSCSAG00000002703	Chlorocebus_sabaeus
ENSRROP00000033494	ENSRROG00000040320	Rhinopithecus_roxellana
ENSRBIP00000008893	ENSRBIG00000028314	Rhinopithecus_bieti
ENSCANP00000039637	ENSCANG00000043480	Colobus_angolensis_palliatus
ENSPTEP00000022331	ENSPTEG00000023281	Piliocolobus_tephrosceles
ENSCCAP00000036415	ENSCCAG00000036119	Cebus_capucinus_imitator
ENSCCAP00000014272	ENSCCAG00000024918	Cebus_capucinus_imitator
ENSCJAP00000023203	ENSCJAG00000012659	Callithrix_jacchus
ENSSBOP00000035509	ENSSBOG00000033875	Saimiri_boliviensis_boliviensis
ENSANAP00000040959	ENSANAG00000037756	Aotus_nancymaae
ENSTSYP00000022627	ENSTSYG00000005890	Carlito_syrichta
ENSPCOP00000012142	ENSPCOG00000017615	Propithecus_coquereli
ENSMICP00000025522	ENSMICG00000002343	Microcebus_murinus
ENSPSMP00000000513	ENSPSMG00000000370	Prolemur_simus
ENSOGAP00000016369	ENSOGAG00000026497	Otolemur_garnettii
ENSHGLP00000026557	ENSHGLG00000018892	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021382	ENSHGLG00100015745	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011116	ENSFDAG00000018745	Fukomys_damarensis
ENSCLAP00000020924	ENSCLAG00000014337	Chinchilla_lanigera
ENSODEP00000011775	ENSODEG00000008742	Octodon_degus
ENSCPOP00000021512	ENSCPOG00000014448	Cavia_porcellus
ENSCAPP00000004836	ENSCAPG00000007255	Cavia_aperea
ENSUPAP00010007120	ENSUPAG00010005710	Urocitellus_parryii
ENSSDAP00000014863	ENSSDAG00000013374	Spermophilus_dauricus
ENSMMMP00000026215	ENSMMMG00000022956	Marmota_marmota_marmota
ENSSTOP00000002089	ENSSTOG00000002330	Ictidomys_tridecemlineatus
ENSCCNP00000017940	ENSCCNG00000018220	Castor_canadensis
ENSDORP00000024499	ENSDORG00000015104	Dipodomys_ordii
ENSPEMP00000004201	ENSPEMG00000006295	Peromyscus_maniculatus_bairdii
ENSMOCP00000015377	ENSMOCG00000014581	Microtus_ochrogaster
ENSCGRP00001003074	ENSCGRG00001003605	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025184	ENSCGRG00015019040	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011279	ENSCGRG00000008208	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000013830	ENSMAUG00000013720	Mesocricetus_auratus
ENSMUSP00000121032	ENSMUSG00000034135	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000012744	ENSMSIG00000011054	Mus_spicilegus
MGP_SPRETEiJ_P0091274	MGP_SPRETEiJ_G0033293	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087681	MGP_CAROLIEiJ_G0032154	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023336	MGP_PahariEiJ_G0015024	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067534	ENSRNOG00000045931	Rattus_norvegicus
ENSMUGP00000015783	ENSMUGG00000013564	Meriones_unguiculatus
ENSNGAP00000005112	ENSNGAG00000007065	Nannospalax_galili
ENSJJAP00000017684	ENSJJAG00000019134	Jaculus_jaculus
ENSOCUP00000009679	ENSOCUG00000011238	Oryctolagus_cuniculus
ENSOPRP00000014875	ENSOPRG00000016276	Ochotona_princeps
ENSTBEP00000007900	ENSTBEG00000009100	Tupaia_belangeri
ENSPVAP00000016821	ENSPVAG00000017832	Pteropus_vampyrus
ENSMLUP00000002946	ENSMLUG00000003237	Myotis_lucifugus
ENSUMAP00000004484	ENSUMAG00000003189	Ursus_maritimus
ENSUAMP00000025571	ENSUAMG00000019837	Ursus_americanus
ENSAMEP00000009107	ENSAMEG00000008635	Ailuropoda_melanoleuca
ENSNVIP00000007855	ENSNVIG00000006181	Neovison_vison
ENSMPUP00000004191	ENSMPUG00000004225	Mustela_putorius_furo
ENSCAFP00020002659	ENSCAFG00020001944	Canis_lupus_dingo
ENSCAFP00000019557	ENSCAFG00000013258	Canis_lupus_familiaris
ENSVVUP00000034973	ENSVVUG00000025160	Vulpes_vulpes
ENSPPRP00000004754	ENSPPRG00000000778	Panthera_pardus
ENSPTIP00000026581	ENSPTIG00000021951	Panthera_tigris_altaica
ENSFCAP00000037714	ENSFCAG00000008202	Felis_catus
ENSSSCP00000071135	ENSSSCG00000015071	Sus_scrofa_strain_reference
ENSEASP00005009157	ENSEASG00005006529	Equus_asinus_asinus
ENSECAP00000038142	ENSECAG00000010252	Equus_caballus
ENSBBBP00000016299	ENSBBBG00000006365	Bison_bison_bison
ENSBMUP00000018881	ENSBMUG00000013963	Bos_mutus
ENSBIXP00000004081	ENSBIXG00000000593	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020959	ENSBIXG00005024000	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000020116	ENSBTAG00000015119	Bos_taurus
ENSOARP00000003360	ENSOARG00000003139	Ovis_aries
ENSCHIP00000021595	ENSCHIG00000019818	Capra_hircus
ENSTTRP00000010998	ENSTTRG00000011599	Tursiops_truncatus
ENSVPAP00000003887	ENSVPAG00000004182	Vicugna_pacos
ENSEEUP00000002241	ENSEEUG00000002444	Erinaceus_europaeus
ENSCHOP00000009406	ENSCHOG00000010624	Choloepus_hoffmanni
