ENSAHAP00000007388	ENSAHAG00000005548	Apteryx_haastii	ENSAHAT00000008234
ENSAOWP00000020307	ENSAOWG00000013748	Apteryx_owenii	ENSAOWT00000023015
ENSARWP00000016553	ENSARWG00000011393	Apteryx_rowi	ENSARWT00000018848
ENSDNVP00000000247	ENSDNVG00000000182	Dromaius_novaehollandiae
ENSNPEP00000001790	ENSNPEG00000001390	Nothoprocta_perdicaria
ENSMVIP00005009624	ENSMVIG00005007081	Manacus_vitellinus
ENSLCOP00000004850	ENSLCOG00000003667	Lepidothrix_coronata
ENSPMJP00000016374	ENSPMJG00000012366	Parus_major
ENSCCEP00000006714	ENSCCEG00000007159	Cyanistes_caeruleus
ENSFALP00000013561	ENSFALG00000012976	Ficedula_albicollis
ENSTGUP00000010557	ENSTGUG00000010227	Taeniopygia_guttata
ENSLSDP00000007414	ENSLSDG00000005559	Lonchura_striata_domestica
ENSSCAP00000009967	ENSSCAG00000007598	Serinus_canaria
ENSJHYP00000013031	ENSJHYG00000010122	Junco_hyemalis
ENSZALP00000005632	ENSZALG00000005230	Zonotrichia_albicollis
ENSCPGP00000020391	ENSCPGG00000014271	Calidris_pygmaea
ENSCPUP00000022242	ENSCPUG00000015101	Calidris_pugnax
ENSMUNP00000015935	ENSMUNG00000012276	Melopsittacus_undulatus
ENSABRP00000020988	ENSABRG00000017842	Anser_brachyrhynchus
ENSAPLP00000015205	ENSAPLG00000015331	Anas_platyrhynchos_platyrhynchos
ENSGALP00000018342	ENSGALG00000011255	Gallus_gallus
ENSMGAP00000012609	ENSMGAG00000012008	Meleagris_gallopavo
ENSCJPP00005017863	ENSCJPG00005014518	Coturnix_japonica
ENSNMEP00000011615	ENSNMEG00000010921	Numida_meleagris
ENSCPRP00005016791	ENSCPRG00005011710	Crocodylus_porosus
ENSGAGP00000034879	ENSGAGG00000024789	Gopherus_agassizii
ENSCABP00000003376	ENSCABG00000002578	Chelonoidis_abingdonii
ENSCPBP00000001886	ENSCPBG00000001531	Chrysemys_picta_bellii
ENSPSIP00000005454	ENSPSIG00000005086	Pelodiscus_sinensis
ENSACAP00000011378	ENSACAG00000011610	Anolis_carolinensis
ENSNSUP00000004476	ENSNSUG00000003568	Notechis_scutatus
ENSSMRP00000025871	ENSSMRG00000019975	Salvator_merianae
ENSSPUP00000003209	ENSSPUG00000002472	Sphenodon_punctatus
ENSPCIP00000048263	ENSPCIG00000021951	Phascolarctos_cinereus
ENSVURP00010017425	ENSVURG00010013301	Vombatus_ursinus
ENSSHAP00000019966	ENSSHAG00000016940	Sarcophilus_harrisii
ENSMODP00000058870	ENSMODG00000000721	Monodelphis_domestica
ENSXETP00000049554	ENSXETG00000018623	Xenopus_tropicalis
ENSLACP00000003160	ENSLACG00000002826	Latimeria_chalumnae
ENSDCDP00000007648	ENSDCDG00000003959	Denticeps_clupeoides
ENSCHAP00000021608	ENSCHAG00000010738	Clupea_harengus
ENSAMXP00005002136	ENSAMXG00005001151	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019145	ENSAMXG00000018594	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005038063	ENSAMXG00005018057	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000010934	ENSPNAG00000016655	Pygocentrus_nattereri
ENSPNAP00000011058	ENSPNAG00000016691	Pygocentrus_nattereri
ENSEEEP00000013198	ENSEEEG00000006614	Electrophorus_electricus
ENSIPUP00000002692	ENSIPUG00000001908	Ictalurus_punctatus
ENSDARP00000071058	ENSDARG00000054400	Danio_rerio
ENSHHUP00000004912	ENSHHUG00000003048	Hucho_hucho
ENSELUP00000033846	ENSELUG00000001601	Esox_lucius
ENSFHEP00000008557	ENSFHEG00000009745	Fundulus_heteroclitus
ENSCVAP00000029584	ENSCVAG00000017509	Cyprinodon_variegatus
ENSXCOP00000010777	ENSXCOG00000008132	Xiphophorus_couchianus
ENSXMAP00000000716	ENSXMAG00000000716	Xiphophorus_maculatus
ENSGAFP00000016527	ENSGAFG00000011138	Gambusia_affinis
ENSPMEP00000024602	ENSPMEG00000007047	Poecilia_mexicana
ENSPFOP00000006990	ENSPFOG00000006928	Poecilia_formosa
ENSPLAP00000031104	ENSPLAG00000022831	Poecilia_latipinna
ENSPREP00000033644	ENSPREG00000022798	Poecilia_reticulata
ENSKMAP00000009755	ENSKMAG00000007331	Kryptolebias_marmoratus
ENSORLP00020003995	ENSORLG00020004825	Oryzias_latipes_ASM223471v1
ENSORLP00000015102	ENSORLG00000012062	Oryzias_latipes_ASM223467v1
ENSORLP00015002271	ENSORLG00015002928	Oryzias_latipes_ASM223469v1
ENSOMEP00000011052	ENSOMEG00000012358	Oryzias_melastigma
ENSMZEP00005037582	ENSMZEG00005028032	Maylandia_zebra
ENSACLP00000037730	ENSACLG00000025517	Astatotilapia_calliptera
ENSHBUP00000015027	ENSHBUG00000016950	Haplochromis_burtoni
ENSPNYP00000014857	ENSPNYG00000011270	Pundamilia_nyererei
ENSNBRP00000028109	ENSNBRG00000021401	Neolamprologus_brichardi
ENSONIP00000004742	ENSONIG00000003770	Oreochromis_niloticus
ENSACIP00000030285	ENSACIG00000023426	Amphilophus_citrinellus
ENSAOCP00000004919	ENSAOCG00000000487	Amphiprion_ocellaris
ENSAPEP00000021910	ENSAPEG00000015606	Amphiprion_percula
ENSAPOP00000030566	ENSAPOG00000017317	Acanthochromis_polyacanthus
ENSSPAP00000029657	ENSSPAG00000022290	Stegastes_partitus
ENSPRNP00000030597	ENSPRNG00000015040	Parambassis_ranga
ENSGWIP00000007627	ENSGWIG00000003862	Gouania_willdenowi
ENSLCRP00005021810	ENSLCRG00005008831	Larimichthys_crocea
ENSLBEP00000005732	ENSLBEG00000004415	Labrus_bergylta
ENSCGOP00000001941	ENSCGOG00000001067	Cottoperca_gobio
ENSGACP00000007859	ENSGACG00000005939	Gasterosteus_aculeatus
ENSTRUP00000014308	ENSTRUG00000005872	Takifugu_rubripes
ENSTNIP00000015293	ENSTNIG00000012325	Tetraodon_nigroviridis
ENSMMOP00000001779	ENSMMOG00000001496	Mola_mola
