ENSAHAP00000007395	ENSAHAG00000005558	Apteryx_haastii
ENSFALP00000003595	ENSFALG00000003455	Ficedula_albicollis
ENSSMRP00000015966	ENSSMRG00000012417	Salvator_merianae
ENSACAP00000016389	ENSACAG00000016672	Anolis_carolinensis
ENSNPEP00000016389	ENSNPEG00000012213	Nothoprocta_perdicaria
ENSFCAP00000049872	ENSFCAG00000015465	Felis_catus
ENSBTAP00000017329	ENSBTAG00000013035	Bos_taurus
ENSCPGP00000018333	ENSCPGG00000012830	Calidris_pygmaea
ENSCCEP00000002940	ENSCCEG00000003281	Cyanistes_caeruleus
ENSAOWP00000019557	ENSAOWG00000013280	Apteryx_owenii
ENSNSUP00000026631	ENSNSUG00000019108	Notechis_scutatus
ENSPVIP00000010658	ENSPVIG00000008442	Pogona_vitticeps
ENSEEUP00000013608	ENSEEUG00000014915	Erinaceus_europaeus
ENSSARP00000007954	ENSSARG00000008792	Sorex_araneus
ENSCHIP00000017875	ENSCHIG00000017541	Capra_hircus
ENSOARP00000022708	ENSOARG00000021128	Ovis_aries
ENSBIXP00005003411	ENSBIXG00005009549	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040278	ENSBIXG00000024281	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000033846	ENSBMUG00000025224	Bos_mutus
ENSBBBP00000012904	ENSBBBG00000020562	Bison_bison_bison
ENSDNOP00000004066	ENSDNOG00000005251	Dasypus_novemcinctus
ENSCHOP00000007114	ENSCHOG00000008045	Choloepus_hoffmanni
ENSUMAP00000018742	ENSUMAG00000013764	Ursus_maritimus
ENSUAMP00000033937	ENSUAMG00000025862	Ursus_americanus
ENSAMEP00000003108	ENSAMEG00000002957	Ailuropoda_melanoleuca
ENSMPUP00000006350	ENSMPUG00000006406	Mustela_putorius_furo
ENSNVIP00000008073	ENSNVIG00000006422	Neovison_vison
ENSPPRP00000018436	ENSPPRG00000010088	Panthera_pardus
ENSECAP00000020213	ENSECAG00000022806	Equus_caballus
ENSEASP00005023740	ENSEASG00005016137	Equus_asinus_asinus
ENSCAFP00000022960	ENSCAFG00000015619	Canis_lupus_familiaris
ENSCAFP00020009955	ENSCAFG00020008085	Canis_lupus_dingo
ENSVVUP00000041420	ENSVVUG00000029480	Vulpes_vulpes
ENSSSCP00000005466	ENSSSCG00000005086	Sus_scrofa_strain_reference
