ENSORLP00020019082	ENSORLG00020020076	Oryzias_latipes_ASM223471v1
ENSORLP00000005099	ENSORLG00000004073	Oryzias_latipes_ASM223467v1
ENSORLP00015014992	ENSORLG00015015899	Oryzias_latipes_ASM223469v1
ENSOMEP00000019981	ENSOMEG00000021808	Oryzias_melastigma
ENSGWIP00000045983	ENSGWIG00000022727	Gouania_willdenowi
ENSAOCP00000011920	ENSAOCG00000016292	Amphiprion_ocellaris
ENSAPEP00000005793	ENSAPEG00000004167	Amphiprion_percula
ENSAPOP00000031165	ENSAPOG00000018213	Acanthochromis_polyacanthus
ENSSPAP00000009517	ENSSPAG00000007253	Stegastes_partitus
ENSPNYP00000023676	ENSPNYG00000017900	Pundamilia_nyererei
ENSHBUP00000030186	ENSHBUG00000015074	Haplochromis_burtoni
ENSMZEP00005019106	ENSMZEG00005014338	Maylandia_zebra
ENSACLP00000022848	ENSACLG00000015515	Astatotilapia_calliptera
ENSNBRP00000026852	ENSNBRG00000020491	Neolamprologus_brichardi
ENSONIP00000005129	ENSONIG00000004070	Oreochromis_niloticus
ENSACIP00000014270	ENSACIG00000011100	Amphilophus_citrinellus
ENSPRNP00000009236	ENSPRNG00000005430	Parambassis_ranga
ENSPFOP00000014414	ENSPFOG00000014384	Poecilia_formosa
ENSPMEP00000029681	ENSPMEG00000015622	Poecilia_mexicana
ENSPLAP00000008950	ENSPLAG00000011632	Poecilia_latipinna
ENSPREP00000008103	ENSPREG00000005541	Poecilia_reticulata
ENSXCOP00000017925	ENSXCOG00000013508	Xiphophorus_couchianus
ENSXMAP00000032690	ENSXMAG00000017144	Xiphophorus_maculatus
ENSGAFP00000018270	ENSGAFG00000012363	Gambusia_affinis
ENSFHEP00000020523	ENSFHEG00000022445	Fundulus_heteroclitus
ENSKMAP00000012480	ENSKMAG00000009380	Kryptolebias_marmoratus
ENSTRUP00000037805	ENSTRUG00000014797	Takifugu_rubripes
ENSTNIP00000017827	ENSTNIG00000014789	Tetraodon_nigroviridis
ENSMMOP00000014098	ENSMMOG00000010792	Mola_mola
ENSLCRP00005056151	ENSLCRG00005020920	Larimichthys_crocea
ENSLBEP00000032204	ENSLBEG00000024299	Labrus_bergylta
ENSCGOP00000000762	ENSCGOG00000000493	Cottoperca_gobio
ENSGACP00000009907	ENSGACG00000007465	Gasterosteus_aculeatus
ENSMALP00000005055	ENSMALG00000003649	Monopterus_albus
ENSMAMP00000022814	ENSMAMG00000015360	Mastacembelus_armatus
ENSATEP00000036311	ENSATEG00000024949	Anabas_testudineus
ENSBSLP00000045961	ENSBSLG00000021952	Betta_splendens
ENSSMAP00000024454	ENSSMAG00000014952	Scophthalmus_maximus
ENSCSEP00000033778	ENSCSEG00000021672	Cynoglossus_semilaevis
ENSSDUP00000020536	ENSSDUG00000014942	Seriola_dumerili
ENSSLDP00000005057	ENSSLDG00000004026	Seriola_lalandi_dorsalis
ENSLCAP00010051805	ENSLCAG00010024122	Lates_calcarifer
ENSPMGP00000016322	ENSPMGG00000013403	Periophthalmus_magnuspinnatus
ENSHCOP00000016623	ENSHCOG00000020372	Hippocampus_comes
ENSHHUP00000070083	ENSHHUG00000041240	Hucho_hucho
ENSHHUP00000057533	ENSHHUG00000034285	Hucho_hucho
ENSELUP00000042378	ENSELUG00000023608	Esox_lucius
ENSAMXP00000045164	ENSAMXG00000033753	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000047265
ENSAMXP00005005886	ENSAMXG00005003539	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000028113	ENSPNAG00000002896	Pygocentrus_nattereri
ENSIPUP00000005601	ENSIPUG00000003894	Ictalurus_punctatus
ENSEEEP00000049780	ENSEEEG00000023400	Electrophorus_electricus
ENSDARP00000104953	ENSDARG00000070165	Danio_rerio
ENSCHAP00000012253	ENSCHAG00000006847	Clupea_harengus
ENSSFOP00015011871	ENSSFOG00015007684	Scleropages_formosus
ENSPKIP00000033630	ENSPKIG00000013275	Paramormyrops_kingsleyae
ENSPKIP00000031789	ENSPKIG00000012130	Paramormyrops_kingsleyae
ENSSFOP00015017745	ENSSFOG00015011399	Scleropages_formosus
ENSLOCP00000005122	ENSLOCG00000004286	Lepisosteus_oculatus
