ENSPSMP00000034290	ENSPSMG00000023634	Prolemur_simus
ENSOGAP00000020785	ENSOGAG00000027212	Otolemur_garnettii
ENSP00000308354	ENSG00000173825	Homo_sapiens
ENSGGOP00000014404	ENSGGOG00000014762	Gorilla_gorilla
ENSPTRP00000006676	ENSPTRG00000003873	Pan_troglodytes
ENSPPAP00000000422	ENSPPAG00000001675	Pan_paniscus
ENSPPYP00000003550	ENSPPYG00000003068	Pongo_abelii
ENSCANP00000003184	ENSCANG00000011603	Colobus_angolensis_palliatus
ENSPTEP00000023423	ENSPTEG00000024133	Piliocolobus_tephrosceles
ENSRBIP00000012592	ENSRBIG00000030267	Rhinopithecus_bieti
ENSRROP00000006113	ENSRROG00000024539	Rhinopithecus_roxellana
ENSMFAP00000012282	ENSMFAG00000023252	Macaca_fascicularis
ENSMNEP00000006861	ENSMNEG00000028001	Macaca_nemestrina
ENSMLEP00000000691	ENSMLEG00000002444	Mandrillus_leucophaeus
ENSCATP00000001084	ENSCATG00000005263	Cercocebus_atys
ENSPANP00000002187	ENSPANG00000006957	Papio_anubis
ENSTGEP00000011432	ENSTGEG00000009327	Theropithecus_gelada
ENSCSAP00000018681	ENSCSAG00000019171	Chlorocebus_sabaeus
ENSCJAP00000040849	ENSCJAG00000022193	Callithrix_jacchus
ENSSBOP00000004833	ENSSBOG00000019092	Saimiri_boliviensis_boliviensis
ENSCCNP00000025492	ENSCCNG00000024854	Castor_canadensis
ENSDORP00000019096	ENSDORG00000029849	Dipodomys_ordii
ENSMSIP00000036407	ENSMSIG00000030313	Mus_spicilegus
MGP_SPRETEiJ_P0049647	MGP_SPRETEiJ_G0023488	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000157880	ENSMUSG00000044390	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0047685	MGP_CAROLIEiJ_G0022574	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020696	MGP_PahariEiJ_G0014071	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035812	ENSRNOG00000023318	Rattus_norvegicus
ENSMUGP00000024666	ENSMUGG00000020610	Meriones_unguiculatus
ENSCGRP00001008007	ENSCGRG00001010362	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025640	ENSCGRG00000018629	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019069	ENSCGRG00015014670	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018390	ENSMAUG00000016982	Mesocricetus_auratus
ENSPEMP00000006830	ENSPEMG00000008948	Peromyscus_maniculatus_bairdii
ENSMOCP00000009985	ENSMOCG00000010179	Microtus_ochrogaster
ENSNGAP00000013960	ENSNGAG00000015391	Nannospalax_galili
ENSJJAP00000006563	ENSJJAG00000011195	Jaculus_jaculus
ENSUPAP00010012200	ENSUPAG00010009889	Urocitellus_parryii
ENSSTOP00000017521	ENSSTOG00000024637	Ictidomys_tridecemlineatus
ENSMMMP00000011263	ENSMMMG00000010038	Marmota_marmota_marmota
ENSCLAP00000024276	ENSCLAG00000016665	Chinchilla_lanigera
ENSODEP00000027016	ENSODEG00000020531	Octodon_degus
ENSHGLP00100027911	ENSHGLG00100021095	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011335	ENSHGLG00000008128	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000554	ENSFDAG00000010778	Fukomys_damarensis
ENSCAPP00000012352	ENSCAPG00000013240	Cavia_aperea
ENSCPOP00000016444	ENSCPOG00000009317	Cavia_porcellus
ENSTBEP00000007672	ENSTBEG00000008871	Tupaia_belangeri
ENSEASP00005026298	ENSEASG00005017947	Equus_asinus_asinus
ENSECAP00000004936	ENSECAG00000006896	Equus_caballus
ENSMLUP00000003545	ENSMLUG00000003893	Myotis_lucifugus
ENSBIXP00000003228	ENSBIXG00000009632	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034679	ENSBIXG00005015667	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000004005	ENSBTAG00000003079	Bos_taurus
ENSBMUP00000002935	ENSBMUG00000002328	Bos_mutus
ENSBBBP00000010997	ENSBBBG00000019013	Bison_bison_bison
ENSCHIP00000002623	ENSCHIG00000006241	Capra_hircus
ENSSSCP00000013818	ENSSSCG00000012994	Sus_scrofa_strain_reference
ENSVPAP00000008480	ENSVPAG00000009110	Vicugna_pacos
ENSSARP00000008480	ENSSARG00000009391	Sorex_araneus
ENSNVIP00000021375	ENSNVIG00000016755	Neovison_vison
ENSMPUP00000019857	ENSMPUG00000019988	Mustela_putorius_furo
ENSUAMP00000000396	ENSUAMG00000000430	Ursus_americanus
ENSCAFP00000020065	ENSCAFG00000013628	Canis_lupus_familiaris
ENSCAFP00020018857	ENSCAFG00020014976	Canis_lupus_dingo
ENSVVUP00000038096	ENSVVUG00000027179	Vulpes_vulpes
ENSFCAP00000025366	ENSFCAG00000025695	Felis_catus
ENSPPRP00000029527	ENSPPRG00000022171	Panthera_pardus
ENSLAFP00000019507	ENSLAFG00000032647	Loxodonta_africana
ENSPCAP00000005422	ENSPCAG00000005889	Procavia_capensis
ENSDNOP00000019456	ENSDNOG00000004634	Dasypus_novemcinctus
ENSPCIP00000039874	ENSPCIG00000029216	Phascolarctos_cinereus
ENSVURP00010002491	ENSVURG00010002040	Vombatus_ursinus
ENSSHAP00000004045	ENSSHAG00000003566	Sarcophilus_harrisii
ENSSMRP00000022185	ENSSMRG00000017246	Salvator_merianae
ENSPVIP00000028505	ENSPVIG00000021111	Pogona_vitticeps
ENSNSUP00000015942	ENSNSUG00000011794	Notechis_scutatus
ENSAHAP00000001350	ENSAHAG00000001164	Apteryx_haastii
ENSARWP00000017753	ENSARWG00000012206	Apteryx_rowi
ENSGALP00000062121	ENSGALG00000043930	Gallus_gallus
ENSCJPP00005009105	ENSCJPG00005008057	Coturnix_japonica
ENSABRP00000011278	ENSABRG00000010115	Anser_brachyrhynchus
ENSCPGP00000026078	ENSCPGG00000017989	Calidris_pygmaea
ENSCPUP00000000472	ENSCPUG00000000410	Calidris_pugnax
ENSLCOP00000016988	ENSLCOG00000012063	Lepidothrix_coronata
ENSMUNP00000004290	ENSMUNG00000003574	Melopsittacus_undulatus
ENSGAGP00000023508	ENSGAGG00000017236	Gopherus_agassizii
ENSCABP00000029238	ENSCABG00000021472	Chelonoidis_abingdonii
ENSCPBP00000033999	ENSCPBG00000023755	Chrysemys_picta_bellii
ENSPSIP00000001893	ENSPSIG00000001900	Pelodiscus_sinensis
ENSLACP00000014573	ENSLACG00000012827	Latimeria_chalumnae
