ENSCPOP00000022217	ENSCPOG00000033419	Cavia_porcellus
ENSPNYP00000019905	ENSPNYG00000015060	Pundamilia_nyererei
ENSUPAP00010030304	ENSUPAG00010023796	Urocitellus_parryii
ENSETEP00000007211	ENSETEG00000008870	Echinops_telfairi
ENSCAFP00020013654	ENSCAFG00020010986	Canis_lupus_dingo
ENSSMRP00000011436	ENSSMRG00000008985	Salvator_merianae
ENSPLAP00000026423	ENSPLAG00000014181	Poecilia_latipinna
ENSMGAP00000000191	ENSMGAG00000000810	Meleagris_gallopavo
ENSLCOP00000006332	ENSLCOG00000004693	Lepidothrix_coronata
ENSGGOP00000012135	ENSGGOG00000012439	Gorilla_gorilla
ENSCPRP00005001122	ENSCPRG00005000857	Crocodylus_porosus
ENSPCOP00000012086	ENSPCOG00000017584	Propithecus_coquereli
ENSNBRP00000005951	ENSNBRG00000004690	Neolamprologus_brichardi
ENSBIXP00000001162	ENSBIXG00000028876	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFHEP00000023333	ENSFHEG00000004285	Fundulus_heteroclitus
ENSFALP00000005471	ENSFALG00000005257	Ficedula_albicollis
ENSCANP00000012542	ENSCANG00000029668	Colobus_angolensis_palliatus
ENSLCAP00010029047	ENSLCAG00010013621	Lates_calcarifer
ENSAMXP00000048494	ENSAMXG00000038020	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCJPP00005005834	ENSCJPG00005005523	Coturnix_japonica
ENSMUSP00000043329	ENSMUSG00000042138	Mus_musculus_strain_reference_(CL57BL6)
ENSCHAP00000037305	ENSCHAG00000017570	Clupea_harengus	ENSCHAT00000040376
ENSSBOP00000018992	ENSSBOG00000026104	Saimiri_boliviensis_boliviensis
ENSCVAP00000027033	ENSCVAG00000013022	Cyprinodon_variegatus
ENSTTRP00000012554	ENSTTRG00000013241	Tursiops_truncatus
ENSMAUP00000009917	ENSMAUG00000010951	Mesocricetus_auratus
