ENSCJAP00000023906	ENSCJAG00000013022	Callithrix_jacchus
MGP_SPRETEiJ_P0052120	MGP_SPRETEiJ_G0024182	Mus_spretus_strain_SPRET/EiJ
ENSPPYP00000022214	ENSPPYG00000019811	Pongo_abelii
ENSCPOP00000018257	ENSCPOG00000019860	Cavia_porcellus
ENSPTRP00000071663	ENSPTRG00000052326	Pan_troglodytes
ENSDORP00000008848	ENSDORG00000009420	Dipodomys_ordii
ENSGGOP00000001756	ENSGGOG00000001782	Gorilla_gorilla
ENSPCAP00000004095	ENSPCAG00000004411	Procavia_capensis
ENSCGRP00001011012	ENSCGRG00001012766	Cricetulus_griseus_CHOK1GS_HDv1
ENSBMUP00000035075	ENSBMUG00000026102	Bos_mutus
MGP_CAROLIEiJ_P0050097	MGP_CAROLIEiJ_G0023264	Mus_caroli_strain_CAROLI_EIJ
ENSCSAP00000012576	ENSCSAG00000016514	Chlorocebus_sabaeus
MGP_PahariEiJ_P0061122	MGP_PahariEiJ_G0024722	Mus_pahari_strain_PAHARI_EIJ
ENSNLEP00000011082	ENSNLEG00000009102	Nomascus_leucogenys
ENSCATP00000031950	ENSCATG00000039079	Cercocebus_atys
ENSPEMP00000007124	ENSPEMG00000009158	Peromyscus_maniculatus_bairdii
ENSMUGP00000007383	ENSMUGG00000006758	Meriones_unguiculatus
ENSPVAP00000002223	ENSPVAG00000002351	Pteropus_vampyrus
ENSNGAP00000003473	ENSNGAG00000003998	Nannospalax_galili
ENSSARP00000001932	ENSSARG00000002135	Sorex_araneus	ENSSART00000002127
ENSEEUP00000000792	ENSEEUG00000000890	Erinaceus_europaeus	ENSEEUT00000000888
ENSEASP00005023934	ENSEASG00005016249	Equus_asinus_asinus
ENSMMUP00000002235	ENSMMUG00000001667	Macaca_mulatta
ENSCCNP00000000276	ENSCCNG00000000335	Castor_canadensis
ENSPANP00000017469	ENSPANG00000026293	Papio_anubis
ENSECAP00000016216	ENSECAG00000018705	Equus_caballus
ENSCHIP00000023356	ENSCHIG00000020970	Capra_hircus
ENSMSIP00000027732	ENSMSIG00000023378	Mus_spicilegus
ENSDNOP00000017081	ENSDNOG00000024196	Dasypus_novemcinctus
ENSBIXP00005024609	ENSBIXG00005027173	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSTOP00000003166	ENSSTOG00000003550	Ictidomys_tridecemlineatus
ENSP00000456333	ENSG00000185863	Homo_sapiens
ENSMICP00000005529	ENSMICG00000006065	Microcebus_murinus
ENSCGRP00000014433	ENSCGRG00000010442	Cricetulus_griseus_CriGri_1.0
ENSPPAP00000022249	ENSPPAG00000034325	Pan_paniscus
ENSOPRP00000006084	ENSOPRG00000006648	Ochotona_princeps
ENSPPRP00000013068	ENSPPRG00000006393	Panthera_pardus
ENSRNOP00000058698	ENSRNOG00000040275	Rattus_norvegicus
ENSRROP00000037423	ENSRROG00000042134	Rhinopithecus_roxellana
ENSPCOP00000001664	ENSPCOG00000005239	Propithecus_coquereli
ENSJJAP00000021976	ENSJJAG00000022174	Jaculus_jaculus
ENSOGAP00000005277	ENSOGAG00000005906	Otolemur_garnettii
ENSTTRP00000001975	ENSTTRG00000002104	Tursiops_truncatus
ENSPTIP00000007587	ENSPTIG00000009185	Panthera_tigris_altaica
ENSMAUP00000015338	ENSMAUG00000014833	Mesocricetus_auratus
ENSANAP00000024321	ENSANAG00000029890	Aotus_nancymaae
ENSCLAP00000007067	ENSCLAG00000004973	Chinchilla_lanigera
ENSCAPP00000003320	ENSCAPG00000006130	Cavia_aperea
ENSUAMP00000027924	ENSUAMG00000021588	Ursus_americanus
ENSTSYP00000017824	ENSTSYG00000033281	Carlito_syrichta
ENSODEP00000019609	ENSODEG00000014471	Octodon_degus
ENSBTAP00000055101	ENSBTAG00000047964	Bos_taurus
ENSMOCP00000026812	ENSMOCG00000022497	Microtus_ochrogaster
ENSAMEP00000017376	ENSAMEG00000016454	Ailuropoda_melanoleuca
ENSMLEP00000033204	ENSMLEG00000040784	Mandrillus_leucophaeus
ENSSDAP00000003420	ENSSDAG00000003244	Spermophilus_dauricus
ENSMUSP00000028340	ENSMUSG00000026963	Mus_musculus_strain_reference_(CL57BL6)
ENSPSMP00000009002	ENSPSMG00000006598	Prolemur_simus
ENSMMMP00000009864	ENSMMMG00000008792	Marmota_marmota_marmota
ENSBIXP00000028330	ENSBIXG00000008014	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVVUP00000041383	ENSVVUG00000029455	Vulpes_vulpes
ENSRBIP00000036588	ENSRBIG00000041900	Rhinopithecus_bieti
ENSMNEP00000003342	ENSMNEG00000015555	Macaca_nemestrina
ENSMFAP00000044854	ENSMFAG00000037356	Macaca_fascicularis
ENSCANP00000028327	ENSCANG00000037596	Colobus_angolensis_palliatus
ENSPTEP00000023038	ENSPTEG00000023850	Piliocolobus_tephrosceles
ENSCCAP00000023751	ENSCCAG00000029675	Cebus_capucinus_imitator
ENSTBEP00000007429	ENSTBEG00000008584	Tupaia_belangeri
ENSSBOP00000019666	ENSSBOG00000026440	Saimiri_boliviensis_boliviensis
ENSUPAP00010007650	ENSUPAG00010006162	Urocitellus_parryii
ENSTGEP00000006173	ENSTGEG00000005055	Theropithecus_gelada
