ENSELUP00000027711	ENSELUG00000004047	Esox_lucius
ENSHHUP00000001453	ENSHHUG00000000896	Hucho_hucho
ENSSDUP00000029264	ENSSDUG00000021078	Seriola_dumerili
ENSSLDP00000017988	ENSSLDG00000014152	Seriola_lalandi_dorsalis
ENSCSEP00000002338	ENSCSEG00000001563	Cynoglossus_semilaevis
ENSTRUP00000029600	ENSTRUG00000011719	Takifugu_rubripes
ENSTNIP00000006500	ENSTNIG00000003894	Tetraodon_nigroviridis
ENSSMAP00000027537	ENSSMAG00000016850	Scophthalmus_maximus
ENSCGOP00000046527	ENSCGOG00000020896	Cottoperca_gobio
ENSGACP00000004180	ENSGACG00000003193	Gasterosteus_aculeatus
ENSLBEP00000035614	ENSLBEG00000026716	Labrus_bergylta
ENSMALP00000029240	ENSMALG00000020213	Monopterus_albus
ENSMAMP00000023491	ENSMAMG00000015709	Mastacembelus_armatus
ENSATEP00000006950	ENSATEG00000004827	Anabas_testudineus
ENSPMEP00000005271	ENSPMEG00000006660	Poecilia_mexicana
ENSPLAP00000026934	ENSPLAG00000015150	Poecilia_latipinna
ENSPFOP00000001228	ENSPFOG00000001096	Poecilia_formosa
ENSPREP00000006474	ENSPREG00000004459	Poecilia_reticulata
ENSXMAP00000010746	ENSXMAG00000010720	Xiphophorus_maculatus
ENSXCOP00000010696	ENSXCOG00000008079	Xiphophorus_couchianus
ENSGAFP00000030078	ENSGAFG00000020275	Gambusia_affinis
ENSFHEP00000034353	ENSFHEG00000022043	Fundulus_heteroclitus
ENSCVAP00000026928	ENSCVAG00000012920	Cyprinodon_variegatus
ENSKMAP00000028383	ENSKMAG00000021036	Kryptolebias_marmoratus
ENSORLP00000004489	ENSORLG00000003602	Oryzias_latipes_ASM223467v1
ENSORLP00015001126	ENSORLG00015001743	Oryzias_latipes_ASM223469v1
ENSORLP00020023994	ENSORLG00020005170	Oryzias_latipes_ASM223471v1
ENSOMEP00000004840	ENSOMEG00000005894	Oryzias_melastigma
ENSACLP00000030223	ENSACLG00000020452	Astatotilapia_calliptera
ENSMZEP00005006095	ENSMZEG00005004691	Maylandia_zebra
ENSHBUP00000025981	ENSHBUG00000008376	Haplochromis_burtoni
ENSNBRP00000010012	ENSNBRG00000007754	Neolamprologus_brichardi
ENSPNYP00000018485	ENSPNYG00000013962	Pundamilia_nyererei
ENSONIP00000005807	ENSONIG00000004612	Oreochromis_niloticus
ENSACIP00000006849	ENSACIG00000005369	Amphilophus_citrinellus
ENSAPEP00000001925	ENSAPEG00000001386	Amphiprion_percula
ENSAOCP00000015920	ENSAOCG00000020780	Amphiprion_ocellaris
ENSAPOP00000027573	ENSAPOG00000012261	Acanthochromis_polyacanthus
ENSSPAP00000024108	ENSSPAG00000018178	Stegastes_partitus
ENSPMGP00000025552	ENSPMGG00000020612	Periophthalmus_magnuspinnatus
ENSGMOP00000004638	ENSGMOG00000004383	Gadus_morhua
ENSLBEP00000035629	ENSLBEG00000026726	Labrus_bergylta
ENSAMXP00005048462	ENSAMXG00005022168	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000047019	ENSAMXG00000018927	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000017757	ENSPNAG00000024101	Pygocentrus_nattereri
ENSEEEP00000051418	ENSEEEG00000024130	Electrophorus_electricus
ENSDARP00000129001	ENSDARG00000076110	Danio_rerio
