ENSPMAP00000000365	ENSPMAG00000000320	Petromyzon_marinus	ENSPMAT00000000365
ENSEBUP00000004547	ENSEBUG00000003103	Eptatretus_burgeri	ENSEBUT00000004986
ENSXETP00000013597	ENSXETG00000000820	Xenopus_tropicalis
ENSCPRP00005012580	ENSCPRG00005008835	Crocodylus_porosus
ENSABRP00000002107	ENSABRG00000002100	Anser_brachyrhynchus
ENSAPLP00000013674	ENSAPLG00000013786	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000013561	ENSMGAG00000012852	Meleagris_gallopavo
ENSCJPP00005024481	ENSCJPG00005019284	Coturnix_japonica
ENSGALP00000049769	ENSGALG00000041962	Gallus_gallus
ENSNMEP00000026615	ENSNMEG00000022409	Numida_meleagris
ENSTGUP00000012653	ENSTGUG00000012288	Taeniopygia_guttata
ENSTGUP00000016053	ENSTGUG00000015722	Taeniopygia_guttata
ENSLSDP00000004068	ENSLSDG00000002966	Lonchura_striata_domestica
ENSSCAP00000012662	ENSSCAG00000009364	Serinus_canaria
ENSZALP00000000018	ENSZALG00000000016	Zonotrichia_albicollis
ENSJHYP00000015509	ENSJHYG00000011909	Junco_hyemalis
ENSFALP00000013309	ENSFALG00000012754	Ficedula_albicollis
ENSPMJP00000022762	ENSPMJG00000016844	Parus_major
ENSCCEP00000020739	ENSCCEG00000018444	Cyanistes_caeruleus
ENSLCOP00000007819	ENSLCOG00000005718	Lepidothrix_coronata
ENSMVIP00005005101	ENSMVIG00005003833	Manacus_vitellinus
ENSMUNP00000011877	ENSMUNG00000009267	Melopsittacus_undulatus
ENSCPGP00000003891	ENSCPGG00000002783	Calidris_pygmaea
ENSCPUP00000028926	ENSCPUG00000019444	Calidris_pugnax
ENSARWP00000017449	ENSARWG00000011991	Apteryx_rowi
ENSAHAP00000013624	ENSAHAG00000009610	Apteryx_haastii
ENSAOWP00000005672	ENSAOWG00000003837	Apteryx_owenii
ENSDNVP00000004184	ENSDNVG00000002955	Dromaius_novaehollandiae
ENSNPEP00000015580	ENSNPEG00000011630	Nothoprocta_perdicaria
ENSCPRP00005007582	ENSCPRG00005005383	Crocodylus_porosus
ENSCABP00000031209	ENSCABG00000022799	Chelonoidis_abingdonii
ENSGAGP00000015814	ENSGAGG00000011816	Gopherus_agassizii
ENSCPBP00000037976	ENSCPBG00000026306	Chrysemys_picta_bellii
ENSPSIP00000004659	ENSPSIG00000004334	Pelodiscus_sinensis
ENSACAP00000016915	ENSACAG00000017170	Anolis_carolinensis	ENSACAT00000017250
ENSPVIP00000001242	ENSPVIG00000001162	Pogona_vitticeps	ENSPVIT00000001638
ENSNSUP00000002105	ENSNSUG00000001777	Notechis_scutatus	ENSNSUT00000002270
ENSSMRP00000016017	ENSSMRG00000012457	Salvator_merianae
ENSSPUP00000012523	ENSSPUG00000009579	Sphenodon_punctatus
ENSGGOP00000006071	ENSGGOG00000006199	Gorilla_gorilla
ENSP00000261534	ENSG00000009830	Homo_sapiens
ENSPPAP00000012712	ENSPPAG00000029527	Pan_paniscus
ENSPTRP00000011170	ENSPTRG00000006576	Pan_troglodytes
ENSPPYP00000006848	ENSPPYG00000006020	Pongo_abelii
ENSNLEP00000020268	ENSNLEG00000016688	Nomascus_leucogenys
ENSMNEP00000014296	ENSMNEG00000031322	Macaca_nemestrina
ENSMFAP00000024448	ENSMFAG00000043819	Macaca_fascicularis
ENSMMUP00000032704	ENSMMUG00000001095	Macaca_mulatta
ENSCATP00000001519	ENSCATG00000006857	Cercocebus_atys
ENSCSAP00000008019	ENSCSAG00000011826	Chlorocebus_sabaeus
ENSMLEP00000021963	ENSMLEG00000035192	Mandrillus_leucophaeus
ENSTGEP00000032448	ENSTGEG00000025936	Theropithecus_gelada
ENSPANP00000015902	ENSPANG00000022436	Papio_anubis
ENSPTEP00000023565	ENSPTEG00000024245	Piliocolobus_tephrosceles
ENSCANP00000028166	ENSCANG00000037483	Colobus_angolensis_palliatus
ENSRROP00000007582	ENSRROG00000027733	Rhinopithecus_roxellana
ENSRBIP00000014410	ENSRBIG00000031307	Rhinopithecus_bieti
ENSCCAP00000033296	ENSCCAG00000034663	Cebus_capucinus_imitator
ENSSBOP00000040419	ENSSBOG00000036190	Saimiri_boliviensis_boliviensis
ENSCJAP00000030853	ENSCJAG00000016739	Callithrix_jacchus
ENSANAP00000037238	ENSANAG00000036112	Aotus_nancymaae
ENSTSYP00000002586	ENSTSYG00000002795	Carlito_syrichta
ENSPSMP00000015491	ENSPSMG00000011025	Prolemur_simus
ENSPCOP00000011991	ENSPCOG00000017534	Propithecus_coquereli
ENSMICP00000015622	ENSMICG00000017148	Microcebus_murinus
ENSOGAP00000005535	ENSOGAG00000006197	Otolemur_garnettii
ENSTBEP00000010546	ENSTBEG00000012145	Tupaia_belangeri
ENSCCNP00000005511	ENSCCNG00000005861	Castor_canadensis
ENSDORP00000017858	ENSDORG00000003506	Dipodomys_ordii
ENSMSIP00000014183	ENSMSIG00000012185	Mus_spicilegus
MGP_SPRETEiJ_P0034485	MGP_SPRETEiJ_G0018830	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000035260	ENSMUSG00000034126	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0032966	MGP_CAROLIEiJ_G0017985	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083084	MGP_PahariEiJ_G0029744	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016242	ENSRNOG00000012146	Rattus_norvegicus
ENSMUGP00000025498	ENSMUGG00000021243	Meriones_unguiculatus
ENSCGRP00001011504	ENSCGRG00001013125	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003234	ENSCGRG00015002534	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019727	ENSCGRG00000014369	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000005302	ENSMAUG00000007220	Mesocricetus_auratus
ENSMOCP00000019228	ENSMOCG00000017272	Microtus_ochrogaster
ENSPEMP00000028435	ENSPEMG00000023967	Peromyscus_maniculatus_bairdii
