ENSLACP00000006446	ENSLACG00000005719	Latimeria_chalumnae
ENSCLAP00000001366	ENSCLAG00000001039	Chinchilla_lanigera
ENSHGLP00000000359	ENSHGLG00000000335	Heterocephalus_glaber_HetGla_female_1.0
ENSPCAP00000005462	ENSPCAG00000005801	Procavia_capensis
ENSMSIP00000003789	ENSMSIG00000003489	Mus_spicilegus
ENSOCUP00000006527	ENSOCUG00000007545	Oryctolagus_cuniculus
ENSACAP00000008173	ENSACAG00000008000	Anolis_carolinensis
ENSBIXP00000039629	ENSBIXG00000023545	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPRP00000000270	ENSPPRG00000024931	Panthera_pardus
ENSPSMP00000000161	ENSPSMG00000000124	Prolemur_simus
ENSCABP00000012828	ENSCABG00000009593	Chelonoidis_abingdonii
ENSDORP00000008158	ENSDORG00000008691	Dipodomys_ordii
ENSBMUP00000004562	ENSBMUG00000003581	Bos_mutus
ENSCAFP00000005623	ENSCAFG00000003745	Canis_lupus_familiaris
ENSAHAP00000004483	ENSAHAG00000003388	Apteryx_haastii
ENSP00000481994	ENSG00000106123	Homo_sapiens
ENSHGLP00000014060	ENSHGLG00000010041	Heterocephalus_glaber_HetGla_female_1.0
ENSSBOP00000033823	ENSSBOG00000033078	Saimiri_boliviensis_boliviensis
ENSGALP00000023737	ENSGALG00000014749	Gallus_gallus
ENSNVIP00000025483	ENSNVIG00000019504	Neovison_vison
ENSDNOP00000003657	ENSDNOG00000004735	Dasypus_novemcinctus
ENSNMEP00000019194	ENSNMEG00000016595	Numida_meleagris
ENSMGAP00000015033	ENSMGAG00000014203	Meleagris_gallopavo
ENSPSIP00000014348	ENSPSIG00000012614	Pelodiscus_sinensis
ENSSCAP00000021037	ENSSCAG00000015160	Serinus_canaria
ENSFDAP00000007922	ENSFDAG00000016313	Fukomys_damarensis
ENSEEUP00000007857	ENSEEUG00000008566	Erinaceus_europaeus
ENSTSYP00000026490	ENSTSYG00000033661	Carlito_syrichta
ENSPVIP00000019857	ENSPVIG00000015129	Pogona_vitticeps
MGP_SPRETEiJ_P0076305	MGP_SPRETEiJ_G0029279	Mus_spretus_strain_SPRET/EiJ
ENSUMAP00000016439	ENSUMAG00000012002	Ursus_maritimus
ENSOANP00000019829	ENSOANG00000012537	Ornithorhynchus_anatinus
ENSOPRP00000000811	ENSOPRG00000000878	Ochotona_princeps
ENSUPAP00010012190	ENSUPAG00010009864	Urocitellus_parryii
ENSBBBP00000021369	ENSBBBG00000003701	Bison_bison_bison
ENSANAP00000026218	ENSANAG00000030703	Aotus_nancymaae
ENSNLEP00000003327	ENSNLEG00000002723	Nomascus_leucogenys
ENSARWP00000014678	ENSARWG00000010145	Apteryx_rowi
ENSRNOP00000019720	ENSRNOG00000014367	Rattus_norvegicus
ENSGAGP00000003968	ENSGAGG00000003249	Gopherus_agassizii
ENSSDAP00000007404	ENSSDAG00000006498	Spermophilus_dauricus
ENSMODP00000001174	ENSMODG00000000983	Monodelphis_domestica
ENSPPAP00000019298	ENSPPAG00000032825	Pan_paniscus
ENSCATP00000027673	ENSCATG00000037179	Cercocebus_atys
ENSSPUP00000004613	ENSSPUG00000003542	Sphenodon_punctatus
ENSCPUP00000007964	ENSCPUG00000005752	Calidris_pugnax
ENSDNVP00000020577	ENSDNVG00000014402	Dromaius_novaehollandiae
ENSMEUP00000005329	ENSMEUG00000005827	Notamacropus_eugenii
ENSUAMP00000016048	ENSUAMG00000012814	Ursus_americanus
ENSFCAP00000013849	ENSFCAG00000014929	Felis_catus
ENSPEMP00000011787	ENSPEMG00000012321	Peromyscus_maniculatus_bairdii
ENSLAFP00000027559	ENSLAFG00000027255	Loxodonta_africana
ENSMAUP00000015355	ENSMAUG00000014846	Mesocricetus_auratus
ENSCCAP00000022202	ENSCCAG00000028883	Cebus_capucinus_imitator
ENSPTEP00000034758	ENSPTEG00000032931	Piliocolobus_tephrosceles
ENSMUNP00000001379	ENSMUNG00000001035	Melopsittacus_undulatus
