ENSCCNP00000031612	ENSCCNG00000030103	Castor_canadensis
ENSSPUP00000015087	ENSSPUG00000011573	Sphenodon_punctatus
ENSTGEP00000011240	ENSTGEG00000009191	Theropithecus_gelada
ENSTGUP00000002827	ENSTGUG00000002748	Taeniopygia_guttata
ENSHBUP00000008199	ENSHBUG00000009676	Haplochromis_burtoni
MGP_SPRETEiJ_P0069415	MGP_SPRETEiJ_G0027981	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000058333	ENSMUSG00000047221	Mus_musculus_strain_reference_(CL57BL6)
ENSCJAP00000039536	ENSCJAG00000021233	Callithrix_jacchus
ENSPLAP00000004328	ENSPLAG00000000124	Poecilia_latipinna
ENSOGAP00000016287	ENSOGAG00000027729	Otolemur_garnettii
ENSLCOP00000012568	ENSLCOG00000009095	Lepidothrix_coronata
ENSPTEP00000005311	ENSPTEG00000006161	Piliocolobus_tephrosceles
ENSPEMP00000022176	ENSPEMG00000019617	Peromyscus_maniculatus_bairdii
ENSHGLP00000020942	ENSHGLG00000014966	Heterocephalus_glaber_HetGla_female_1.0
ENSPNAP00000030494	ENSPNAG00000017243	Pygocentrus_nattereri
ENSCHAP00000011890	ENSCHAG00000006665	Clupea_harengus
ENSEASP00005025160	ENSEASG00005017119	Equus_asinus_asinus
ENSMMOP00000017127	ENSMMOG00000013049	Mola_mola
ENSPREP00000024036	ENSPREG00000016237	Poecilia_reticulata
ENSCAPP00000006113	ENSCAPG00000008302	Cavia_aperea
ENSLOCP00000019691	ENSLOCG00000015991	Lepisosteus_oculatus
ENSPTRP00000063053	ENSPTRG00000045340	Pan_troglodytes
ENSGWIP00000007291	ENSGWIG00000004259	Gouania_willdenowi
ENSXMAP00000009135	ENSXMAG00000009116	Xiphophorus_maculatus
ENSFALP00000010870	ENSFALG00000010424	Ficedula_albicollis
ENSCAFP00020028969	ENSCAFG00020022658	Canis_lupus_dingo
ENSPFOP00000017356	ENSPFOG00000017267	Poecilia_formosa
ENSPSMP00000024180	ENSPSMG00000017049	Prolemur_simus
ENSCSAP00000007968	ENSCSAG00000011772	Chlorocebus_sabaeus
ENSGMOP00000019870	ENSGMOG00000018477	Gadus_morhua
ENSLACP00000021821	ENSLACG00000004686	Latimeria_chalumnae
ENSMGAP00000006142	ENSMGAG00000006155	Meleagris_gallopavo
MGP_PahariEiJ_P0048243	MGP_PahariEiJ_G0021757	Mus_pahari_strain_PAHARI_EIJ
ENSXETP00000051433	ENSXETG00000017468	Xenopus_tropicalis
ENSCGRP00001007486	ENSCGRG00001009903	Cricetulus_griseus_CHOK1GS_HDv1
ENSONIP00000018646	ENSONIG00000014810	Oreochromis_niloticus
ENSPCOP00000027815	ENSPCOG00000026467	Propithecus_coquereli
ENSELUP00000042440	ENSELUG00000023657	Esox_lucius
ENSHCOP00000009113	ENSHCOG00000011484	Hippocampus_comes
ENSPMJP00000004225	ENSPMJG00000003654	Parus_major
ENSMAUP00000004865	ENSMAUG00000006573	Mesocricetus_auratus
ENSCPOP00000006227	ENSCPOG00000006904	Cavia_porcellus
ENSSPAP00000030270	ENSSPAG00000022736	Stegastes_partitus
ENSBSLP00000044143	ENSBSLG00000020950	Betta_splendens
ENSCJPP00005005579	ENSCJPG00005005312	Coturnix_japonica
ENSPANP00000005419	ENSPANG00000007609	Papio_anubis
ENSPNYP00000003526	ENSPNYG00000002721	Pundamilia_nyererei
ENSBIXP00000025745	ENSBIXG00000027841	Bos_indicus_x_Bos_taurus_UOA_Angus_1
FBpp0086488	FBgn0034027	Drosophila_melanogaster
ENSMOCP00000016010	ENSMOCG00000015031	Microtus_ochrogaster
ENSCHIP00000028293	ENSCHIG00000023874	Capra_hircus
ENSMSIP00000021338	ENSMSIG00000018116	Mus_spicilegus
ENSNMEP00000003263	ENSNMEG00000003807	Numida_meleagris
ENSLCAP00010030876	ENSLCAG00010014500	Lates_calcarifer
ENSAPLP00000028756	ENSAPLG00000027009	Anas_platyrhynchos_platyrhynchos
ENSGAFP00000009492	ENSGAFG00000006469	Gambusia_affinis
ENSBBBP00000019348	ENSBBBG00000008145	Bison_bison_bison
ENSNVIP00000029124	ENSNVIG00000022453	Neovison_vison
ENSAMXP00000002126	ENSAMXG00000002072	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGOP00000025626	ENSCGOG00000012105	Cottoperca_gobio
ENSUMAP00000018905	ENSUMAG00000013879	Ursus_maritimus
ENSKMAP00000008153	ENSKMAG00000006128	Kryptolebias_marmoratus
ENSCLAP00000008292	ENSCLAG00000005813	Chinchilla_lanigera
ENSPPYP00000020034	ENSPPYG00000017875	Pongo_abelii
ENSSLDP00000031853	ENSSLDG00000024462	Seriola_lalandi_dorsalis
ENSAHAP00000024066	ENSAHAG00000016808	Apteryx_haastii
ENSOCUP00000024478	ENSOCUG00000005977	Oryctolagus_cuniculus
ENSTRUP00000055709	ENSTRUG00000024354	Takifugu_rubripes
ENSPMEP00000018522	ENSPMEG00000021458	Poecilia_mexicana
ENSMPUP00000018162	ENSMPUG00000018276	Mustela_putorius_furo
ENSCCEP00000011185	ENSCCEG00000010992	Cyanistes_caeruleus
ENSORLP00020035230	ENSORLG00020022072	Oryzias_latipes_ASM223471v1
ENSCAFP00000006362	ENSCAFG00000004283	Canis_lupus_familiaris
