ENSRROP00000015128	ENSRROG00000031748	Rhinopithecus_roxellana	ENSRROT00000039266
ENSPTEP00000003485	ENSPTEG00000004154	Piliocolobus_tephrosceles	ENSPTET00000005488
ENSMNEP00000029643	ENSMNEG00000038295	Macaca_nemestrina	ENSMNET00000054054
ENSTGEP00000019211	ENSTGEG00000015451	Theropithecus_gelada	ENSTGET00000022859
ENSCCAP00000039772	ENSCCAG00000037696	Cebus_capucinus_imitator	ENSCCAT00000057581
ENSPTRP00000060644	ENSPTRG00000028863	Pan_troglodytes	ENSPTRT00000075609
ENSPPAP00000020546	ENSPPAG00000033490	Pan_paniscus	ENSPPAT00000043341
ENSP00000407039	ENSG00000196724	Homo_sapiens
ENSGGOP00000032741	ENSGGOG00000006371	Gorilla_gorilla
ENSPPYP00000023891	ENSPPYG00000029789	Pongo_abelii
ENSNLEP00000013403	ENSNLEG00000011042	Nomascus_leucogenys
ENSRBIP00000031800	ENSRBIG00000039721	Rhinopithecus_bieti
ENSRROP00000011374	ENSRROG00000030031	Rhinopithecus_roxellana
ENSPTEP00000003531	ENSPTEG00000004202	Piliocolobus_tephrosceles
ENSCANP00000001587	ENSCANG00000005920	Colobus_angolensis_palliatus
ENSPANP00000012496	ENSPANG00000019064	Papio_anubis
ENSCSAP00000016410	ENSCSAG00000001615	Chlorocebus_sabaeus
ENSTGEP00000019298	ENSTGEG00000015526	Theropithecus_gelada
ENSMMUP00000031394	ENSMMUG00000043611	Macaca_mulatta
ENSMFAP00000029600	ENSMFAG00000042045	Macaca_fascicularis
ENSMNEP00000024853	ENSMNEG00000035944	Macaca_nemestrina
ENSMLEP00000003712	ENSMLEG00000016238	Mandrillus_leucophaeus
ENSCATP00000010429	ENSCATG00000029490	Cercocebus_atys
ENSSBOP00000023398	ENSSBOG00000028208	Saimiri_boliviensis_boliviensis
ENSCCAP00000017854	ENSCCAG00000026751	Cebus_capucinus_imitator
ENSCJAP00000000644	ENSCJAG00000046843	Callithrix_jacchus
ENSANAP00000010904	ENSANAG00000023423	Aotus_nancymaae
