ENSAPEP00000023553	ENSAPEG00000016763	Amphiprion_percula	ENSAPET00000024181
ENSAOCP00000003764	ENSAOCG00000007101	Amphiprion_ocellaris	ENSAOCT00000009213
ENSAPOP00000026426	ENSAPOG00000010226	Acanthochromis_polyacanthus	ENSAPOT00000003747
ENSSPAP00000000428	ENSSPAG00000000359	Stegastes_partitus	ENSSPAT00000000436
ENSHBUP00000022584	ENSHBUG00000002915	Haplochromis_burtoni	ENSHBUT00000013257
ENSMZEP00005017272	ENSMZEG00005012982	Maylandia_zebra	ENSMZET00005017819
ENSPNYP00000000469	ENSPNYG00000000371	Pundamilia_nyererei	ENSPNYT00000000479
ENSXMAP00000029038	ENSXMAG00000029321	Xiphophorus_maculatus	ENSXMAT00000023961
ENSXCOP00000004240	ENSXCOG00000003334	Xiphophorus_couchianus	ENSXCOT00000004287
ENSGAFP00000012727	ENSGAFG00000008605	Gambusia_affinis	ENSGAFT00000012861
ENSPLAP00000023231	ENSPLAG00000008391	Poecilia_latipinna	ENSPLAT00000006491
ENSPMEP00000025133	ENSPMEG00000007923	Poecilia_mexicana	ENSPMET00000005840
ENSPREP00000005133	ENSPREG00000003589	Poecilia_reticulata	ENSPRET00000005202
ENSCVAP00000008765	ENSCVAG00000010616	Cyprinodon_variegatus	ENSCVAT00000001079
ENSKMAP00000005824	ENSKMAG00000004424	Kryptolebias_marmoratus	ENSKMAT00000005925
ENSORLP00020011974	ENSORLG00020012916	Oryzias_latipes_ASM223471v1
ENSORLP00015035750	ENSORLG00015022521	Oryzias_latipes_ASM223469v1
ENSORLP00000031700	ENSORLG00000030317	Oryzias_latipes_ASM223467v1
ENSOMEP00000004082	ENSOMEG00000005023	Oryzias_melastigma
ENSLBEP00000037231	ENSLBEG00000027800	Labrus_bergylta
ENSTRUP00000052461	ENSTRUG00000025252	Takifugu_rubripes
ENSMALP00000020041	ENSMALG00000014004	Monopterus_albus
ENSATEP00000011743	ENSATEG00000008206	Anabas_testudineus
ENSMAMP00000010969	ENSMAMG00000007428	Mastacembelus_armatus
ENSHCOP00000013149	ENSHCOG00000016266	Hippocampus_comes
ENSSLDP00000004965	ENSSLDG00000003959	Seriola_lalandi_dorsalis
ENSSDUP00000005309	ENSSDUG00000003938	Seriola_dumerili
ENSSMAP00000004857	ENSSMAG00000002996	Scophthalmus_maximus
ENSCSEP00000016836	ENSCSEG00000010823	Cynoglossus_semilaevis
ENSPMGP00000021796	ENSPMGG00000017653	Periophthalmus_magnuspinnatus
ENSELUP00000016434	ENSELUG00000016222	Esox_lucius
ENSAMXP00000048600	ENSAMXG00000036134	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000025134	ENSPNAG00000010054	Pygocentrus_nattereri
ENSIPUP00000015398	ENSIPUG00000010492	Ictalurus_punctatus
ENSDARP00000134183	ENSDARG00000104624	Danio_rerio
ENSSFOP00015023302	ENSSFOG00015014991	Scleropages_formosus
ENSPKIP00000028776	ENSPKIG00000010289	Paramormyrops_kingsleyae
