ENSSPUP00000000468	ENSSPUG00000000439	Sphenodon_punctatus	ENSSPUT00000000506
ENSSPUP00000000464	ENSSPUG00000000436	Sphenodon_punctatus	ENSSPUT00000000502
ENSACAP00000015225	ENSACAG00000015461	Anolis_carolinensis
ENSNSUP00000008351	ENSNSUG00000006475	Notechis_scutatus
ENSSMRP00000014541	ENSSMRG00000011324	Salvator_merianae
ENSAOWP00000018160	ENSAOWG00000012405	Apteryx_owenii
ENSARWP00000008945	ENSARWG00000006254	Apteryx_rowi
ENSDNVP00000007600	ENSDNVG00000005395	Dromaius_novaehollandiae
ENSGALP00000043915	ENSGALG00000035761	Gallus_gallus
ENSCJPP00005011043	ENSCJPG00005009528	Coturnix_japonica
ENSNMEP00000004619	ENSNMEG00000004965	Numida_meleagris
ENSABRP00000009996	ENSABRG00000008935	Anser_brachyrhynchus
ENSAPLP00000027115	ENSAPLG00000008401	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005019383	ENSCPRG00005013532	Crocodylus_porosus
ENSGAGP00000020463	ENSGAGG00000015073	Gopherus_agassizii
ENSCPBP00000035347	ENSCPBG00000024611	Chrysemys_picta_bellii
ENSPSIP00000009508	ENSPSIG00000008587	Pelodiscus_sinensis
ENSLACP00000012602	ENSLACG00000011102	Latimeria_chalumnae
ENSLOCP00000013063	ENSLOCG00000010663	Lepisosteus_oculatus
ENSCMIP00000039616	ENSCMIG00000016592	Callorhinchus_milii
