ENSPSIP00000011050	ENSPSIG00000009962	Pelodiscus_sinensis
ENSCPBP00000019932	ENSCPBG00000014340	Chrysemys_picta_bellii
ENSSMRP00000011776	ENSSMRG00000009244	Salvator_merianae
ENSPVIP00000009134	ENSPVIG00000007299	Pogona_vitticeps
ENSCCAP00000007077	ENSCCAG00000021274	Cebus_capucinus_imitator
ENSSBOP00000008018	ENSSBOG00000020927	Saimiri_boliviensis_boliviensis
ENSCJAP00000079116	ENSCJAG00000012441	Callithrix_jacchus
ENSPTRP00000037797	ENSPTRG00000021994	Pan_troglodytes
ENSPPAP00000019008	ENSPPAG00000032671	Pan_paniscus
ENSP00000363597	ENSG00000147127	Homo_sapiens
ENSGGOP00000006479	ENSGGOG00000006619	Gorilla_gorilla
ENSPPYP00000023427	ENSPPYG00000020928	Pongo_abelii
ENSNLEP00000000992	ENSNLEG00000000853	Nomascus_leucogenys
ENSMNEP00000046229	ENSMNEG00000045569	Macaca_nemestrina
ENSMMUP00000018316	ENSMMUG00000013937	Macaca_mulatta
ENSMFAP00000046128	ENSMFAG00000000762	Macaca_fascicularis
ENSPANP00000001086	ENSPANG00000007317	Papio_anubis
ENSTGEP00000009285	ENSTGEG00000007660	Theropithecus_gelada
ENSCATP00000028120	ENSCATG00000037380	Cercocebus_atys
ENSMLEP00000027856	ENSMLEG00000038149	Mandrillus_leucophaeus
ENSCSAP00000007824	ENSCSAG00000011629	Chlorocebus_sabaeus
ENSRROP00000016090	ENSRROG00000032203	Rhinopithecus_roxellana
ENSRBIP00000008195	ENSRBIG00000027991	Rhinopithecus_bieti
ENSPTEP00000018246	ENSPTEG00000019700	Piliocolobus_tephrosceles
ENSCANP00000007324	ENSCANG00000024057	Colobus_angolensis_palliatus
ENSTSYP00000000709	ENSTSYG00000000768	Carlito_syrichta
ENSVPAP00000007984	ENSVPAG00000008578	Vicugna_pacos
ENSTTRP00000007429	ENSTTRG00000007854	Tursiops_truncatus
ENSPVAP00000013537	ENSPVAG00000014362	Pteropus_vampyrus
ENSPCAP00000002310	ENSPCAG00000002405	Procavia_capensis
ENSPCIP00000039539	ENSPCIG00000029006	Phascolarctos_cinereus
ENSMEUP00000010955	ENSMEUG00000012032	Notamacropus_eugenii
ENSSHAP00000006294	ENSSHAG00000005481	Sarcophilus_harrisii
ENSLSDP00000020812	ENSLSDG00000014740	Lonchura_striata_domestica
ENSTGUP00000002702	ENSTGUG00000002622	Taeniopygia_guttata
ENSPMJP00000009942	ENSPMJG00000007901	Parus_major
ENSJHYP00000000938	ENSJHYG00000000836	Junco_hyemalis
ENSFALP00000004289	ENSFALG00000004117	Ficedula_albicollis
ENSZALP00000017739	ENSZALG00000014307	Zonotrichia_albicollis
ENSCCEP00000011396	ENSCCEG00000011160	Cyanistes_caeruleus
ENSLCOP00000021231	ENSLCOG00000015008	Lepidothrix_coronata
ENSCJPP00005003331	ENSCJPG00005003538	Coturnix_japonica
ENSAPLP00000008013	ENSAPLG00000008341	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005005465	ENSMVIG00005004184	Manacus_vitellinus
ENSDNVP00000007930	ENSDNVG00000005646	Dromaius_novaehollandiae
ENSCPGP00000010435	ENSCPGG00000007435	Calidris_pygmaea
ENSSCAP00000001052	ENSSCAG00000000872	Serinus_canaria
ENSAOWP00000016736	ENSAOWG00000011422	Apteryx_owenii
ENSNMEP00000011696	ENSNMEG00000011008	Numida_meleagris
ENSGAGP00000019396	ENSGAGG00000014312	Gopherus_agassizii
ENSBIXP00000029451	ENSBIXG00000011081	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026539	ENSBIXG00005005007	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000065601	ENSBTAG00000054409	Bos_taurus
ENSBMUP00000000566	ENSBMUG00000000507	Bos_mutus
ENSBBBP00000009935	ENSBBBG00000018071	Bison_bison_bison
ENSMUNP00000010403	ENSMUNG00000008216	Melopsittacus_undulatus
ENSXETP00000036024	ENSXETG00000013736	Xenopus_tropicalis
ENSSFOP00015017552	ENSSFOG00015011268	Scleropages_formosus
ENSPKIP00000035890	ENSPKIG00000014618	Paramormyrops_kingsleyae
ENSAMXP00005057248	ENSAMXG00005025305	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSONIP00000003479	ENSONIG00000002774	Oreochromis_niloticus
ENSHBUP00000029705	ENSHBUG00000014338	Haplochromis_burtoni
ENSACIP00000014025	ENSACIG00000010914	Amphilophus_citrinellus
ENSAOCP00000017359	ENSAOCG00000022426	Amphiprion_ocellaris
ENSLCAP00010037854	ENSLCAG00010017699	Lates_calcarifer
ENSCGOP00000002606	ENSCGOG00000001360	Cottoperca_gobio
ENSLBEP00000011358	ENSLBEG00000008746	Labrus_bergylta
ENSOMEP00000032048	ENSOMEG00000017258	Oryzias_melastigma
ENSORLP00000036989	ENSORLG00000027669	Oryzias_latipes_ASM223467v1
ENSPREP00000014053	ENSPREG00000009535	Poecilia_reticulata
ENSPFOP00000011446	ENSPFOG00000011424	Poecilia_formosa
ENSXMAP00000038379	ENSXMAG00000027787	Xiphophorus_maculatus
ENSXCOP00000021128	ENSXCOG00000015802	Xiphophorus_couchianus
ENSFHEP00000014427	ENSFHEG00000015996	Fundulus_heteroclitus
ENSTNIP00000019945	ENSTNIG00000016831	Tetraodon_nigroviridis
ENSPMGP00000022018	ENSPMGG00000017830	Periophthalmus_magnuspinnatus
ENSHHUP00000050179	ENSHHUG00000030185	Hucho_hucho
ENSHHUP00000077891	ENSHHUG00000045408	Hucho_hucho
ENSELUP00000026968	ENSELUG00000003038	Esox_lucius
ENSAPEP00000011062	ENSAPEG00000007931	Amphiprion_percula
ENSORLP00015009359	ENSORLG00015010161	Oryzias_latipes_ASM223469v1
ENSECRP00000020204	ENSECRG00000013553	Erpetoichthys_calabaricus
