ENSBIXP00005035161	ENSBIXG00005002590	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGGOP00000014326	ENSGGOG00000014677	Gorilla_gorilla
ENSSBOP00000014670	ENSSBOG00000024069	Saimiri_boliviensis_boliviensis
ENSPMGP00000019627	ENSPMGG00000015927	Periophthalmus_magnuspinnatus
ENSOPRP00000015156	ENSOPRG00000016596	Ochotona_princeps
ENSGACP00000022167	ENSGACG00000016789	Gasterosteus_aculeatus
ENSOCUP00000036708	ENSOCUG00000008810	Oryctolagus_cuniculus
ENSSPAP00000008811	ENSSPAG00000006604	Stegastes_partitus
ENSCMIP00000026698	ENSCMIG00000011668	Callorhinchus_milii
ENSTTRP00000008582	ENSTTRG00000009010	Tursiops_truncatus	ENSTTRT00000009051
ENSAHAP00000005772	ENSAHAG00000004441	Apteryx_haastii
ENSPCOP00000009466	ENSPCOG00000016099	Propithecus_coquereli
ENSMLUP00000009905	ENSMLUG00000010855	Myotis_lucifugus
ENSLAFP00000002465	ENSLAFG00000002958	Loxodonta_africana
ENSBIXP00000024316	ENSBIXG00000007547	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCJAP00000008763	ENSCJAG00000004707	Callithrix_jacchus
ENSCABP00000022149	ENSCABG00000016311	Chelonoidis_abingdonii
ENSLOCP00000003642	ENSLOCG00000003080	Lepisosteus_oculatus
ENSVPAP00000009519	ENSVPAG00000010230	Vicugna_pacos	ENSVPAT00000010230
ENSTBEP00000011184	ENSTBEG00000012878	Tupaia_belangeri
ENSPNAP00000005210	ENSPNAG00000011490	Pygocentrus_nattereri
ENSEASP00005021261	ENSEASG00005014562	Equus_asinus_asinus
B0240.4.1	WBGene00007118	Caenorhabditis_elegans_strain_N2
ENSPPRP00000009158	ENSPPRG00000003700	Panthera_pardus
ENSMUSP00000120365	ENSMUSG00000028614	Mus_musculus_strain_reference_(CL57BL6)
ENSORLP00000025598	ENSORLG00000020666	Oryzias_latipes_ASM223467v1
ENSGMOP00000013338	ENSGMOG00000012456	Gadus_morhua
ENSCPOP00000000651	ENSCPOG00000000732	Cavia_porcellus
ENSCPGP00000019489	ENSCPGG00000013640	Calidris_pygmaea
ENSELUP00000011370	ENSELUG00000011782	Esox_lucius
ENSDNVP00000015772	ENSDNVG00000011104	Dromaius_novaehollandiae
ENSUAMP00000020834	ENSUAMG00000016276	Ursus_americanus
ENSSFOP00015033599	ENSSFOG00015021445	Scleropages_formosus
ENSCAPP00000001395	ENSCAPG00000002656	Cavia_aperea
MGP_SPRETEiJ_P0065867	MGP_SPRETEiJ_G0027221	Mus_spretus_strain_SPRET/EiJ
ENSFHEP00000009591	ENSFHEG00000010829	Fundulus_heteroclitus
ENSLACP00000011546	ENSLACG00000010159	Latimeria_chalumnae
ENSSLDP00000022923	ENSSLDG00000017904	Seriola_lalandi_dorsalis
ENSCHOP00000008140	ENSCHOG00000009192	Choloepus_hoffmanni
ENSACAP00000008744	ENSACAG00000008951	Anolis_carolinensis
ENSBBBP00000009581	ENSBBBG00000017724	Bison_bison_bison
ENSHGLP00000002037	ENSHGLG00000001547	Heterocephalus_glaber_HetGla_female_1.0
ENSHCOP00000017913	ENSHCOG00000002061	Hippocampus_comes
ENSMAMP00000008343	ENSMAMG00000005670	Mastacembelus_armatus
ENSBTAP00000062543	ENSBTAG00000006625	Bos_taurus
ENSLCRP00005050153	ENSLCRG00005018923	Larimichthys_crocea
ENSAMEP00000010166	ENSAMEG00000009642	Ailuropoda_melanoleuca
ENSPNYP00000008917	ENSPNYG00000006782	Pundamilia_nyererei
ENSCPUP00000016934	ENSCPUG00000011685	Calidris_pugnax
ENSCPRP00005007385	ENSCPRG00005005059	Crocodylus_porosus
ENSEBUP00000006105	ENSEBUG00000004025	Eptatretus_burgeri	ENSEBUT00000006554
ENSIPUP00000014420	ENSIPUG00000009842	Ictalurus_punctatus
ENSVVUP00000037564	ENSVVUG00000026855	Vulpes_vulpes
ENSONIP00000023352	ENSONIG00000018548	Oreochromis_niloticus
ENSMAUP00000024159	ENSMAUG00000021103	Mesocricetus_auratus
ENSPPAP00000020102	ENSPPAG00000033261	Pan_paniscus
ENSMVIP00005012676	ENSMVIG00005009192	Manacus_vitellinus
ENSPVIP00000011411	ENSPVIG00000008959	Pogona_vitticeps
ENSNVIP00000009249	ENSNVIG00000007324	Neovison_vison
ENSAOWP00000005722	ENSAOWG00000003929	Apteryx_owenii
ENSOANP00000003889	ENSOANG00000002451	Ornithorhynchus_anatinus
ENSTSYP00000005123	ENSTSYG00000005587	Carlito_syrichta
ENSMALP00000024721	ENSMALG00000017214	Monopterus_albus
ENSAPLP00000001597	ENSAPLG00000002028	Anas_platyrhynchos_platyrhynchos
MGP_PahariEiJ_P0078491	MGP_PahariEiJ_G0028585	Mus_pahari_strain_PAHARI_EIJ
ENSPSIP00000002944	ENSPSIG00000002847	Pelodiscus_sinensis
ENSETEP00000005738	ENSETEG00000007069	Echinops_telfairi
ENSCLAP00000016223	ENSCLAG00000011161	Chinchilla_lanigera
ENSECRP00000011736	ENSECRG00000007791	Erpetoichthys_calabaricus
ENSOARP00000007012	ENSOARG00000006547	Ovis_aries	ENSOART00000007119
FBpp0083879	FBgn0039125	Drosophila_melanogaster
ENSMMUP00000004724	ENSMMUG00000003546	Macaca_mulatta
ENSLCOP00000004021	ENSLCOG00000003048	Lepidothrix_coronata
ENSTNIP00000017924	ENSTNIG00000014881	Tetraodon_nigroviridis
ENSGAGP00000016329	ENSGAGG00000012237	Gopherus_agassizii
ENSAMXP00000006391	ENSAMXG00000006212	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCVAP00000010292	ENSCVAG00000012391	Cyprinodon_variegatus
ENSSSCP00000065756	ENSSSCG00000028748	Sus_scrofa_strain_reference	ENSSSCT00000083027
ENSNPEP00000020815	ENSNPEG00000015462	Nothoprocta_perdicaria
ENSFCAP00000024400	ENSFCAG00000028147	Felis_catus
ENSMUGP00000018214	ENSMUGG00000015417	Meriones_unguiculatus
ENSAPEP00000032346	ENSAPEG00000022929	Amphiprion_percula
ENSCSAVP00000007044	ENSCSAVG00000004211	Ciona_savignyi
ENSFDAP00000007650	ENSFDAG00000016099	Fukomys_damarensis
ENSCGRP00001027333	ENSCGRG00001024367	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000057023	ENSDCDG00000033362	Denticeps_clupeoides
ENSPCIP00000031106	ENSPCIG00000023127	Phascolarctos_cinereus
ENSPCAP00000012675	ENSPCAG00000013529	Procavia_capensis
ENSPRNP00000055242	ENSPRNG00000025909	Parambassis_ranga
ENSAOCP00000011944	ENSAOCG00000016308	Amphiprion_ocellaris
ENSCSEP00000025285	ENSCSEG00000016105	Cynoglossus_semilaevis
ENSSHAP00000007520	ENSSHAG00000006536	Sarcophilus_harrisii
ENSPMEP00000010757	ENSPMEG00000012731	Poecilia_mexicana
ENSGAGP00000002587	ENSGAGG00000002041	Gopherus_agassizii
ENSANAP00000041928	ENSANAG00000038238	Aotus_nancymaae
ENSDNOP00000014041	ENSDNOG00000018093	Dasypus_novemcinctus
ENSOGAP00000012842	ENSOGAG00000014329	Otolemur_garnettii
ENSCANP00000036042	ENSCANG00000041724	Colobus_angolensis_palliatus
ENSNMEP00000026731	ENSNMEG00000022487	Numida_meleagris
ENSSDAP00000003872	ENSSDAG00000003639	Spermophilus_dauricus
ENSPMJP00000001831	ENSPMJG00000001491	Parus_major
ENSSARP00000009755	ENSSARG00000010784	Sorex_araneus
ENSODEP00000009773	ENSODEG00000007308	Octodon_degus
ENSPTRP00000067861	ENSPTRG00000000757	Pan_troglodytes
ENSCCEP00000008507	ENSCCEG00000008758	Cyanistes_caeruleus
ENSPTIP00000004885	ENSPTIG00000007254	Panthera_tigris_altaica
ENSPLAP00000018567	ENSPLAG00000023228	Poecilia_latipinna
ENSXMAP00000012914	ENSXMAG00000012889	Xiphophorus_maculatus
ENSOMEP00000029701	ENSOMEG00000013519	Oryzias_melastigma
ENSMPUP00000006486	ENSMPUG00000006542	Mustela_putorius_furo
ENSGAFP00000029940	ENSGAFG00000020179	Gambusia_affinis
ENSDARP00000016349	ENSDARG00000021120	Danio_rerio
ENSARWP00000024235	ENSARWG00000016513	Apteryx_rowi
ENSPPYP00000001548	ENSPPYG00000001331	Pongo_abelii
ENSHBUP00000005331	ENSHBUG00000006731	Haplochromis_burtoni
ENSSMAP00000023073	ENSSMAG00000014081	Scophthalmus_maximus
ENSCSAP00000016722	ENSCSAG00000001293	Chlorocebus_sabaeus
ENSSPUP00000017995	ENSSPUG00000013864	Sphenodon_punctatus
ENSMFAP00000010335	ENSMFAG00000006996	Macaca_fascicularis
ENSECAP00000014180	ENSECAG00000016387	Equus_caballus
ENSCAFP00020014907	ENSCAFG00020011978	Canis_lupus_dingo
ENSEEEP00000016484	ENSEEEG00000007930	Electrophorus_electricus
ENSPVAP00000003564	ENSPVAG00000003767	Pteropus_vampyrus
ENSPSMP00000026187	ENSPSMG00000018376	Prolemur_simus
ENSPEMP00000019854	ENSPEMG00000018005	Peromyscus_maniculatus_bairdii
ENSGWIP00000054842	ENSGWIG00000026164	Gouania_willdenowi
ENSZALP00000003509	ENSZALG00000003463	Zonotrichia_albicollis
ENSNGAP00000007501	ENSNGAG00000010744	Nannospalax_galili
ENSJJAP00000006958	ENSJJAG00000011483	Jaculus_jaculus
ENSACLP00000014224	ENSACLG00000009706	Astatotilapia_calliptera
ENSEEUP00000013306	ENSEEUG00000014554	Erinaceus_europaeus
ENSFALP00000012504	ENSFALG00000011978	Ficedula_albicollis
ENSCGRP00015007641	ENSCGRG00015005953	Cricetulus_griseus_CriGri-PICR
ENSCCNP00000006555	ENSCCNG00000006915	Castor_canadensis
ENSATEP00000030221	ENSATEG00000020871	Anabas_testudineus
ENSLSDP00000018339	ENSLSDG00000013080	Lonchura_striata_domestica
ENSAPOP00000026495	ENSAPOG00000010350	Acanthochromis_polyacanthus
ENSPKIP00000029058	ENSPKIG00000010451	Paramormyrops_kingsleyae
ENSMNEP00000010765	ENSMNEG00000029764	Macaca_nemestrina
ENSAMXP00005038337	ENSAMXG00005017946	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTRUP00000056129	ENSTRUG00000011897	Takifugu_rubripes
ENSVURP00010008962	ENSVURG00010006610	Vombatus_ursinus
ENSSCAP00000008071	ENSSCAG00000006190	Serinus_canaria
ENSCHAP00000050223	ENSCHAG00000022949	Clupea_harengus
ENSP00000360483	ENSG00000058804	Homo_sapiens
ENSCJPP00005014730	ENSCJPG00005012270	Coturnix_japonica
ENSPTEP00000023334	ENSPTEG00000024072	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0063381	MGP_CAROLIEiJ_G0026252	Mus_caroli_strain_CAROLI_EIJ
ENSCSAVP00000007035	ENSCSAVG00000004206	Ciona_savignyi
ENSLBEP00000020442	ENSLBEG00000015737	Labrus_bergylta
ENSXETP00000042899	ENSXETG00000010342	Xenopus_tropicalis
ENSRNOP00000014275	ENSRNOG00000010620	Rattus_norvegicus
ENSSDUP00000013219	ENSSDUG00000009613	Seriola_dumerili
ENSNLEP00000004255	ENSNLEG00000003509	Nomascus_leucogenys
ENSNBRP00000016878	ENSNBRG00000012978	Neolamprologus_brichardi
ENSCHIP00000016879	ENSCHIG00000016961	Capra_hircus	ENSCHIT00000024688
ENSABRP00000000025	ENSABRG00000000033	Anser_brachyrhynchus
ENSPFOP00000010847	ENSPFOG00000010802	Poecilia_formosa
ENSMOCP00000020949	ENSMOCG00000018473	Microtus_ochrogaster
