ENSPMAP00000010654	ENSPMAG00000009691	Petromyzon_marinus	ENSPMAT00000010700
ENSPMAP00000010648	ENSPMAG00000009682	Petromyzon_marinus	ENSPMAT00000010694
ENSDNOP00000025034	ENSDNOG00000049378	Dasypus_novemcinctus	ENSDNOT00000038928
ENSCHOP00000010054	ENSCHOG00000011375	Choloepus_hoffmanni	ENSCHOT00000011399
ENSETEP00000012010	ENSETEG00000014822	Echinops_telfairi	ENSETET00000014820
ENSCAPP00000015903	ENSCAPG00000015920	Cavia_aperea	ENSCAPT00000019688
ENSCPOP00000032319	ENSCPOG00000037960	Cavia_porcellus	ENSCPOT00000038243
ENSCLAP00000023344	ENSCLAG00000016010	Chinchilla_lanigera	ENSCLAT00000023565
ENSODEP00000025499	ENSODEG00000018760	Octodon_degus	ENSODET00000025825
ENSHGLP00100021950	ENSHGLG00100016160	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018675	ENSHGLG00000013373	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022840	ENSFDAG00000021133	Fukomys_damarensis
ENSSDAP00000018313	ENSSDAG00000016751	Spermophilus_dauricus
ENSUPAP00010024005	ENSUPAG00010019046	Urocitellus_parryii
ENSSTOP00000019667	ENSSTOG00000022791	Ictidomys_tridecemlineatus
ENSMMMP00000025350	ENSMMMG00000022200	Marmota_marmota_marmota
ENSMUSP00000051435	ENSMUSG00000048503	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000006034	ENSMSIG00000005422	Mus_spicilegus
MGP_SPRETEiJ_P0091060	MGP_SPRETEiJ_G0033227	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087470	MGP_CAROLIEiJ_G0032088	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023126	MGP_PahariEiJ_G0014957	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000037988	ENSRNOG00000021793	Rattus_norvegicus
ENSMUGP00000012813	ENSMUGG00000011132	Meriones_unguiculatus
ENSCGRP00000016056	ENSCGRG00000011653	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013334	ENSCGRG00001014506	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018339	ENSCGRG00015014114	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020948	ENSMAUG00000018827	Mesocricetus_auratus
ENSPEMP00000032214	ENSPEMG00000028823	Peromyscus_maniculatus_bairdii
ENSMOCP00000016809	ENSMOCG00000015604	Microtus_ochrogaster
ENSNGAP00000015711	ENSNGAG00000016671	Nannospalax_galili
ENSJJAP00000009577	ENSJJAG00000013409	Jaculus_jaculus
ENSCCNP00000026405	ENSCCNG00000025625	Castor_canadensis
ENSDORP00000019318	ENSDORG00000025068	Dipodomys_ordii
ENSTBEP00000006064	ENSTBEG00000007036	Tupaia_belangeri
ENSPPAP00000005736	ENSPPAG00000023495	Pan_paniscus
ENSPTRP00000047607	ENSPTRG00000004392	Pan_troglodytes
ENSP00000312672	ENSG00000181264	Homo_sapiens
ENSGGOP00000051150	ENSGGOG00000036905	Gorilla_gorilla
ENSNLEP00000009027	ENSNLEG00000007404	Nomascus_leucogenys
ENSRROP00000002137	ENSRROG00000008707	Rhinopithecus_roxellana
ENSRBIP00000001127	ENSRBIG00000005926	Rhinopithecus_bieti
ENSCANP00000037055	ENSCANG00000042212	Colobus_angolensis_palliatus
ENSPANP00000006313	ENSPANG00000019802	Papio_anubis
ENSTGEP00000032344	ENSTGEG00000025845	Theropithecus_gelada
ENSCSAP00000015572	ENSCSAG00000002472	Chlorocebus_sabaeus
ENSMMUP00000048346	ENSMMUG00000012253	Macaca_mulatta
ENSMFAP00000028377	ENSMFAG00000045549	Macaca_fascicularis
ENSMNEP00000031526	ENSMNEG00000039176	Macaca_nemestrina
ENSMLEP00000011565	ENSMLEG00000029963	Mandrillus_leucophaeus
ENSCATP00000025660	ENSCATG00000036291	Cercocebus_atys
ENSPTEP00000013382	ENSPTEG00000014989	Piliocolobus_tephrosceles
ENSPPYP00000004551	ENSPPYG00000003973	Pongo_abelii
ENSCJAP00000026110	ENSCJAG00000014193	Callithrix_jacchus
ENSSBOP00000016998	ENSSBOG00000025172	Saimiri_boliviensis_boliviensis
ENSCCAP00000022951	ENSCCAG00000029279	Cebus_capucinus_imitator
ENSANAP00000022311	ENSANAG00000028920	Aotus_nancymaae
ENSTSYP00000001136	ENSTSYG00000001228	Carlito_syrichta
ENSPSMP00000006668	ENSPSMG00000005005	Prolemur_simus
ENSPCOP00000029492	ENSPCOG00000027456	Propithecus_coquereli
ENSMICP00000048280	ENSMICG00000011149	Microcebus_murinus
ENSOGAP00000021471	ENSOGAG00000025616	Otolemur_garnettii
ENSPCIP00000023904	ENSPCIG00000018079	Phascolarctos_cinereus
ENSVURP00010004131	ENSVURG00010003305	Vombatus_ursinus
ENSMEUP00000014103	ENSMEUG00000015454	Notamacropus_eugenii
ENSSHAP00000021438	ENSSHAG00000018168	Sarcophilus_harrisii
ENSMODP00000016444	ENSMODG00000013138	Monodelphis_domestica
ENSEASP00005005202	ENSEASG00005003894	Equus_asinus_asinus
ENSECAP00000020009	ENSECAG00000022595	Equus_caballus
ENSMLUP00000002980	ENSMLUG00000003280	Myotis_lucifugus
ENSOPRP00000004947	ENSOPRG00000005406	Ochotona_princeps
ENSOCUP00000004497	ENSOCUG00000005192	Oryctolagus_cuniculus
ENSBIXP00000003372	ENSBIXG00000007366	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026484	ENSBIXG00005028810	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000039814	ENSBTAG00000021342	Bos_taurus
ENSBMUP00000012963	ENSBMUG00000009897	Bos_mutus
ENSBBBP00000024182	ENSBBBG00000009156	Bison_bison_bison
ENSCHIP00000022557	ENSCHIG00000020483	Capra_hircus
ENSOARP00000018197	ENSOARG00000016945	Ovis_aries
ENSTTRP00000011085	ENSTTRG00000011692	Tursiops_truncatus
ENSSSCP00000048072	ENSSSCG00000037406	Sus_scrofa_strain_reference
ENSVPAP00000009561	ENSVPAG00000010278	Vicugna_pacos
ENSUAMP00000033309	ENSUAMG00000025396	Ursus_americanus
ENSUMAP00000032643	ENSUMAG00000023528	Ursus_maritimus
ENSAMEP00000008433	ENSAMEG00000008023	Ailuropoda_melanoleuca
ENSMPUP00000005553	ENSMPUG00000005596	Mustela_putorius_furo
ENSNVIP00000002436	ENSNVIG00000001963	Neovison_vison
ENSCAFP00020015532	ENSCAFG00020012475	Canis_lupus_dingo
ENSCAFP00000037242	ENSCAFG00000011963	Canis_lupus_familiaris
ENSVVUP00000030503	ENSVVUG00000022256	Vulpes_vulpes
ENSPPRP00000003207	ENSPPRG00000022930	Panthera_pardus
ENSPTIP00000016797	ENSPTIG00000015442	Panthera_tigris_altaica
ENSFCAP00000024508	ENSFCAG00000024604	Felis_catus
ENSLAFP00000010307	ENSLAFG00000012330	Loxodonta_africana
ENSEEUP00000006791	ENSEEUG00000007481	Erinaceus_europaeus
ENSOANP00000011457	ENSOANG00000007199	Ornithorhynchus_anatinus
ENSPVIP00000007423	ENSPVIG00000006058	Pogona_vitticeps
ENSACAP00000003263	ENSACAG00000003371	Anolis_carolinensis
ENSNSUP00000016351	ENSNSUG00000012082	Notechis_scutatus
ENSSMRP00000028540	ENSSMRG00000021926	Salvator_merianae
ENSSPUP00000014750	ENSSPUG00000011376	Sphenodon_punctatus
ENSJHYP00000008302	ENSJHYG00000006602	Junco_hyemalis
ENSZALP00000012034	ENSZALG00000010140	Zonotrichia_albicollis
ENSSCAP00000010760	ENSSCAG00000008112	Serinus_canaria
ENSLSDP00000025841	ENSLSDG00000018054	Lonchura_striata_domestica
ENSFALP00000006247	ENSFALG00000005993	Ficedula_albicollis
ENSCCEP00000006821	ENSCCEG00000007274	Cyanistes_caeruleus
ENSPMJP00000011072	ENSPMJG00000008631	Parus_major
ENSTGUP00000000427	ENSTGUG00000000419	Taeniopygia_guttata
ENSLCOP00000006087	ENSLCOG00000004510	Lepidothrix_coronata
ENSMVIP00005024170	ENSMVIG00005016951	Manacus_vitellinus
ENSMUNP00000012339	ENSMUNG00000009700	Melopsittacus_undulatus
ENSABRP00000005044	ENSABRG00000004666	Anser_brachyrhynchus
ENSAPLP00000021837	ENSAPLG00000015538	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000001853	ENSMGAG00000002309	Meleagris_gallopavo
ENSCJPP00005010725	ENSCJPG00005009293	Coturnix_japonica
ENSGALP00000042847	ENSGALG00000026316	Gallus_gallus
ENSNMEP00000013425	ENSNMEG00000012246	Numida_meleagris
ENSCPGP00000010729	ENSCPGG00000007644	Calidris_pygmaea
ENSCPUP00000020487	ENSCPUG00000014014	Calidris_pugnax
ENSAHAP00000002188	ENSAHAG00000001827	Apteryx_haastii
ENSAOWP00000011783	ENSAOWG00000008090	Apteryx_owenii
ENSARWP00000007607	ENSARWG00000005299	Apteryx_rowi
ENSDNVP00000014858	ENSDNVG00000010456	Dromaius_novaehollandiae
ENSNPEP00000010290	ENSNPEG00000007724	Nothoprocta_perdicaria
ENSCPRP00005005400	ENSCPRG00005003892	Crocodylus_porosus
ENSGAGP00000032808	ENSGAGG00000023446	Gopherus_agassizii
ENSCABP00000012890	ENSCABG00000009647	Chelonoidis_abingdonii
ENSCPBP00000010480	ENSCPBG00000008048	Chrysemys_picta_bellii
ENSPSIP00000015696	ENSPSIG00000014022	Pelodiscus_sinensis
ENSLCOP00000006084	ENSLCOG00000004508	Lepidothrix_coronata
ENSMVIP00005024177	ENSMVIG00005016957	Manacus_vitellinus
ENSPMJP00000011070	ENSPMJG00000008630	Parus_major
ENSCCEP00000006820	ENSCCEG00000007268	Cyanistes_caeruleus
ENSFALP00000006252	ENSFALG00000005998	Ficedula_albicollis
ENSTGUP00000014289	ENSTGUG00000013890	Taeniopygia_guttata
ENSLSDP00000025838	ENSLSDG00000018051	Lonchura_striata_domestica
ENSSCAP00000010753	ENSSCAG00000008104	Serinus_canaria
ENSJHYP00000008294	ENSJHYG00000006600	Junco_hyemalis
ENSGALP00000045749	ENSGALG00000032108	Gallus_gallus
ENSCJPP00005010727	ENSCJPG00005009294	Coturnix_japonica
ENSNMEP00000013427	ENSNMEG00000012247	Numida_meleagris
ENSMUNP00000012341	ENSMUNG00000009701	Melopsittacus_undulatus
ENSABRP00000005028	ENSABRG00000004651	Anser_brachyrhynchus
ENSAPLP00000027020	ENSAPLG00000031248	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000010721	ENSCPGG00000007637	Calidris_pygmaea
ENSCPUP00000020485	ENSCPUG00000014013	Calidris_pugnax
ENSAHAP00000002195	ENSAHAG00000001834	Apteryx_haastii
ENSAOWP00000011797	ENSAOWG00000008099	Apteryx_owenii
ENSARWP00000007619	ENSARWG00000005300	Apteryx_rowi
