F59A6.6c.1	WBGene00004382	Caenorhabditis_elegans_strain_N2	F59A6.6c.1
FBpp0087959	FBgn0023171	Drosophila_melanogaster	FBtr0088883
ENSCINP00000025561	ENSCING00000014054	Ciona_intestinalis	ENSCINT00000025807
ENSCSAVP00000000011	ENSCSAVG00000000009	Ciona_savignyi	ENSCSAVT00000000011
ENSPMAP00000003094	ENSPMAG00000002846	Petromyzon_marinus	ENSPMAT00000003109
ENSPMAP00000000561	ENSPMAG00000000507	Petromyzon_marinus	ENSPMAT00000000562
ENSEBUP00000014110	ENSEBUG00000008898	Eptatretus_burgeri	ENSEBUT00000014686
ENSLACP00000008022	ENSLACG00000007100	Latimeria_chalumnae
ENSXETP00000018607	ENSXETG00000001665	Xenopus_tropicalis
ENSDCDP00000030922	ENSDCDG00000021614	Denticeps_clupeoides
ENSCHAP00000032952	ENSCHAG00000015730	Clupea_harengus
ENSEEEP00000019908	ENSEEEG00000009735	Electrophorus_electricus
ENSIPUP00000034348	ENSIPUG00000023060	Ictalurus_punctatus
ENSAMXP00005004887	ENSAMXG00005003076	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000053791	ENSAMXG00000042940	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016211	ENSPNAG00000022344	Pygocentrus_nattereri
ENSDARP00000062440	ENSDARG00000042571	Danio_rerio
ENSORLP00015010533	ENSORLG00015011338	Oryzias_latipes_ASM223469v1
ENSORLP00000022700	ENSORLG00000018127	Oryzias_latipes_ASM223467v1
ENSORLP00020012722	ENSORLG00020013660	Oryzias_latipes_ASM223471v1
ENSOMEP00000003783	ENSOMEG00000004710	Oryzias_melastigma
ENSPLAP00000030353	ENSPLAG00000021349	Poecilia_latipinna
ENSCSEP00000008997	ENSCSEG00000005741	Cynoglossus_semilaevis
ENSGWIP00000015328	ENSGWIG00000008599	Gouania_willdenowi
ENSATEP00000000794	ENSATEG00000000598	Anabas_testudineus
ENSMAMP00000029277	ENSMAMG00000019725	Mastacembelus_armatus
ENSSDUP00000011243	ENSSDUG00000008217	Seriola_dumerili
ENSSLDP00000000526	ENSSLDG00000000442	Seriola_lalandi_dorsalis
ENSSMAP00000012328	ENSSMAG00000007586	Scophthalmus_maximus
ENSLCAP00010024135	ENSLCAG00010011278	Lates_calcarifer
ENSLBEP00000006004	ENSLBEG00000004480	Labrus_bergylta
ENSMMOP00000020931	ENSMMOG00000015902	Mola_mola
ENSAOCP00000026776	ENSAOCG00000015210	Amphiprion_ocellaris
ENSAPEP00000019725	ENSAPEG00000014104	Amphiprion_percula
ENSAPOP00000029135	ENSAPOG00000000412	Acanthochromis_polyacanthus
ENSSPAP00000012312	ENSSPAG00000009353	Stegastes_partitus
ENSPRNP00000012120	ENSPRNG00000006766	Parambassis_ranga
ENSNBRP00000011192	ENSNBRG00000008739	Neolamprologus_brichardi
ENSONIP00000023538	ENSONIG00000018697	Oreochromis_niloticus
ENSACLP00000009862	ENSACLG00000006741	Astatotilapia_calliptera
ENSMZEP00005017329	ENSMZEG00005013006	Maylandia_zebra
ENSHBUP00000003423	ENSHBUG00000004666	Haplochromis_burtoni
ENSPNYP00000001607	ENSPNYG00000001292	Pundamilia_nyererei
ENSACIP00000018844	ENSACIG00000014666	Amphilophus_citrinellus
ENSLCRP00005057503	ENSLCRG00005021356	Larimichthys_crocea
ENSCGOP00000044173	ENSCGOG00000019866	Cottoperca_gobio
ENSMALP00000015049	ENSMALG00000010565	Monopterus_albus
ENSTNIP00000013633	ENSTNIG00000010715	Tetraodon_nigroviridis
ENSTRUP00000047942	ENSTRUG00000015774	Takifugu_rubripes
ENSGACP00000015792	ENSGACG00000011935	Gasterosteus_aculeatus
ENSXMAP00000002361	ENSXMAG00000002357	Xiphophorus_maculatus
ENSGAFP00000002585	ENSGAFG00000001776	Gambusia_affinis
ENSPMEP00000014425	ENSPMEG00000016826	Poecilia_mexicana
ENSPFOP00000002783	ENSPFOG00000002841	Poecilia_formosa
ENSPREP00000018030	ENSPREG00000012197	Poecilia_reticulata
ENSPLAP00000011779	ENSPLAG00000014956	Poecilia_latipinna
ENSFHEP00000017812	ENSFHEG00000019613	Fundulus_heteroclitus
ENSCVAP00000015846	ENSCVAG00000018717	Cyprinodon_variegatus
ENSKMAP00000001727	ENSKMAG00000001373	Kryptolebias_marmoratus
ENSBSLP00000012412	ENSBSLG00000006311	Betta_splendens
ENSHCOP00000009827	ENSHCOG00000012329	Hippocampus_comes
ENSPMGP00000021604	ENSPMGG00000017463	Periophthalmus_magnuspinnatus
ENSGMOP00000014777	ENSGMOG00000013818	Gadus_morhua
ENSHHUP00000045514	ENSHHUG00000027776	Hucho_hucho
ENSHHUP00000067940	ENSHHUG00000040047	Hucho_hucho
ENSELUP00000009540	ENSELUG00000010112	Esox_lucius
ENSPKIP00000017106	ENSPKIG00000003146	Paramormyrops_kingsleyae
ENSSFOP00015004172	ENSSFOG00015002709	Scleropages_formosus
ENSLOCP00000021280	ENSLOCG00000017212	Lepisosteus_oculatus
ENSECRP00000015416	ENSECRG00000010293	Erpetoichthys_calabaricus
ENSCMIP00000015011	ENSCMIG00000007365	Callorhinchus_milii
ENSPVIP00000009744	ENSPVIG00000007746	Pogona_vitticeps
ENSACAP00000016603	ENSACAG00000016857	Anolis_carolinensis
ENSNSUP00000010079	ENSNSUG00000007673	Notechis_scutatus	ENSNSUT00000010753
ENSSMRP00000008152	ENSSMRG00000006529	Salvator_merianae
ENSSPUP00000008546	ENSSPUG00000006644	Sphenodon_punctatus
ENSABRP00000010089	ENSABRG00000009041	Anser_brachyrhynchus
ENSAPLP00000001433	ENSAPLG00000001961	Anas_platyrhynchos_platyrhynchos
ENSGALP00000026388	ENSGALG00000016389	Gallus_gallus
ENSMGAP00000014788	ENSMGAG00000013979	Meleagris_gallopavo
ENSCJPP00005009798	ENSCJPG00005008569	Coturnix_japonica
ENSNMEP00000025265	ENSNMEG00000021393	Numida_meleagris
ENSLSDP00000017600	ENSLSDG00000012603	Lonchura_striata_domestica
ENSTGUP00000013367	ENSTGUG00000012980	Taeniopygia_guttata
ENSSCAP00000016620	ENSSCAG00000012122	Serinus_canaria
ENSFALP00000002154	ENSFALG00000002069	Ficedula_albicollis
ENSLCOP00000006919	ENSLCOG00000005114	Lepidothrix_coronata
ENSMVIP00005012912	ENSMVIG00005009377	Manacus_vitellinus
ENSPMJP00000013719	ENSPMJG00000010412	Parus_major
ENSCCEP00000007954	ENSCCEG00000008275	Cyanistes_caeruleus
ENSZALP00000022201	ENSZALG00000017261	Zonotrichia_albicollis
ENSJHYP00000014485	ENSJHYG00000011215	Junco_hyemalis
ENSCPGP00000021461	ENSCPGG00000014977	Calidris_pygmaea
ENSCPUP00000004616	ENSCPUG00000003421	Calidris_pugnax
ENSMUNP00000018456	ENSMUNG00000014115	Melopsittacus_undulatus
ENSAHAP00000027128	ENSAHAG00000018909	Apteryx_haastii
ENSAOWP00000018440	ENSAOWG00000012567	Apteryx_owenii
ENSARWP00000023391	ENSARWG00000015935	Apteryx_rowi
ENSNPEP00000000148	ENSNPEG00000000157	Nothoprocta_perdicaria
ENSDNVP00000023059	ENSDNVG00000016032	Dromaius_novaehollandiae
ENSCPRP00005011995	ENSCPRG00005008555	Crocodylus_porosus
ENSCABP00000028935	ENSCABG00000021245	Chelonoidis_abingdonii
ENSGAGP00000011878	ENSGAGG00000009150	Gopherus_agassizii
ENSCPBP00000030739	ENSCPBG00000021620	Chrysemys_picta_bellii
ENSPSIP00000003050	ENSPSIG00000002937	Pelodiscus_sinensis
ENSVURP00010013094	ENSVURG00010010067	Vombatus_ursinus
ENSPCIP00000031422	ENSPCIG00000023334	Phascolarctos_cinereus
ENSVURP00010012970	ENSVURG00010009988	Vombatus_ursinus
ENSPCIP00000035202	ENSPCIG00000026047	Phascolarctos_cinereus
ENSMEUP00000003300	ENSMEUG00000003610	Notamacropus_eugenii
ENSSHAP00000015311	ENSSHAG00000013051	Sarcophilus_harrisii
ENSMODP00000018108	ENSMODG00000014491	Monodelphis_domestica
ENSMODP00000039512	ENSMODG00000028814	Monodelphis_domestica
ENSDNOP00000012453	ENSDNOG00000016056	Dasypus_novemcinctus
ENSCHOP00000007559	ENSCHOG00000008547	Choloepus_hoffmanni
ENSLAFP00000012637	ENSLAFG00000015091	Loxodonta_africana
ENSPCAP00000002344	ENSPCAG00000002500	Procavia_capensis
ENSETEP00000010276	ENSETEG00000012674	Echinops_telfairi
ENSBIXP00000020264	ENSBIXG00000023609	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026540	ENSBIXG00005028844	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000063545	ENSBTAG00000016235	Bos_taurus
ENSBBBP00000011865	ENSBBBG00000019744	Bison_bison_bison
ENSCHIP00000025462	ENSCHIG00000022230	Capra_hircus
ENSOARP00000005782	ENSOARG00000005386	Ovis_aries
ENSCHIP00000025542	ENSCHIG00000022264	Capra_hircus
ENSBMUP00000028388	ENSBMUG00000021284	Bos_mutus
ENSTTRP00000001521	ENSTTRG00000001615	Tursiops_truncatus
ENSVPAP00000010788	ENSVPAG00000011589	Vicugna_pacos
ENSSSCP00000027507	ENSSSCG00000025305	Sus_scrofa_strain_reference
ENSPVAP00000001958	ENSPVAG00000002070	Pteropus_vampyrus
ENSEASP00005032519	ENSEASG00005022200	Equus_asinus_asinus
ENSECAP00000004035	ENSECAG00000020695	Equus_caballus
ENSUAMP00000023282	ENSUAMG00000018254	Ursus_americanus
ENSUMAP00000004930	ENSUMAG00000003941	Ursus_maritimus
ENSAMEP00000019487	ENSAMEG00000018433	Ailuropoda_melanoleuca
ENSNVIP00000020367	ENSNVIG00000015913	Neovison_vison
ENSMPUP00000012884	ENSMPUG00000012984	Mustela_putorius_furo
ENSCAFP00000036857	ENSCAFG00000003259	Canis_lupus_familiaris
ENSCAFP00020006164	ENSCAFG00020004994	Canis_lupus_dingo
ENSVVUP00000011709	ENSVVUG00000008633	Vulpes_vulpes
ENSPTIP00000022121	ENSPTIG00000019034	Panthera_tigris_altaica
ENSPPRP00000025270	ENSPPRG00000015513	Panthera_pardus
ENSFCAP00000058842	ENSFCAG00000025832	Felis_catus
ENSTGEP00000016718	ENSTGEG00000013531	Theropithecus_gelada
ENSPANP00000012808	ENSPANG00000000443	Papio_anubis
ENSCATP00000004843	ENSCATG00000016515	Cercocebus_atys
ENSMLEP00000030308	ENSMLEG00000039352	Mandrillus_leucophaeus
ENSMMUP00000019005	ENSMMUG00000014475	Macaca_mulatta
ENSMFAP00000000890	ENSMFAG00000000063	Macaca_fascicularis
ENSMNEP00000033927	ENSMNEG00000040183	Macaca_nemestrina
ENSCSAP00000003230	ENSCSAG00000006943	Chlorocebus_sabaeus
ENSRROP00000036603	ENSRROG00000041761	Rhinopithecus_roxellana
ENSRBIP00000020465	ENSRBIG00000034222	Rhinopithecus_bieti
ENSCANP00000028609	ENSCANG00000037763	Colobus_angolensis_palliatus
ENSPTEP00000025945	ENSPTEG00000026129	Piliocolobus_tephrosceles
ENSPANP00000043125	ENSPANG00000018246	Papio_anubis
ENSTGEP00000036012	ENSTGEG00000028664	Theropithecus_gelada
