ENSMUSP00000137187	ENSMUSG00000094430	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000179384
MGP_SPRETEiJ_P0043199	MGP_SPRETEiJ_G0021576	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0043199
MGP_CAROLIEiJ_P0041320	MGP_CAROLIEiJ_G0020680	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0041320
MGP_PahariEiJ_P0028708	MGP_PahariEiJ_G0016383	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0028708
ENSRNOP00000070010	ENSRNOG00000055586	Rattus_norvegicus	ENSRNOT00000079753
ENSMUGP00000032460	ENSMUGG00000026976	Meriones_unguiculatus	ENSMUGT00000037181
ENSPEMP00000019706	ENSPEMG00000017909	Peromyscus_maniculatus_bairdii
ENSMOCP00000024434	ENSMOCG00000020862	Microtus_ochrogaster
ENSCGRP00001014835	ENSCGRG00001015610	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028463	ENSCGRG00015021537	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003522	ENSMAUG00000003950	Mesocricetus_auratus
ENSNGAP00000004154	ENSNGAG00000005284	Nannospalax_galili
ENSCCNP00000002633	ENSCCNG00000002871	Castor_canadensis
ENSDORP00000021392	ENSDORG00000025708	Dipodomys_ordii
ENSSDAP00000004059	ENSSDAG00000003816	Spermophilus_dauricus
ENSUPAP00010000795	ENSUPAG00010000665	Urocitellus_parryii
ENSMMMP00000010590	ENSMMMG00000009440	Marmota_marmota_marmota
ENSSHAP00000008665	ENSSHAG00000007506	Sarcophilus_harrisii
