FBpp0084013	FBgn0039188	Drosophila_melanogaster	FBtr0084629
T24B1.1.1	WBGene00011975	Caenorhabditis_elegans_strain_N2	T24B1.1.1
ENSABRP00000005701	ENSABRG00000005333	Anser_brachyrhynchus
ENSAPLP00000008491	ENSAPLG00000008788	Anas_platyrhynchos_platyrhynchos
ENSGALP00000017563	ENSGALG00000010813	Gallus_gallus
ENSMGAP00000013866	ENSMGAG00000013140	Meleagris_gallopavo
ENSCJPP00005001462	ENSCJPG00005001481	Coturnix_japonica
ENSNMEP00000011237	ENSNMEG00000010592	Numida_meleagris
ENSCPGP00000010473	ENSCPGG00000007461	Calidris_pygmaea
ENSCPUP00000001089	ENSCPUG00000000851	Calidris_pugnax
ENSMUNP00000000120	ENSMUNG00000000156	Melopsittacus_undulatus
ENSLSDP00000005807	ENSLSDG00000004447	Lonchura_striata_domestica
ENSTGUP00000012973	ENSTGUG00000012598	Taeniopygia_guttata
ENSJHYP00000003597	ENSJHYG00000002966	Junco_hyemalis
ENSZALP00000003491	ENSZALG00000003474	Zonotrichia_albicollis
ENSSCAP00000010372	ENSSCAG00000007870	Serinus_canaria
ENSFALP00000002538	ENSFALG00000002440	Ficedula_albicollis
ENSCCEP00000019884	ENSCCEG00000018027	Cyanistes_caeruleus
ENSPMJP00000022894	ENSPMJG00000016936	Parus_major
ENSMVIP00005007025	ENSMVIG00005005278	Manacus_vitellinus
ENSLCOP00000012805	ENSLCOG00000009249	Lepidothrix_coronata
ENSAHAP00000010746	ENSAHAG00000007781	Apteryx_haastii
ENSAOWP00000027109	ENSAOWG00000018270	Apteryx_owenii
ENSARWP00000025567	ENSARWG00000017363	Apteryx_rowi
ENSDNVP00000021883	ENSDNVG00000015258	Dromaius_novaehollandiae
ENSNPEP00000007340	ENSNPEG00000005499	Nothoprocta_perdicaria
ENSCPRP00005011823	ENSCPRG00005008434	Crocodylus_porosus
ENSGAGP00000004591	ENSGAGG00000003791	Gopherus_agassizii
ENSCABP00000028898	ENSCABG00000021175	Chelonoidis_abingdonii
ENSCPBP00000011574	ENSCPBG00000008806	Chrysemys_picta_bellii
ENSPSIP00000008750	ENSPSIG00000007997	Pelodiscus_sinensis
ENSPVIP00000005423	ENSPVIG00000004396	Pogona_vitticeps
ENSACAP00000008773	ENSACAG00000008890	Anolis_carolinensis
ENSNSUP00000007486	ENSNSUG00000005878	Notechis_scutatus
ENSSMRP00000018361	ENSSMRG00000014280	Salvator_merianae
ENSSPUP00000001400	ENSSPUG00000001053	Sphenodon_punctatus
ENSUMAP00000006288	ENSUMAG00000004962	Ursus_maritimus
ENSUAMP00000004977	ENSUAMG00000004489	Ursus_americanus
ENSAMEP00000014420	ENSAMEG00000013672	Ailuropoda_melanoleuca
ENSNVIP00000008463	ENSNVIG00000006706	Neovison_vison
ENSMPUP00000003554	ENSMPUG00000003583	Mustela_putorius_furo
ENSCAFP00020026138	ENSCAFG00020020521	Canis_lupus_dingo
ENSCAFP00000053357	ENSCAFG00000011030	Canis_lupus_familiaris
ENSVVUP00000034084	ENSVVUG00000024629	Vulpes_vulpes
ENSPPRP00000013167	ENSPPRG00000006460	Panthera_pardus
ENSPTIP00000023809	ENSPTIG00000020137	Panthera_tigris_altaica
ENSFCAP00000006920	ENSFCAG00000007469	Felis_catus
ENSECAP00000038671	ENSECAG00000037565	Equus_caballus
ENSECAP00000023417	ENSECAG00000039653	Equus_caballus
ENSEASP00005031255	ENSEASG00005021270	Equus_asinus_asinus
ENSPVAP00000006725	ENSPVAG00000007127	Pteropus_vampyrus
ENSMLUP00000003367	ENSMLUG00000003694	Myotis_lucifugus
ENSVPAP00000010502	ENSVPAG00000011279	Vicugna_pacos
ENSSSCP00000002656	ENSSSCG00000002455	Sus_scrofa_strain_reference
ENSCHIP00000006873	ENSCHIG00000010561	Capra_hircus
ENSOARP00000014247	ENSOARG00000013292	Ovis_aries
ENSBIXP00005015288	ENSBIXG00005019140	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020131	ENSBMUG00000015184	Bos_mutus
ENSBIXP00000008798	ENSBIXG00000006342	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000006036	ENSBTAG00000004598	Bos_taurus
ENSBBBP00000000539	ENSBBBG00000007488	Bison_bison_bison
ENSTTRP00000009596	ENSTTRG00000010117	Tursiops_truncatus
ENSPPAP00000030805	ENSPPAG00000038357	Pan_paniscus
ENSPTRP00000090829	ENSPTRG00000006656	Pan_troglodytes
ENSP00000163416	ENSG00000066455	Homo_sapiens
ENSGGOP00000028314	ENSGGOG00000001673	Gorilla_gorilla
ENSPPYP00000006914	ENSPPYG00000006080	Pongo_abelii
ENSNLEP00000020867	ENSNLEG00000017173	Nomascus_leucogenys
ENSCANP00000039767	ENSCANG00000043563	Colobus_angolensis_palliatus
ENSPTEP00000012055	ENSPTEG00000013557	Piliocolobus_tephrosceles
ENSRROP00000011213	ENSRROG00000029964	Rhinopithecus_roxellana
ENSRBIP00000016533	ENSRBIG00000032285	Rhinopithecus_bieti
ENSMMUP00000019892	ENSMMUG00000015169	Macaca_mulatta
ENSMFAP00000004055	ENSMFAG00000001742	Macaca_fascicularis
ENSMNEP00000045241	ENSMNEG00000045156	Macaca_nemestrina
ENSTGEP00000003500	ENSTGEG00000002969	Theropithecus_gelada
ENSPANP00000013103	ENSPANG00000024490	Papio_anubis
ENSMLEP00000030966	ENSMLEG00000039671	Mandrillus_leucophaeus
ENSCATP00000021527	ENSCATG00000034469	Cercocebus_atys
ENSCSAP00000007446	ENSCSAG00000011234	Chlorocebus_sabaeus
ENSSBOP00000000285	ENSSBOG00000001017	Saimiri_boliviensis_boliviensis
ENSCJAP00000033715	ENSCJAG00000018184	Callithrix_jacchus
ENSCCAP00000008504	ENSCCAG00000021972	Cebus_capucinus_imitator
ENSANAP00000024332	ENSANAG00000029856	Aotus_nancymaae
ENSTSYP00000011921	ENSTSYG00000012978	Carlito_syrichta
ENSMICP00000001525	ENSMICG00000001678	Microcebus_murinus
ENSPSMP00000019307	ENSPSMG00000013617	Prolemur_simus
ENSPCOP00000021171	ENSPCOG00000022589	Propithecus_coquereli
ENSOGAP00000007730	ENSOGAG00000008624	Otolemur_garnettii
ENSCCNP00000030238	ENSCCNG00000028959	Castor_canadensis
ENSDORP00000010837	ENSDORG00000011532	Dipodomys_ordii
ENSMSIP00000037026	ENSMSIG00000030853	Mus_spicilegus
