ENSMLUP00000022084	ENSMLUG00000024041	Myotis_lucifugus	ENSMLUT00000025270
ENSMLUP00000016957	ENSMLUG00000029924	Myotis_lucifugus	ENSMLUT00000023584
ENSPVAP00000001140	ENSPVAG00000001211	Pteropus_vampyrus	ENSPVAT00000001211
ENSUAMP00000002495	ENSUAMG00000002294	Ursus_americanus	ENSUAMT00000002848
ENSAMEP00000019918	ENSAMEG00000018857	Ailuropoda_melanoleuca	ENSAMET00000020687
ENSMPUP00000007439	ENSMPUG00000007495	Mustela_putorius_furo
ENSPTIP00000006035	ENSPTIG00000008077	Panthera_tigris_altaica
ENSPPRP00000027156	ENSPPRG00000018367	Panthera_pardus
ENSPPRP00000001367	ENSPPRG00000024178	Panthera_pardus
ENSPPRP00000027090	ENSPPRG00000018266	Panthera_pardus
ENSPPRP00000027518	ENSPPRG00000019043	Panthera_pardus
ENSOARP00000000841	ENSOARG00000000816	Ovis_aries
ENSCHIP00000012669	ENSCHIG00000014351	Capra_hircus
ENSBBBP00000026917	ENSBBBG00000023009	Bison_bison_bison
ENSBMUP00000010743	ENSBMUG00000008306	Bos_mutus
ENSBBBP00000009216	ENSBBBG00000017288	Bison_bison_bison
ENSBMUP00000023306	ENSBMUG00000017509	Bos_mutus
ENSOARP00000000047	ENSOARG00000000070	Ovis_aries
ENSCHIP00000013139	ENSCHIG00000014676	Capra_hircus
ENSOARP00000001521	ENSOARG00000001465	Ovis_aries
ENSOARP00000001180	ENSOARG00000001140	Ovis_aries
ENSCHIP00000027791	ENSCHIG00000023569	Capra_hircus
ENSBMUP00000005568	ENSBMUG00000004377	Bos_mutus
ENSBMUP00000011916	ENSBMUG00000009159	Bos_mutus
ENSBTAP00000041333	ENSBTAG00000008550	Bos_taurus
ENSBBBP00000006478	ENSBBBG00000001039	Bison_bison_bison
ENSCHIP00000015126	ENSCHIG00000015895	Capra_hircus
ENSSSCP00000049640	ENSSSCG00000031897	Sus_scrofa_strain_reference
ENSEEUP00000006497	ENSEEUG00000007160	Erinaceus_europaeus
ENSCPOP00000020045	ENSCPOG00000005108	Cavia_porcellus
ENSODEP00000016264	ENSODEG00000011969	Octodon_degus
ENSFDAP00000021480	ENSFDAG00000007676	Fukomys_damarensis
ENSSTOP00000020115	ENSSTOG00000005691	Ictidomys_tridecemlineatus
ENSSDAP00000016258	ENSSDAG00000014711	Spermophilus_dauricus
ENSCGRP00015010116	ENSCGRG00015007813	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002067	ENSCGRG00001002112	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026651	ENSCGRG00000019740	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008591	ENSMAUG00000009981	Mesocricetus_auratus
ENSPEMP00000015128	ENSPEMG00000014736	Peromyscus_maniculatus_bairdii
ENSMUSP00000050330	ENSMUSG00000051124	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000024792	ENSMSIG00000020967	Mus_spicilegus
MGP_SPRETEiJ_P0076552	MGP_SPRETEiJ_G0029351	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0073688	MGP_CAROLIEiJ_G0028348	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000038150	ENSRNOG00000024569	Rattus_norvegicus
ENSCCNP00000030657	ENSCCNG00000029308	Castor_canadensis
ENSNGAP00000001490	ENSNGAG00000001114	Nannospalax_galili
ENSMUGP00000029942	ENSMUGG00000024873	Meriones_unguiculatus
ENSDORP00000023826	ENSDORG00000013513	Dipodomys_ordii
ENSOCUP00000035866	ENSOCUG00000030664	Oryctolagus_cuniculus
ENSOGAP00000015618	ENSOGAG00000025780	Otolemur_garnettii
ENSOGAP00000020957	ENSOGAG00000026916	Otolemur_garnettii
ENSPSMP00000020810	ENSPSMG00000014728	Prolemur_simus
ENSPPYP00000020376	ENSPPYG00000018170	Pongo_abelii
ENSCCAP00000002738	ENSCCAG00000016118	Cebus_capucinus_imitator
ENSTBEP00000013954	ENSTBEG00000016075	Tupaia_belangeri
