ENSAPLP00000020205	ENSAPLG00000006531	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006072	ENSABRG00000005632	Anser_brachyrhynchus
ENSMGAP00000015936	ENSMGAG00000015030	Meleagris_gallopavo
ENSCJPP00005025200	ENSCJPG00005019806	Coturnix_japonica
ENSGALP00000027435	ENSGALG00000017017	Gallus_gallus
ENSNMEP00000007407	ENSNMEG00000007421	Numida_meleagris
ENSMUNP00000016154	ENSMUNG00000012426	Melopsittacus_undulatus
ENSLSDP00000016192	ENSLSDG00000011667	Lonchura_striata_domestica
ENSTGUP00000012461	ENSTGUG00000012096	Taeniopygia_guttata
ENSSCAP00000017898	ENSSCAG00000012981	Serinus_canaria
ENSJHYP00000021299	ENSJHYG00000016114	Junco_hyemalis
ENSZALP00000003778	ENSZALG00000003673	Zonotrichia_albicollis
ENSFALP00000008818	ENSFALG00000008456	Ficedula_albicollis
ENSCCEP00000010240	ENSCCEG00000010244	Cyanistes_caeruleus
ENSPMJP00000020026	ENSPMJG00000014953	Parus_major
ENSMVIP00005011371	ENSMVIG00005008337	Manacus_vitellinus
ENSLCOP00000010130	ENSLCOG00000007369	Lepidothrix_coronata
ENSCPUP00000018956	ENSCPUG00000013044	Calidris_pugnax
ENSCPGP00000027376	ENSCPGG00000018859	Calidris_pygmaea
ENSAHAP00000008464	ENSAHAG00000006230	Apteryx_haastii
ENSAOWP00000010003	ENSAOWG00000006863	Apteryx_owenii
ENSARWP00000017153	ENSARWG00000011809	Apteryx_rowi
ENSDNVP00000019670	ENSDNVG00000013777	Dromaius_novaehollandiae
ENSNPEP00000007799	ENSNPEG00000005850	Nothoprocta_perdicaria
ENSCPRP00005003344	ENSCPRG00005002466	Crocodylus_porosus
ENSGAGP00000006260	ENSGAGG00000005031	Gopherus_agassizii
ENSCABP00000030567	ENSCABG00000022344	Chelonoidis_abingdonii
ENSCPBP00000011657	ENSCPBG00000008867	Chrysemys_picta_bellii
ENSPSIP00000003604	ENSPSIG00000003428	Pelodiscus_sinensis
ENSACAP00000021633	ENSACAG00000012150	Anolis_carolinensis
ENSPVIP00000002217	ENSPVIG00000001927	Pogona_vitticeps
ENSNSUP00000004093	ENSNSUG00000003268	Notechis_scutatus
ENSSMRP00000006985	ENSSMRG00000005654	Salvator_merianae
ENSSPUP00000008616	ENSSPUG00000006691	Sphenodon_punctatus
ENSPCIP00000039177	ENSPCIG00000028771	Phascolarctos_cinereus
ENSVURP00010023285	ENSVURG00010017845	Vombatus_ursinus
ENSMEUP00000000027	ENSMEUG00000000029	Notamacropus_eugenii
ENSSHAP00000017198	ENSSHAG00000014618	Sarcophilus_harrisii
ENSMODP00000039040	ENSMODG00000027988	Monodelphis_domestica
ENSUMAP00000025601	ENSUMAG00000018670	Ursus_maritimus
ENSUAMP00000012671	ENSUAMG00000010260	Ursus_americanus
ENSAMEP00000012631	ENSAMEG00000011990	Ailuropoda_melanoleuca
ENSNVIP00000015601	ENSNVIG00000012203	Neovison_vison
ENSMPUP00000017894	ENSMPUG00000018005	Mustela_putorius_furo
ENSPPRP00000018047	ENSPPRG00000009827	Panthera_pardus
ENSPTIP00000008932	ENSPTIG00000010165	Panthera_tigris_altaica
ENSFCAP00000059260	ENSFCAG00000018195	Felis_catus
ENSMLUP00000018210	ENSMLUG00000029387	Myotis_lucifugus
ENSBIXP00005016110	ENSBIXG00005003247	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000060825	ENSBTAG00000005284	Bos_taurus
ENSBIXP00000001708	ENSBIXG00000008243	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000007261	ENSBBBG00000003822	Bison_bison_bison
ENSBMUP00000008964	ENSBMUG00000006961	Bos_mutus
ENSCHIP00000012778	ENSCHIG00000014421	Capra_hircus
