ENSVURP00010001668	ENSVURG00010001229	Vombatus_ursinus	ENSVURT00010001906
ENSPCIP00000017819	ENSPCIG00000013595	Phascolarctos_cinereus	ENSPCIT00000021964
ENSMEUP00000013385	ENSMEUG00000014651	Notamacropus_eugenii	ENSMEUT00000014703
ENSSHAP00000014566	ENSSHAG00000012435	Sarcophilus_harrisii	ENSSHAT00000014688
ENSMODP00000008018	ENSMODG00000006464	Monodelphis_domestica	ENSMODT00000008181
ENSPCAP00000014797	ENSPCAG00000015794	Procavia_capensis	ENSPCAT00000015819
ENSETEP00000003791	ENSETEG00000004637	Echinops_telfairi	ENSETET00000004638
ENSLAFP00000005429	ENSLAFG00000006465	Loxodonta_africana	ENSLAFT00000006467
ENSNLEP00000029626	ENSNLEG00000000338	Nomascus_leucogenys
ENSPPYP00000017952	ENSPPYG00000016040	Pongo_abelii
ENSPTEP00000034094	ENSPTEG00000032411	Piliocolobus_tephrosceles
ENSCANP00000031463	ENSCANG00000039231	Colobus_angolensis_palliatus
ENSRROP00000038539	ENSRROG00000042640	Rhinopithecus_roxellana
ENSRBIP00000029785	ENSRBIG00000038762	Rhinopithecus_bieti
ENSMFAP00000042731	ENSMFAG00000039918	Macaca_fascicularis
ENSMMUP00000049952	ENSMMUG00000016008	Macaca_mulatta
ENSMNEP00000019607	ENSMNEG00000033472	Macaca_nemestrina
ENSCATP00000000256	ENSCATG00000000142	Cercocebus_atys
ENSTGEP00000015170	ENSTGEG00000012312	Theropithecus_gelada
ENSPANP00000011456	ENSPANG00000006849	Papio_anubis
ENSMLEP00000021972	ENSMLEG00000035049	Mandrillus_leucophaeus
ENSCSAP00000005891	ENSCSAG00000009643	Chlorocebus_sabaeus
ENSPTRP00000078073	ENSPTRG00000017526	Pan_troglodytes
ENSPPAP00000037041	ENSPPAG00000041177	Pan_paniscus
ENSGGOP00000007712	ENSGGOG00000007880	Gorilla_gorilla
ENSP00000265094	ENSG00000072803	Homo_sapiens	ENST00000265094
ENSSBOP00000012879	ENSSBOG00000023046	Saimiri_boliviensis_boliviensis
ENSCCAP00000033960	ENSCCAG00000034903	Cebus_capucinus_imitator
ENSCJAP00000035853	ENSCJAG00000019297	Callithrix_jacchus
ENSANAP00000038872	ENSANAG00000036790	Aotus_nancymaae
ENSMLEP00000019466	ENSMLEG00000033917	Mandrillus_leucophaeus
ENSMNEP00000034709	ENSMNEG00000040507	Macaca_nemestrina
ENSCATP00000034500	ENSCATG00000040145	Cercocebus_atys
ENSRROP00000004412	ENSRROG00000018104	Rhinopithecus_roxellana
ENSCCAP00000021490	ENSCCAG00000028542	Cebus_capucinus_imitator
ENSTSYP00000016571	ENSTSYG00000007887	Carlito_syrichta
ENSPCOP00000011208	ENSPCOG00000017113	Propithecus_coquereli	ENSPCOT00000021794
ENSPSMP00000024439	ENSPSMG00000017174	Prolemur_simus	ENSPSMT00000028353
ENSMICP00000004117	ENSMICG00000004512	Microcebus_murinus	ENSMICT00000004513
ENSMICP00000017433	ENSMICG00000030208	Microcebus_murinus
ENSOGAP00000010724	ENSOGAG00000011988	Otolemur_garnettii
ENSOCUP00000016400	ENSOCUG00000007739	Oryctolagus_cuniculus
ENSOPRP00000013475	ENSOPRG00000014752	Ochotona_princeps
