ENSLOCP00000014729	ENSLOCG00000011979	Lepisosteus_oculatus	ENSLOCT00000014758
ENSECRP00000004245	ENSECRG00000002889	Erpetoichthys_calabaricus	ENSECRT00000004312
ENSABRP00000010699	ENSABRG00000009640	Anser_brachyrhynchus
ENSAPLP00000032503	ENSAPLG00000018903	Anas_platyrhynchos_platyrhynchos
ENSGALP00000044244	ENSGALG00000034616	Gallus_gallus
ENSMGAP00000012906	ENSMGAG00000012273	Meleagris_gallopavo
ENSCJPP00005006652	ENSCJPG00005006189	Coturnix_japonica
ENSNMEP00000000128	ENSNMEG00000000205	Numida_meleagris
ENSCPGP00000001560	ENSCPGG00000001194	Calidris_pygmaea
ENSCPUP00000005858	ENSCPUG00000004289	Calidris_pugnax
ENSMUNP00000011147	ENSMUNG00000008748	Melopsittacus_undulatus	ENSMUNT00000012866
ENSLSDP00000021615	ENSLSDG00000015280	Lonchura_striata_domestica
ENSTGUP00000001898	ENSTGUG00000001843	Taeniopygia_guttata
ENSSCAP00000021564	ENSSCAG00000015494	Serinus_canaria
ENSFALP00000005328	ENSFALG00000005123	Ficedula_albicollis
ENSZALP00000018224	ENSZALG00000014622	Zonotrichia_albicollis
ENSJHYP00000010239	ENSJHYG00000008025	Junco_hyemalis
ENSPMJP00000024562	ENSPMJG00000018042	Parus_major
ENSCCEP00000018217	ENSCCEG00000016746	Cyanistes_caeruleus
ENSMVIP00005014632	ENSMVIG00005010570	Manacus_vitellinus
ENSLCOP00000004169	ENSLCOG00000003161	Lepidothrix_coronata
ENSAHAP00000027563	ENSAHAG00000019181	Apteryx_haastii
ENSARWP00000014524	ENSARWG00000010060	Apteryx_rowi
ENSAOWP00000013492	ENSAOWG00000009218	Apteryx_owenii
ENSDNVP00000011495	ENSDNVG00000008105	Dromaius_novaehollandiae
ENSNPEP00000006337	ENSNPEG00000004794	Nothoprocta_perdicaria
ENSCPRP00005016179	ENSCPRG00005011294	Crocodylus_porosus
ENSGAGP00000028435	ENSGAGG00000020615	Gopherus_agassizii
ENSCABP00000000586	ENSCABG00000000528	Chelonoidis_abingdonii
ENSCPBP00000035794	ENSCPBG00000024895	Chrysemys_picta_bellii
ENSPSIP00000020068	ENSPSIG00000017783	Pelodiscus_sinensis
ENSPVIP00000025671	ENSPVIG00000019197	Pogona_vitticeps
ENSACAP00000017302	ENSACAG00000017576	Anolis_carolinensis
ENSNSUP00000000537	ENSNSUG00000000529	Notechis_scutatus
ENSNSUP00000020712	ENSNSUG00000015067	Notechis_scutatus
ENSSMRP00000024665	ENSSMRG00000019077	Salvator_merianae
ENSSPUP00000013907	ENSSPUG00000010721	Sphenodon_punctatus
ENSCCAP00000014761	ENSCCAG00000025175	Cebus_capucinus_imitator
ENSSBOP00000008310	ENSSBOG00000021061	Saimiri_boliviensis_boliviensis
ENSCJAP00000061382	ENSCJAG00000007682	Callithrix_jacchus
ENSANAP00000009266	ENSANAG00000022627	Aotus_nancymaae
ENSPPAP00000027608	ENSPPAG00000036866	Pan_paniscus
ENSPTRP00000093770	ENSPTRG00000044337	Pan_troglodytes
ENSP00000242208	ENSG00000122641	Homo_sapiens
ENSGGOP00000048314	ENSGGOG00000042209	Gorilla_gorilla
ENSPPYP00000019742	ENSPPYG00000017614	Pongo_abelii
ENSNLEP00000003813	ENSNLEG00000003153	Nomascus_leucogenys
ENSMNEP00000037672	ENSMNEG00000041912	Macaca_nemestrina
ENSMMUP00000077039	ENSMMUG00000061466	Macaca_mulatta
ENSMFAP00000037578	ENSMFAG00000038020	Macaca_fascicularis
ENSMLEP00000004699	ENSMLEG00000021286	Mandrillus_leucophaeus
ENSCATP00000026186	ENSCATG00000036508	Cercocebus_atys
ENSPANP00000015404	ENSPANG00000000357	Papio_anubis
ENSTGEP00000017722	ENSTGEG00000014348	Theropithecus_gelada
ENSCSAP00000011387	ENSCSAG00000015294	Chlorocebus_sabaeus
ENSCANP00000005058	ENSCANG00000017220	Colobus_angolensis_palliatus
ENSPTEP00000005645	ENSPTEG00000006544	Piliocolobus_tephrosceles
ENSRBIP00000020917	ENSRBIG00000034433	Rhinopithecus_bieti
ENSRROP00000021732	ENSRROG00000034770	Rhinopithecus_roxellana
ENSTSYP00000016192	ENSTSYG00000027160	Carlito_syrichta
ENSPCOP00000019083	ENSPCOG00000021472	Propithecus_coquereli
ENSMICP00000036587	ENSMICG00000033429	Microcebus_murinus
ENSPSMP00000031867	ENSPSMG00000022111	Prolemur_simus
ENSOGAP00000003420	ENSOGAG00000003846	Otolemur_garnettii
ENSTBEP00000001837	ENSTBEG00000002137	Tupaia_belangeri
ENSUPAP00010013235	ENSUPAG00010010709	Urocitellus_parryii
ENSSDAP00000026847	ENSSDAG00000024354	Spermophilus_dauricus
ENSSTOP00000029829	ENSSTOG00000034121	Ictidomys_tridecemlineatus
ENSMMMP00000013522	ENSMMMG00000012059	Marmota_marmota_marmota
ENSMSIP00000015955	ENSMSIG00000013725	Mus_spicilegus
ENSMUSP00000047894	ENSMUSG00000041324	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0035291	MGP_SPRETEiJ_G0019100	Mus_spretus_strain_SPRET/EiJ
